,customerID,age,age_group
0,57618,58,SENIOR
2,54234,40,MIDDLE-AGED
4,73173,30,ADULT
9,73083,57,SENIOR
17,56459,39,MIDDLE-AGED
20,58559,58,SENIOR
23,58920,32,ADULT
27,51539,30,ADULT
34,58537,27,ADULT
37,58533,31,ADULT
44,74251,31,ADULT
54,59685,31,ADULT
58,54242,35,ADULT
63,52673,45,MIDDLE-AGED
68,79349,48,MIDDLE-AGED
74,68332,59,SENIOR
82,52749,60,SENIOR
87,62819,26,ADULT
89,59835,37,MIDDLE-AGED
93,54582,30,ADULT
96,154722,35,ADULT
99,68370,38,MIDDLE-AGED
104,71564,38,MIDDLE-AGED
108,50972,58,SENIOR
116,64420,37,MIDDLE-AGED
123,59632,47,MIDDLE-AGED
127,72495,34,ADULT
135,57821,25,ADULT
137,56209,48,MIDDLE-AGED
144,53029,45,MIDDLE-AGED
148,65107,30,ADULT
152,64598,32,ADULT
155,53038,21,ADULT
156,65195,40,MIDDLE-AGED
166,51187,48,MIDDLE-AGED
170,61520,44,MIDDLE-AGED
179,52984,38,MIDDLE-AGED
185,67939,34,ADULT
195,50376,53,SENIOR
200,79188,37,MIDDLE-AGED
204,68041,48,MIDDLE-AGED
210,55042,47,MIDDLE-AGED
216,71373,33,ADULT
222,61133,31,ADULT
225,77990,34,ADULT
227,66204,36,MIDDLE-AGED
230,78832,47,MIDDLE-AGED
232,61531,51,SENIOR
234,61164,33,ADULT
237,52748,34,ADULT
244,61308,37,MIDDLE-AGED
246,67920,46,MIDDLE-AGED
252,154860,45,MIDDLE-AGED
257,69424,32,ADULT
259,154894,43,MIDDLE-AGED
262,64312,36,MIDDLE-AGED
268,55008,29,ADULT
273,70916,48,MIDDLE-AGED
278,60935,51,SENIOR
283,68742,34,ADULT
286,65184,44,MIDDLE-AGED
293,52979,46,MIDDLE-AGED
301,70264,37,MIDDLE-AGED
305,54622,42,MIDDLE-AGED
308,155383,35,ADULT
311,154797,42,MIDDLE-AGED
313,74637,30,ADULT
317,69253,21,ADULT
324,58292,31,ADULT
328,59236,40,MIDDLE-AGED
332,154729,40,MIDDLE-AGED
333,158827,26,ADULT
346,58539,31,ADULT
349,61371,40,MIDDLE-AGED
353,53133,49,MIDDLE-AGED
357,70319,46,MIDDLE-AGED
360,73394,35,ADULT
363,72119,41,MIDDLE-AGED
369,60174,33,ADULT
373,78555,38,MIDDLE-AGED
382,68279,39,MIDDLE-AGED
385,63576,41,MIDDLE-AGED
390,154434,40,MIDDLE-AGED
391,67581,24,ADULT
394,78247,60,SENIOR
395,158832,44,MIDDLE-AGED
396,156869,26,ADULT
399,56545,37,MIDDLE-AGED
402,63936,58,SENIOR
407,79738,37,MIDDLE-AGED
410,154869,33,ADULT
