Item,Item Description,Item Type,Item Category
1,Cold / Iced Water,Drink,"Drink,Cold"
2,Warm Water,Drink,"Drink,Hot"
11,Chs Bk Pork Chop Spag,Main,"Spaghetti,Chicken"
14,BP Chicken Chop Spag,Main,"Spaghetti,Chicken"
17,Fish Fillet Spag,Main,"Spaghetti,Fish"
20,Baked Pork Chop Cream Spag,Main,"Spaghetti,Pork"
21,Chicken Chop Cream Spag,Main,"Spaghetti,Chicken"
22,Mushroom Cream Spag,Main,"Spaghetti,Vegetarian"
23,Luncheon Mushrm Cream Spag,Main,"Spaghetti,Pork"
24,SCALLOP CREAM SAUCE SPAGHETTI,Main,"Spaghetti,Seafood"
34,Fish & Chips,Main,"Western,Fish"
35,BP Chicken Chop,Main,"Western,Chicken"
41,BAKED RICE EBI,Main,"BakedRice,Seafood"
43,Pork Chop Bk Rice,Main,"Bakedrice,Pork"
44,BP Beef Bk Rice,Main,"Bakedrice,Beef"
45,Chix Chop Bk Rice,Main,"Bakedrice,Chicken"
46,Fish Bk Rice,Main,"Bakedrice,Fish"
47,Mush Bk Rice,Main,"Baked Rice,Vegetarian"
48,BAKED RICE CURRY SLICED BEEF,Main,"Baked Rice,Beef"
61,CRISPY PRAWN NOODLE,Main,"Noodle,Seafood"
62,Seafood Egg Hor Fun,Main,"Noodle,Seafood"
66,Sliced Fish Egg Hor Fun,Main,"Noodle,Fish"
67,Signature Fried Noodles,Main,"Noodle,Pork"
68,Fried Spare Ribs Bee Hoon,Main,"Noodle,Pork"
74,Wanton Soup Noodle,Main,"Noodle,Pork,Seafood"
76,Braised Beef brisket Noodles,Main,"Noodle,Beef"
78,SPECIAL STIR FRIED BEE HOON,Main,"Noodle,Pork,Seafood"
102,Kaya Butter Bread,Side,"Bread,Sweet"
106,Peanut Butter Milk Thick Toast,Side,"Bread,Sweet"
109,French Toast,Side,"Bread,Sweet"
111,F.Toast Chicken Floss,Side,"Bread,Savoury"
112,F.Toast Ice Cream,Side,"Bread,Sweet"
121,Egg & Ham Sandwich,Side,"Bread,Savoury"
126,Luncheon N Egg Sandwich,Side,"Bread,Savoury"
127,Borsch Soup,Side,"Soup,Beef"
129,Wanton Soup,Side,"Soup,Pork,Seafood"
131,Soup Of The Day,Side,Soup
203,CURRY BEEF BRISKET HOT POT WITH RICE,Main,"Rice,Beef"
251,Yao Ma Tei Chix Rice,Main,"Rice,Chicken"
254,Pork Chop Frag Rice,Main,"Rice,Pork"
290,Ham Egg Toast N French Fries,Side,"Bread,Pork"
292,Soft Boiled Eggs,Side,Bread
293,Chicken Macaroni Soup,Main,"Soup,Chicken"
294,Seafood and Slice Pork Macaroni Soup,Main,"Soup,Seafood,Pork"
302,Deep-fried Prawns with Mango sauce,Side,"Fingerfood,Seafood"
305,F.Fries Curry Mayo,Side,"Fingerfood,Vegetarian"
306,Bo Lo Bun,Side,Bread
307,Prawn Paste Chicken,Side,"Fingerfood,Chicken"
312,Chicken with Seaweed,Side,"Fingerfood,Chicken"
313,HAM BO LO BUN,Side,"Fingerfood,Chicken"
315,HONEY CHICKEN WING (5pcs),Side,"Fingerfood,Chicken"
401,Siew Mai,Side,"Dimsum,Seafood,Pork"
402,Steam Pork Spare Ribs,Side,"Dimsum,Pork"
403,Beancurd Skin Prawn Roll,Side,"Dimsum,Pork"
404,Custard Bun,Side,"Dimsum,Chicken"
407,Radish Cake,Side,"Dimsum,Pork"
411,Pan Fried Dumpling,Side,"Dimsum,Pork"
