uscore,price,item_type,item_cat,item_desc
94,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
73,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
1165,1515,Main,BakedRice;Seafood,BAKED RICE EBI
1018,545,Side,Dimsum;Pork,BBQ Pork Bun
73,1273,Main,Western;Chicken,BP Chicken Chop
146,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
437,1273,Main,Western;Chicken,BP Chix Chop & Fries
291,1273,Main,Spaghetti;Chicken,BP Chix Spag
1105,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
94,473,Dessert,Dessert;Cold,Beancurd w Mango
58,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
145,352,Side,Bread,Bo Lo Bun
204,594,Side,Soup;Beef,Borsch Soup
364,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
146,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
219,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
656,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
1602,1030,Main,Porridge;Pork,Cent Egg Pork Por
1675,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
1238,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
116,594,Side,Dimsum;Chicken,Chicken Feet
583,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
364,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
87,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
29,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
656,909,Main,Soup;Chicken,Chicken Macaroni Soup
728,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
116,715,Side,Fingerfood;Chicken,Chicken with Seaweed
18,206,Drink,Drink;Hot,Chinese Tea
291,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
611,594,Side,Dimsum;Chicken,Chix Feet
87,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
175,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
87,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
58,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
219,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
656,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
35,352,Drink,Drink;Cold,Coke
41,73,Drink,Drink;Cold,Cold / Iced Water
233,594,Side,Bread;Sweet,Condensed & Peanut TT
640,473,Side,Dimsum;Chicken,Custard Bun
58,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
145,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
364,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
175,473,Side,Bread;Savoury,Egg & Ham Sandwich
656,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
29,594,Side,Fingerfood;Vegetarian,F.Fries Curry Mayo
262,788,Side,Bread;Savoury,F.Toast Chicken Floss
407,2364,Side,Bread;Sweet,F.Toast Ice Cream
364,1273,Main,Noodle;Pork,Fermented Pork Dry Noodle
364,1394,Main,Western;Fish,Fish & Chips
73,1394,Main,Bakedrice;Fish,Fish Bk Rice
146,1273,Main,Noodle;Fish,Fish Egg Sauteed HF
219,1273,Main,Spaghetti;Fish,Fish Fillet Spag
583,1394,Main,Noodlesoup;Fish,Fish Papaya Soup Beehoon
146,1273,Main,Rice;Fish,Fish Slice Muifan
801,1030,Main,Porridge;Fish,Fish Slice Por
582,594,Side,Bread;Sweet,French Toast
35,594,Drink,Drink;Cold,Fresh  Lime Juice
152,352,Drink,Drink;Hot,Fresh Soy Milk
219,1394,Main,Noodle;Pork,Fried Spare Ribs Bee Hoon
236,958,Dessert,Dessert;Cold,Fruit Jelly Pudding
204,594,Side,Fingerfood;Chicken,HAM BO LO BUN
58,715,Side,Fingerfood;Chicken,HONEY CHICKEN WING (5pcs)
1093,944,Main,Noodlesoup;Pork,Ham & Egg Soup Ndl
1105,836,Side,Bread;Pork,Ham Egg Toast N French Fries
1251,594,Side,Dimsum;Seafood,Har Gao
94,352,Dessert,Dessert;Cold,Home-Made Cold Beancurd
94,1914,Dessert,Dessert;Cold,Homemade Cold Beancurd
626,424,Drink,Drink;Hot,Hot Coffee-Tea
35,473,Drink,Drink;Hot,Hot Honey Green Tea
88,473,Drink,Drink;Hot,Hot Honey with Lemon
100,545,Drink,Drink;Cold,Ice Milo Dinosaur
334,473,Drink,Drink;Cold,Iced Coffee-Tea
6,836,Drink,Drink;Cold,Iced Coffee-Tea Float
18,594,Drink,Drink;Cold,Iced Honey Green Tea
176,594,Drink,Drink;Cold,Iced Lemon Tea
70,667,Drink,Drink;Cold,Iced Lychee Tea
363,473,Drink,Drink;Cold,Iced Milk Tea
18,667,Drink,Drink;Cold,Iced Peach Tea
111,473,Drink,Drink;Cold,Iced Soy Milk
23,667,Drink,Drink;Cold,Iced Yuzu Tea
262,352,Side,Bread;Sweet,Kaya Butter Bread
436,424,Side,Bread;Savoury,Kaya Butter Bread + Kopi
211,206,Drink,Drink;Hot,Kopi
756,473,Side,Bread;Savoury,L.Meat'N'Egg S'wich
6,473,Drink,Drink;Hot,LEMON COKE
6,594,Drink,Drink;Cold,Lime Juice
87,594,Side,Fingerfood;Pork,Luncheon Meat Fries
437,1273,Main,Spaghetti;Pork,Luncheon Mushrm Cream Spag
58,473,Side,Bread;Savoury,Luncheon N Egg Sandwich
801,1067,Main,Noodlesoup;Pork,LuncheonMeatSoup Ndl
18,715,Drink,Drink;Cold,Lychee Ice-blended
94,836,Dessert,Dessert;Cold,Mango Pomelo
275,424,Drink,Drink;Hot,Milk Tea
129,229,Drink,Drink;Hot,Milo
58,1151,Side,Vegetable;Seafood,Minced Kai Lan W Silver Fish
73,1200,Main,Spaghetti;Vegetarian,Mushroom Cream Spag
436,788,Side,Dimsum;Pork,Pan Fried Dumpling
6,1430,Drink,Drink;Cold,Peach Ice-blended
58,594,Side,Bread;Sweet,Peanut Butter Milk Thick Toast
1530,1394,Main,Noodle;Pork,Pork Chop Bee Hoon
364,1515,Main,Bakedrice;Pork,Pork Chop Bk Rice
219,1394,Main,Rice;Pork,Pork Chop Frag Rice
291,1394,Main,Noodle;Pork,Pork Chop Noodle
146,1030,Main,Porridge;Pork,Pork N Century Egg Congee
1093,1394,Main,Noodle;Pork,Pork Ribs BH
219,1030,Main,Porridge;Pork,Pork n Century Egg Congee
175,836,Side,Fingerfood;Chicken,Prawn Paste Chicken
146,1067,Main,Rice;Chicken,Pumpkin Chix Chop Rice
12,594,Drink,Drink;Cold,RAINBOW SPRITE
1105,594,Side,Dimsum;Pork,Radish Cake
146,1757,Main,Spaghetti;Seafood,SCALLOP CREAM SAUCE SPAGHETTI
510,1394,Main,Rice;Pork,SH Pork Chop Rice
146,1515,Main,Noodle;Duck,SMOKED DUCK DRY CURRY RAMEN
18,594,Drink,Drink;Cold,SOUR PLUM COKE
47,667,Dessert,Dessert;Cold,SOY MILK WITH GLUTINOUS BALL
583,1273,Main,Noodle;Pork;Seafood,SPECIAL STIR FRIED BEE HOON
465,594,Side,Dimsum;Pork,SPRING ROLL
291,1273,Main,Friedrice;Seafood,Sambal Seafood Fried Rice
219,1151,Main,Porridge;Seafood,Sampan Congee
73,1321,Main,Noodle;Seafood,Seafood Ee Noodle
146,1273,Main,Noodle;Seafood,Seafood Egg Hor Fun
73,1273,Main,Rice;Seafood,Seafood Muifan
73,1273,Main,Noodle;Seafood,Seafood Sauteed HF
437,1030,Main,Soup;Seafood;Pork,Seafood and Slice Pork Macaroni Soup
189,667,Dessert,Dessert;Cold,Sesame Cream Glutinous Ball
1309,545,Side,Dimsum;Seafood;Pork,Siew Mai
1821,1394,Main,Noodle;Pork,Signature Fried Noodles
2331,1394,Main,Friedrice;Pork;Seafood;Chicken,Signature Fried Rice
2185,1200,Main,Porridge;Seafood,Sliced Empress Congee
146,1273,Main,Noodle;Fish,Sliced Fish Egg Hor Fun
553,352,Side,Bread,Soft Boiled Eggs
116,836,Side,Soup,Soup Of The Day
291,1030,Main,Porridge;Pork,Spicy Pork Por
175,242,Side,Fingerfood;Vegetarian,Spicy Sour Fries
510,944,Main,Noodlesoup;Pork,Spy P.Dices Soup Ndl
233,594,Side,Dimsum;Pork,Steam Pork Spare Ribs
123,206,Drink,Drink;Hot,Teh
73,1030,Main,Noodle;Vegetarian,VEGETARIAN HOR FUN
219,1151,Main,Noodle;Vegetarian,VEGETARIAN RAMEN
233,715,Side,Soup;Pork;Seafood,Wanton Soup
1093,1079,Main,Noodle;Pork;Seafood,Wanton Soup Noodle
164,73,Drink,Drink;Hot,Warm Water
12,715,Drink,Drink;Cold,Watermelon Ice
12,715,Drink,Drink;Cold,Watermelon Ice-Blended
1093,1394,Main,Rice;Chicken,Yao Ma Tei Chix Rice
70,388,Drink,Drink;Hot,Yuzu Tea
