6,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
40,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
16,1515,Main,BakedRice;Seafood,BAKED RICE EBI
159,545,Side,Dimsum;Pork,BBQ Pork Bun
12,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
8,1273,Main,Western;Chicken,BP Chicken Chop
4,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
4,1273,Main,Western;Chicken,BP Chix Chop & Fries
24,1273,Main,Spaghetti;Chicken,BP Chix Spag
153,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
13,473,Dessert,Dessert;Cold,Beancurd w Mango
10,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
45,352,Side,Bread,Bo Lo Bun
22,594,Side,Soup;Beef,Borsch Soup
28,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
16,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
28,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
2,836,Drink,Drink;Cold,COKE FLOAT
32,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
20,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
167,1030,Main,Porridge;Pork,Cent Egg Pork Por
80,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
68,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
35,594,Side,Dimsum;Chicken,Chicken Feet
12,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
16,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
8,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
16,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
29,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
72,909,Main,Soup;Chicken,Chicken Macaroni Soup
52,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
35,715,Side,Fingerfood;Chicken,Chicken with Seaweed
21,206,Drink,Drink;Hot,Chinese Tea
12,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
99,594,Side,Dimsum;Chicken,Chix Feet
6,594,Side,Fingerfood;Chicken,Chix Wing BP
19,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
35,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
