21,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
56,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
39,1515,Main,BakedRice;Seafood,BAKED RICE EBI
58,545,Side,Dimsum;Pork,BBQ Pork Bun
25,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
22,1273,Main,Western;Chicken,BP Chicken Chop
34,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
51,1273,Main,Western;Chicken,BP Chix Chop & Fries
78,1273,Main,Spaghetti;Chicken,BP Chix Spag
41,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
84,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
15,473,Dessert,Dessert;Cold,Beancurd w Mango
27,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
20,352,Side,Bread,Bo Lo Bun
28,594,Side,Soup;Beef,Borsch Soup
71,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
21,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
39,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
6,836,Drink,Drink;Cold,COKE FLOAT
59,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
44,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
68,1030,Main,Porridge;Pork,Cent Egg Pork Por
259,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
153,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
23,594,Side,Dimsum;Chicken,Chicken Feet
57,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
19,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
28,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
35,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
45,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
13,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
29,909,Main,Soup;Chicken,Chicken Macaroni Soup
103,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
31,715,Side,Fingerfood;Chicken,Chicken with Seaweed
23,206,Drink,Drink;Hot,Chinese Tea
87,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
70,594,Side,Dimsum;Chicken,Chix Feet
