uscore,price,item_type,item_cat,item_desc
194,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
608,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
423,1515,Main,BakedRice;Seafood,BAKED RICE EBI
948,545,Side,Dimsum;Pork,BBQ Pork Bun
260,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
232,1273,Main,Western;Chicken,BP Chicken Chop
370,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
542,1273,Main,Western;Chicken,BP Chix Chop & Fries
837,1273,Main,Spaghetti;Chicken,BP Chix Spag
442,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
1346,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
143,473,Dessert,Dessert;Cold,Beancurd w Mango
428,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
344,352,Side,Bread,Bo Lo Bun
964,594,Side,Soup;Beef,Borsch Soup
1460,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
219,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
414,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
14,836,Drink,Drink;Cold,COKE FLOAT
620,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
451,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
1504,1030,Main,Porridge;Pork,Cent Egg Pork Por
2767,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
1633,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
382,594,Side,Dimsum;Chicken,Chicken Feet
577,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
207,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
307,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
370,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
730,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
203,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
640,909,Main,Soup;Chicken,Chicken Macaroni Soup
2188,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
505,715,Side,Fingerfood;Chicken,Chicken with Seaweed
106,206,Drink,Drink;Hot,Chinese Tea
915,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
1124,594,Side,Dimsum;Chicken,Chix Feet
