15,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
61,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
45,1515,Main,BakedRice;Seafood,BAKED RICE EBI
38,545,Side,Dimsum;Pork,BBQ Pork Bun
32,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
20,1273,Main,Western;Chicken,BP Chicken Chop
34,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
58,1273,Main,Western;Chicken,BP Chix Chop & Fries
109,1273,Main,Spaghetti;Chicken,BP Chix Spag
44,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
74,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
10,473,Dessert,Dessert;Cold,Beancurd w Mango
27,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
15,352,Side,Bread,Bo Lo Bun
20,594,Side,Soup;Beef,Borsch Soup
80,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
32,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
30,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
6,836,Drink,Drink;Cold,COKE FLOAT
72,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
44,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
69,1030,Main,Porridge;Pork,Cent Egg Pork Por
272,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
178,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
22,594,Side,Dimsum;Chicken,Chicken Feet
78,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
29,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
34,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
35,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
29,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
21,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
26,909,Main,Soup;Chicken,Chicken Macaroni Soup
92,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
25,715,Side,Fingerfood;Chicken,Chicken with Seaweed
23,206,Drink,Drink;Hot,Chinese Tea
106,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
64,594,Side,Dimsum;Chicken,Chix Feet
7,594,Side,Fingerfood;Chicken,Chix Wing BP
15,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
53,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
22,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
16,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
49,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
36,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
22,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
15,352,Drink,Drink;Cold,Coke
3,121,Drink,Drink;Cold,Coke Float (Promo)
59,73,Drink,Drink;Cold,Cold / Iced Water
12,594,Side,Bread;Sweet,Condensed & Peanut TT
54,473,Side,Dimsum;Chicken,Custard Bun
13,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
23,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
64,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
7,473,Side,Bread;Savoury,Egg & Ham Sandwich
93,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
28,594,Side,Fingerfood;Vegetarian,F.Fries Curry Mayo
13,788,Side,Bread;Savoury,F.Toast Chicken Floss
34,2364,Side,Bread;Sweet,F.Toast Ice Cream
22,1273,Main,Noodle;Pork,Fermented Pork Dry Noodle
101,1394,Main,Western;Fish,Fish & Chips
68,1394,Main,Bakedrice;Fish,Fish Bk Rice
57,1273,Main,Noodle;Fish,Fish Egg Sauteed HF
25,1273,Main,Spaghetti;Fish,Fish Fillet Spag
102,1394,Main,Noodlesoup;Fish,Fish Papaya Soup Beehoon
69,1273,Main,Rice;Fish,Fish Slice Muifan
60,1030,Main,Porridge;Fish,Fish Slice Por
36,594,Side,Bread;Sweet,French Toast
28,594,Drink,Drink;Cold,Fresh  Lime Juice
34,352,Drink,Drink;Hot,Fresh Soy Milk
41,1394,Main,Noodle;Pork,Fried Spare Ribs Bee Hoon
1,121,Side,Fingerfood;Seafood,Fried Wanton 3pcs
86,958,Dessert,Dessert;Cold,Fruit Jelly Pudding
13,594,Side,Fingerfood;Chicken,HAM BO LO BUN
