uscore,price,item_type,item_cat,item_desc
151,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
666,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
491,1515,Main,BakedRice;Seafood,BAKED RICE EBI
296,545,Side,Dimsum;Pork,BBQ Pork Bun
364,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
232,1273,Main,Western;Chicken,BP Chicken Chop
351,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
627,1273,Main,Western;Chicken,BP Chix Chop & Fries
1171,1273,Main,Spaghetti;Chicken,BP Chix Spag
460,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
590,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
89,473,Dessert,Dessert;Cold,Beancurd w Mango
215,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
106,352,Side,Bread,Bo Lo Bun
308,594,Side,Soup;Beef,Borsch Soup
1718,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
338,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
338,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
12,836,Drink,Drink;Cold,COKE FLOAT
758,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
473,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
1456,1030,Main,Porridge;Pork,Cent Egg Pork Por
2977,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
1894,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
185,594,Side,Dimsum;Chicken,Chicken Feet
811,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
311,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
377,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
377,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
228,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
165,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
570,909,Main,Soup;Chicken,Chicken Macaroni Soup
1920,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
182,715,Side,Fingerfood;Chicken,Chicken with Seaweed
110,206,Drink,Drink;Hot,Chinese Tea
1153,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
489,594,Side,Dimsum;Chicken,Chix Feet
61,594,Side,Fingerfood;Chicken,Chix Wing BP
116,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
423,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
170,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
124,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
526,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
395,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
203,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
39,352,Drink,Drink;Cold,Coke
6,121,Drink,Drink;Cold,Coke Float (Promo)
139,73,Drink,Drink;Cold,Cold / Iced Water
101,594,Side,Bread;Sweet,Condensed & Peanut TT
415,473,Side,Dimsum;Chicken,Custard Bun
94,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
190,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
