31,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
34,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
24,1515,Main,BakedRice;Seafood,BAKED RICE EBI
80,545,Side,Dimsum;Pork,BBQ Pork Bun
19,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
14,1273,Main,Western;Chicken,BP Chicken Chop
22,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
30,1273,Main,Western;Chicken,BP Chix Chop & Fries
58,1273,Main,Spaghetti;Chicken,BP Chix Spag
28,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
105,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
17,473,Dessert,Dessert;Cold,Beancurd w Mango
41,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
32,352,Side,Bread,Bo Lo Bun
38,594,Side,Soup;Beef,Borsch Soup
46,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
16,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
36,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
6,836,Drink,Drink;Cold,COKE FLOAT
38,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
34,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
49,1030,Main,Porridge;Pork,Cent Egg Pork Por
206,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
93,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
43,594,Side,Dimsum;Chicken,Chicken Feet
39,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
15,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
16,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
27,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
68,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
10,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
22,909,Main,Soup;Chicken,Chicken Macaroni Soup
65,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
48,715,Side,Fingerfood;Chicken,Chicken with Seaweed
27,206,Drink,Drink;Hot,Chinese Tea
62,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
91,594,Side,Dimsum;Chicken,Chix Feet
16,594,Side,Fingerfood;Chicken,Chix Wing BP
26,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
84,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
34,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
27,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
35,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
26,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
30,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
14,352,Drink,Drink;Cold,Coke
15,121,Drink,Drink;Cold,Coke Float (Promo)
73,73,Drink,Drink;Cold,Cold / Iced Water
24,594,Side,Bread;Sweet,Condensed & Peanut TT
109,473,Side,Dimsum;Chicken,Custard Bun
129,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
29,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
50,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
16,473,Side,Bread;Savoury,Egg & Ham Sandwich
74,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
61,594,Side,Fingerfood;Vegetarian,F.Fries Curry Mayo
22,788,Side,Bread;Savoury,F.Toast Chicken Floss
60,2364,Side,Bread;Sweet,F.Toast Ice Cream
17,1273,Main,Noodle;Pork,Fermented Pork Dry Noodle
32,1394,Main,Western;Fish,Fish & Chips
31,1394,Main,Bakedrice;Fish,Fish Bk Rice
27,1273,Main,Noodle;Fish,Fish Egg Sauteed HF
15,1273,Main,Spaghetti;Fish,Fish Fillet Spag
55,1394,Main,Noodlesoup;Fish,Fish Papaya Soup Beehoon
28,1273,Main,Rice;Fish,Fish Slice Muifan
34,1030,Main,Porridge;Fish,Fish Slice Por
70,594,Side,Bread;Sweet,French Toast
18,594,Drink,Drink;Cold,Fresh  Lime Juice
48,352,Drink,Drink;Hot,Fresh Soy Milk
28,1394,Main,Noodle;Pork,Fried Spare Ribs Bee Hoon
22,121,Side,Fingerfood;Seafood,Fried Wanton 3pcs
103,958,Dessert,Dessert;Cold,Fruit Jelly Pudding
28,594,Side,Fingerfood;Chicken,HAM BO LO BUN
66,715,Side,Fingerfood;Chicken,HONEY CHICKEN WING (5pcs)
28,944,Main,Noodlesoup;Pork,Ham & Egg Soup Ndl
25,836,Side,Bread;Pork,Ham Egg Toast N French Fries
159,594,Side,Dimsum;Seafood,Har Gao
19,352,Dessert,Dessert;Cold,Home-Made Cold Beancurd
61,1914,Dessert,Dessert;Cold,Homemade Cold Beancurd
59,424,Drink,Drink;Hot,Hot Coffee-Tea
16,473,Drink,Drink;Hot,Hot Honey Green Tea
65,473,Drink,Drink;Hot,Hot Honey with Lemon
5,836,Drink,Drink;Cold,ICED MILO FLOAT
30,545,Drink,Drink;Cold,Ice Milo Dinosaur
175,473,Drink,Drink;Cold,Iced Coffee-Tea
15,836,Drink,Drink;Cold,Iced Coffee-Tea Float
27,594,Drink,Drink;Cold,Iced Honey Green Tea
124,594,Drink,Drink;Cold,Iced Lemon Tea
115,667,Drink,Drink;Cold,Iced Lychee Tea
280,473,Drink,Drink;Cold,Iced Milk Tea
10,836,Drink,Drink;Cold,Iced Milk Tea Float
19,667,Drink,Drink;Cold,Iced Peach Tea
47,473,Drink,Drink;Cold,Iced Soy Milk
22,667,Drink,Drink;Cold,Iced Yuzu Tea
32,352,Side,Bread;Sweet,Kaya Butter Bread
30,424,Side,Bread;Savoury,Kaya Butter Bread + Kopi
21,206,Drink,Drink;Hot,Kopi
51,473,Side,Bread;Savoury,L.Meat'N'Egg S'wich
7,473,Drink,Drink;Hot,LEMON COKE
16,242,Side,Addons;Pork,LUNCHEON MEAT (2pcs)
6,594,Drink,Drink;Cold,Lime Juice
43,594,Side,Fingerfood;Pork,Luncheon Meat Fries
27,1273,Main,Spaghetti;Pork,Luncheon Mushrm Cream Spag
22,473,Side,Bread;Savoury,Luncheon N Egg Sandwich
48,1067,Main,Noodlesoup;Pork,LuncheonMeatSoup Ndl
22,715,Drink,Drink;Cold,Lychee Ice-blended
128,836,Dessert,Dessert;Cold,Mango Pomelo
37,909,Dessert,Dessert;Cold,Mango SnowIce
66,424,Drink,Drink;Hot,Milk Tea
18,229,Drink,Drink;Hot,Milo
63,1151,Side,Vegetable;Seafood,Minced Kai Lan W Silver Fish
16,1394,Main,Baked Rice;Vegetarian,Mush Bk Rice
15,1200,Main,Spaghetti;Vegetarian,Mushroom Cream Spag
135,788,Side,Dimsum;Pork,Pan Fried Dumpling
28,1030,Side,Vegetable;Vegetarian,Paoched Lettuce
10,1430,Drink,Drink;Cold,Peach Ice-blended
34,594,Side,Bread;Sweet,Peanut Butter Milk Thick Toast
134,1394,Main,Noodle;Pork,Pork Chop Bee Hoon
86,1515,Main,Bakedrice;Pork,Pork Chop Bk Rice
11,1394,Main,Rice;Pork,Pork Chop Frag Rice
17,1394,Main,Noodle;Pork,Pork Chop Noodle
18,1030,Main,Porridge;Pork,Pork N Century Egg Congee
62,1394,Main,Noodle;Pork,Pork Ribs BH
7,1030,Main,Porridge;Pork,Pork n Century Egg Congee
111,836,Side,Fingerfood;Chicken,Prawn Paste Chicken
18,1067,Main,Rice;Chicken,Pumpkin Chix Chop Rice
24,594,Drink,Drink;Cold,RAINBOW SPRITE
70,594,Side,Dimsum;Pork,Radish Cake
18,909,Dessert,Dessert;Cold,Red Bean Snow
46,1757,Main,Spaghetti;Seafood,SCALLOP CREAM SAUCE SPAGHETTI
41,1394,Main,Rice;Pork,SH Pork Chop Rice
35,1515,Main,Noodle;Duck,SMOKED DUCK DRY CURRY RAMEN
12,594,Drink,Drink;Cold,SOUR PLUM COKE
36,667,Dessert,Dessert;Cold,SOY MILK WITH GLUTINOUS BALL
43,1273,Main,Noodle;Pork;Seafood,SPECIAL STIR FRIED BEE HOON
94,594,Side,Dimsum;Pork,SPRING ROLL
64,1273,Main,Friedrice;Seafood,Sambal Seafood Fried Rice
18,1151,Main,Porridge;Seafood,Sampan Congee
9,1321,Main,Noodle;Seafood,Seafood Ee Noodle
12,1273,Main,Noodle;Seafood,Seafood Egg Hor Fun
29,1273,Main,Rice;Seafood,Seafood Muifan
24,1273,Main,Noodle;Seafood,Seafood Sauteed HF
15,1030,Main,Soup;Seafood;Pork,Seafood and Slice Pork Macaroni Soup
81,667,Dessert,Dessert;Cold,Sesame Cream Glutinous Ball
168,545,Side,Dimsum;Seafood;Pork,Siew Mai
109,1394,Main,Noodle;Pork,Signature Fried Noodles
226,1394,Main,Friedrice;Pork;Seafood;Chicken,Signature Fried Rice
71,1200,Main,Porridge;Seafood,Sliced Empress Congee
10,1273,Main,Noodle;Fish,Sliced Fish Egg Hor Fun
17,352,Side,Bread,Soft Boiled Eggs
32,836,Side,Soup,Soup Of The Day
23,1030,Main,Porridge;Pork,Spicy Pork Por
64,242,Side,Fingerfood;Vegetarian,Spicy Sour Fries
6,352,Drink,Drink;Cold,Sprite
26,944,Main,Noodlesoup;Pork,Spy P.Dices Soup Ndl
36,594,Side,Dimsum;Pork,Steam Pork Spare Ribs
26,206,Drink,Drink;Hot,Teh
16,1030,Main,Noodle;Vegetarian,VEGETARIAN HOR FUN
12,1151,Main,Noodle;Vegetarian,VEGETARIAN RAMEN
21,182,Side,Addons;Vegetarian,WHITE RICE
56,715,Side,Soup;Pork;Seafood,Wanton Soup
36,1079,Main,Noodle;Pork;Seafood,Wanton Soup Noodle
85,73,Drink,Drink;Hot,Warm Water
19,788,Dessert,Dessert;Cold,Watermelon 'N' Jelly
18,715,Drink,Drink;Cold,Watermelon Ice
10,715,Drink,Drink;Cold,Watermelon Ice-Blended
115,1394,Main,Rice;Chicken,Yao Ma Tei Chix Rice
46,388,Drink,Drink;Hot,Yuzu Tea
