uscore,price,item_type,item_cat,item_desc
286,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
359,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
261,1515,Main,BakedRice;Seafood,BAKED RICE EBI
2159,545,Side,Dimsum;Pork,BBQ Pork Bun
202,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
146,1273,Main,Western;Chicken,BP Chicken Chop
234,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
296,1273,Main,Western;Chicken,BP Chix Chop & Fries
620,1273,Main,Spaghetti;Chicken,BP Chix Spag
309,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
2882,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
158,473,Dessert,Dessert;Cold,Beancurd w Mango
1114,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
852,352,Side,Bread,Bo Lo Bun
1061,594,Side,Soup;Beef,Borsch Soup
493,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
157,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
391,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
12,836,Drink,Drink;Cold,COKE FLOAT
389,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
378,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
524,1030,Main,Porridge;Pork,Cent Egg Pork Por
2170,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
988,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
1103,594,Side,Dimsum;Chicken,Chicken Feet
426,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
165,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
194,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
282,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
1816,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
300,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
242,909,Main,Soup;Chicken,Chicken Macaroni Soup
700,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
1328,715,Side,Fingerfood;Chicken,Chicken with Seaweed
63,206,Drink,Drink;Hot,Chinese Tea
652,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
2410,594,Side,Dimsum;Chicken,Chix Feet
412,594,Side,Fingerfood;Chicken,Chix Wing BP
680,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
2298,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
932,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
739,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
389,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
269,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
270,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
34,352,Drink,Drink;Cold,Coke
34,121,Drink,Drink;Cold,Coke Float (Promo)
169,73,Drink,Drink;Cold,Cold / Iced Water
653,594,Side,Bread;Sweet,Condensed & Peanut TT
2919,473,Side,Dimsum;Chicken,Custard Bun
3401,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
798,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
527,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
450,473,Side,Bread;Savoury,Egg & Ham Sandwich
812,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
1639,594,Side,Fingerfood;Vegetarian,F.Fries Curry Mayo
605,788,Side,Bread;Savoury,F.Toast Chicken Floss
1602,2364,Side,Bread;Sweet,F.Toast Ice Cream
192,1273,Main,Noodle;Pork,Fermented Pork Dry Noodle
362,1394,Main,Western;Fish,Fish & Chips
325,1394,Main,Bakedrice;Fish,Fish Bk Rice
288,1273,Main,Noodle;Fish,Fish Egg Sauteed HF
176,1273,Main,Spaghetti;Fish,Fish Fillet Spag
591,1394,Main,Noodlesoup;Fish,Fish Papaya Soup Beehoon
309,1273,Main,Rice;Fish,Fish Slice Muifan
370,1030,Main,Porridge;Fish,Fish Slice Por
1934,594,Side,Bread;Sweet,French Toast
42,594,Drink,Drink;Cold,Fresh  Lime Juice
109,352,Drink,Drink;Hot,Fresh Soy Milk
304,1394,Main,Noodle;Pork,Fried Spare Ribs Bee Hoon
589,121,Side,Fingerfood;Seafood,Fried Wanton 3pcs
917,958,Dessert,Dessert;Cold,Fruit Jelly Pudding
761,594,Side,Fingerfood;Chicken,HAM BO LO BUN
1789,715,Side,Fingerfood;Chicken,HONEY CHICKEN WING (5pcs)
293,944,Main,Noodlesoup;Pork,Ham & Egg Soup Ndl
686,836,Side,Bread;Pork,Ham Egg Toast N French Fries
4178,594,Side,Dimsum;Seafood,Har Gao
163,352,Dessert,Dessert;Cold,Home-Made Cold Beancurd
562,1914,Dessert,Dessert;Cold,Homemade Cold Beancurd
132,424,Drink,Drink;Hot,Hot Coffee-Tea
37,473,Drink,Drink;Hot,Hot Honey Green Tea
148,473,Drink,Drink;Hot,Hot Honey with Lemon
10,836,Drink,Drink;Cold,ICED MILO FLOAT
70,545,Drink,Drink;Cold,Ice Milo Dinosaur
405,473,Drink,Drink;Cold,Iced Coffee-Tea
34,836,Drink,Drink;Cold,Iced Coffee-Tea Float
62,594,Drink,Drink;Cold,Iced Honey Green Tea
286,594,Drink,Drink;Cold,Iced Lemon Tea
271,667,Drink,Drink;Cold,Iced Lychee Tea
646,473,Drink,Drink;Cold,Iced Milk Tea
23,836,Drink,Drink;Cold,Iced Milk Tea Float
44,667,Drink,Drink;Cold,Iced Peach Tea
108,473,Drink,Drink;Cold,Iced Soy Milk
51,667,Drink,Drink;Cold,Iced Yuzu Tea
846,352,Side,Bread;Sweet,Kaya Butter Bread
803,424,Side,Bread;Savoury,Kaya Butter Bread + Kopi
47,206,Drink,Drink;Hot,Kopi
1360,473,Side,Bread;Savoury,L.Meat'N'Egg S'wich
16,473,Drink,Drink;Hot,LEMON COKE
402,242,Side,Addons;Pork,LUNCHEON MEAT (2pcs)
14,594,Drink,Drink;Cold,Lime Juice
1162,594,Side,Fingerfood;Pork,Luncheon Meat Fries
301,1273,Main,Spaghetti;Pork,Luncheon Mushrm Cream Spag
600,473,Side,Bread;Savoury,Luncheon N Egg Sandwich
527,1067,Main,Noodlesoup;Pork,LuncheonMeatSoup Ndl
51,715,Drink,Drink;Cold,Lychee Ice-blended
1166,836,Dessert,Dessert;Cold,Mango Pomelo
339,909,Dessert,Dessert;Cold,Mango SnowIce
152,424,Drink,Drink;Hot,Milk Tea
40,229,Drink,Drink;Hot,Milo
1655,1151,Side,Vegetable;Seafood,Minced Kai Lan W Silver Fish
168,1394,Main,Baked Rice;Vegetarian,Mush Bk Rice
149,1200,Main,Spaghetti;Vegetarian,Mushroom Cream Spag
3621,788,Side,Dimsum;Pork,Pan Fried Dumpling
755,1030,Side,Vegetable;Vegetarian,Paoched Lettuce
23,1430,Drink,Drink;Cold,Peach Ice-blended
921,594,Side,Bread;Sweet,Peanut Butter Milk Thick Toast
1432,1394,Main,Noodle;Pork,Pork Chop Bee Hoon
921,1515,Main,Bakedrice;Pork,Pork Chop Bk Rice
125,1394,Main,Rice;Pork,Pork Chop Frag Rice
192,1394,Main,Noodle;Pork,Pork Chop Noodle
186,1030,Main,Porridge;Pork,Pork N Century Egg Congee
668,1394,Main,Noodle;Pork,Pork Ribs BH
77,1030,Main,Porridge;Pork,Pork n Century Egg Congee
3042,836,Side,Fingerfood;Chicken,Prawn Paste Chicken
184,1067,Main,Rice;Chicken,Pumpkin Chix Chop Rice
57,594,Drink,Drink;Cold,RAINBOW SPRITE
1891,594,Side,Dimsum;Pork,Radish Cake
160,909,Dessert,Dessert;Cold,Red Bean Snow
487,1757,Main,Spaghetti;Seafood,SCALLOP CREAM SAUCE SPAGHETTI
431,1394,Main,Rice;Pork,SH Pork Chop Rice
365,1515,Main,Noodle;Duck,SMOKED DUCK DRY CURRY RAMEN
29,594,Drink,Drink;Cold,SOUR PLUM COKE
319,667,Dessert,Dessert;Cold,SOY MILK WITH GLUTINOUS BALL
461,1273,Main,Noodle;Pork;Seafood,SPECIAL STIR FRIED BEE HOON
2534,594,Side,Dimsum;Pork,SPRING ROLL
695,1273,Main,Friedrice;Seafood,Sambal Seafood Fried Rice
178,1151,Main,Porridge;Seafood,Sampan Congee
85,1321,Main,Noodle;Seafood,Seafood Ee Noodle
133,1273,Main,Noodle;Seafood,Seafood Egg Hor Fun
327,1273,Main,Rice;Seafood,Seafood Muifan
237,1273,Main,Noodle;Seafood,Seafood Sauteed HF
170,1030,Main,Soup;Seafood;Pork,Seafood and Slice Pork Macaroni Soup
736,667,Dessert,Dessert;Cold,Sesame Cream Glutinous Ball
4435,545,Side,Dimsum;Seafood;Pork,Siew Mai
1179,1394,Main,Noodle;Pork,Signature Fried Noodles
2351,1394,Main,Friedrice;Pork;Seafood;Chicken,Signature Fried Rice
721,1200,Main,Porridge;Seafood,Sliced Empress Congee
101,1273,Main,Noodle;Fish,Sliced Fish Egg Hor Fun
461,352,Side,Bread,Soft Boiled Eggs
820,836,Side,Soup,Soup Of The Day
229,1030,Main,Porridge;Pork,Spicy Pork Por
1719,242,Side,Fingerfood;Vegetarian,Spicy Sour Fries
14,352,Drink,Drink;Cold,Sprite
290,944,Main,Noodlesoup;Pork,Spy P.Dices Soup Ndl
1002,594,Side,Dimsum;Pork,Steam Pork Spare Ribs
61,206,Drink,Drink;Hot,Teh
173,1030,Main,Noodle;Vegetarian,VEGETARIAN HOR FUN
125,1151,Main,Noodle;Vegetarian,VEGETARIAN RAMEN
562,182,Side,Addons;Vegetarian,WHITE RICE
1527,715,Side,Soup;Pork;Seafood,Wanton Soup
394,1079,Main,Noodle;Pork;Seafood,Wanton Soup Noodle
197,73,Drink,Drink;Hot,Warm Water
174,788,Dessert,Dessert;Cold,Watermelon 'N' Jelly
42,715,Drink,Drink;Cold,Watermelon Ice
