uscore,price,item_type,item_cat,item_desc
130,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
667,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
347,1515,Main,BakedRice;Seafood,BAKED RICE EBI
1503,545,Side,Dimsum;Pork,BBQ Pork Bun
224,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
203,1273,Main,Western;Chicken,BP Chicken Chop
315,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
443,1273,Main,Western;Chicken,BP Chix Chop & Fries
886,1273,Main,Spaghetti;Chicken,BP Chix Spag
320,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
2224,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
76,473,Dessert,Dessert;Cold,Beancurd w Mango
522,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
399,352,Side,Bread,Bo Lo Bun
936,594,Side,Soup;Beef,Borsch Soup
1494,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
315,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
384,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
10,836,Drink,Drink;Cold,COKE FLOAT
598,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
454,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
1408,1030,Main,Porridge;Pork,Cent Egg Pork Por
2412,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
1505,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
568,594,Side,Dimsum;Chicken,Chicken Feet
576,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
213,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
358,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
320,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
667,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
146,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
684,909,Main,Soup;Chicken,Chicken Macaroni Soup
2092,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
414,715,Side,Fingerfood;Chicken,Chicken with Seaweed
122,206,Drink,Drink;Hot,Chinese Tea
806,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
1634,594,Side,Dimsum;Chicken,Chix Feet
161,594,Side,Fingerfood;Chicken,Chix Wing BP
230,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
920,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
460,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
353,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
518,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
395,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
157,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
35,352,Drink,Drink;Cold,Coke
38,121,Drink,Drink;Cold,Coke Float (Promo)
125,73,Drink,Drink;Cold,Cold / Iced Water
399,594,Side,Bread;Sweet,Condensed & Peanut TT
1611,473,Side,Dimsum;Chicken,Custard Bun
1196,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
399,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
699,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
245,473,Side,Bread;Savoury,Egg & Ham Sandwich
891,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
552,594,Side,Fingerfood;Vegetarian,F.Fries Curry Mayo
360,788,Side,Bread;Savoury,F.Toast Chicken Floss
759,2364,Side,Bread;Sweet,F.Toast Ice Cream
299,1273,Main,Noodle;Pork,Fermented Pork Dry Noodle
646,1394,Main,Western;Fish,Fish & Chips
528,1394,Main,Bakedrice;Fish,Fish Bk Rice
395,1273,Main,Noodle;Fish,Fish Egg Sauteed HF
278,1273,Main,Spaghetti;Fish,Fish Fillet Spag
2102,1394,Main,Noodlesoup;Fish,Fish Papaya Soup Beehoon
