uscore,price,item_type,item_cat,item_desc
104,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
825,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
525,1515,Main,BakedRice;Seafood,BAKED RICE EBI
440,545,Side,Dimsum;Pork,BBQ Pork Bun
299,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
233,1273,Main,Western;Chicken,BP Chicken Chop
459,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
492,1273,Main,Western;Chicken,BP Chix Chop & Fries
1130,1273,Main,Spaghetti;Chicken,BP Chix Spag
439,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
784,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
66,473,Dessert,Dessert;Cold,Beancurd w Mango
177,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
106,352,Side,Bread,Bo Lo Bun
81,594,Side,Soup;Beef,Borsch Soup
1130,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
392,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
519,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
13,836,Drink,Drink;Cold,COKE FLOAT
592,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
459,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
658,1030,Main,Porridge;Pork,Cent Egg Pork Por
2893,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
1908,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
192,594,Side,Dimsum;Chicken,Chicken Feet
758,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
226,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
386,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
539,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
222,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
137,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
273,909,Main,Soup;Chicken,Chicken Macaroni Soup
1164,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
126,715,Side,Fingerfood;Chicken,Chicken with Seaweed
55,206,Drink,Drink;Hot,Chinese Tea
1077,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
652,594,Side,Dimsum;Chicken,Chix Feet
71,594,Side,Fingerfood;Chicken,Chix Wing BP
172,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
379,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
182,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
131,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
838,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
459,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
228,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
36,352,Drink,Drink;Cold,Coke
11,121,Drink,Drink;Cold,Coke Float (Promo)
125,73,Drink,Drink;Cold,Cold / Iced Water
182,594,Side,Bread;Sweet,Condensed & Peanut TT
602,473,Side,Dimsum;Chicken,Custard Bun
182,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
187,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
771,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
56,473,Side,Bread;Savoury,Egg & Ham Sandwich
1077,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
167,594,Side,Fingerfood;Vegetarian,F.Fries Curry Mayo
167,788,Side,Bread;Savoury,F.Toast Chicken Floss
303,2364,Side,Bread;Sweet,F.Toast Ice Cream
386,1273,Main,Noodle;Pork,Fermented Pork Dry Noodle
798,1394,Main,Western;Fish,Fish & Chips
552,1394,Main,Bakedrice;Fish,Fish Bk Rice
598,1273,Main,Noodle;Fish,Fish Egg Sauteed HF
199,1273,Main,Spaghetti;Fish,Fish Fillet Spag
1184,1394,Main,Noodlesoup;Fish,Fish Papaya Soup Beehoon
572,1273,Main,Rice;Fish,Fish Slice Muifan
678,1030,Main,Porridge;Fish,Fish Slice Por
364,594,Side,Bread;Sweet,French Toast
55,594,Drink,Drink;Cold,Fresh  Lime Juice
89,352,Drink,Drink;Hot,Fresh Soy Milk
465,1394,Main,Noodle;Pork,Fried Spare Ribs Bee Hoon
137,121,Side,Fingerfood;Seafood,Fried Wanton 3pcs
498,958,Dessert,Dessert;Cold,Fruit Jelly Pudding
182,594,Side,Fingerfood;Chicken,HAM BO LO BUN
228,715,Side,Fingerfood;Chicken,HONEY CHICKEN WING (5pcs)
559,944,Main,Noodlesoup;Pork,Ham & Egg Soup Ndl
121,836,Side,Bread;Pork,Ham Egg Toast N French Fries
890,594,Side,Dimsum;Seafood,Har Gao
47,352,Dessert,Dessert;Cold,Home-Made Cold Beancurd
294,1914,Dessert,Dessert;Cold,Homemade Cold Beancurd
206,424,Drink,Drink;Hot,Hot Coffee-Tea
27,473,Drink,Drink;Hot,Hot Honey Green Tea
102,473,Drink,Drink;Hot,Hot Honey with Lemon
7,836,Drink,Drink;Cold,ICED MILO FLOAT
73,545,Drink,Drink;Cold,Ice Milo Dinosaur
353,473,Drink,Drink;Cold,Iced Coffee-Tea
38,836,Drink,Drink;Cold,Iced Coffee-Tea Float
49,594,Drink,Drink;Cold,Iced Honey Green Tea
176,594,Drink,Drink;Cold,Iced Lemon Tea
220,667,Drink,Drink;Cold,Iced Lychee Tea
413,473,Drink,Drink;Cold,Iced Milk Tea
27,836,Drink,Drink;Cold,Iced Milk Tea Float
29,667,Drink,Drink;Cold,Iced Peach Tea
78,473,Drink,Drink;Cold,Iced Soy Milk
62,667,Drink,Drink;Cold,Iced Yuzu Tea
111,352,Side,Bread;Sweet,Kaya Butter Bread
106,424,Side,Bread;Savoury,Kaya Butter Bread + Kopi
125,206,Drink,Drink;Hot,Kopi
197,473,Side,Bread;Savoury,L.Meat'N'Egg S'wich
8,473,Drink,Drink;Hot,LEMON COKE
101,242,Side,Addons;Pork,LUNCHEON MEAT (2pcs)
22,594,Drink,Drink;Cold,Lime Juice
273,594,Side,Fingerfood;Pork,Luncheon Meat Fries
213,1273,Main,Spaghetti;Pork,Luncheon Mushrm Cream Spag
111,473,Side,Bread;Savoury,Luncheon N Egg Sandwich
785,1067,Main,Noodlesoup;Pork,LuncheonMeatSoup Ndl
51,715,Drink,Drink;Cold,Lychee Ice-blended
413,836,Dessert,Dessert;Cold,Mango Pomelo
190,909,Dessert,Dessert;Cold,Mango SnowIce
166,424,Drink,Drink;Hot,Milk Tea
36,229,Drink,Drink;Hot,Milo
344,1151,Side,Vegetable;Seafood,Minced Kai Lan W Silver Fish
399,1394,Main,Baked Rice;Vegetarian,Mush Bk Rice
