uscore,price,item_type,item_cat,item_desc
203,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
378,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
211,1515,Main,BakedRice;Seafood,BAKED RICE EBI
3234,545,Side,Dimsum;Pork,BBQ Pork Bun
207,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
108,1273,Main,Western;Chicken,BP Chicken Chop
251,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
275,1273,Main,Western;Chicken,BP Chix Chop & Fries
586,1273,Main,Spaghetti;Chicken,BP Chix Spag
219,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
4137,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
125,473,Dessert,Dessert;Cold,Beancurd w Mango
732,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
1217,352,Side,Bread,Bo Lo Bun
1160,594,Side,Soup;Beef,Borsch Soup
601,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
187,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
235,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
9,836,Drink,Drink;Cold,COKE FLOAT
418,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
343,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
534,1030,Main,Porridge;Pork,Cent Egg Pork Por
1745,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
892,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
1103,594,Side,Dimsum;Chicken,Chicken Feet
323,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
139,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
235,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
283,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
1626,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
266,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
235,909,Main,Soup;Chicken,Chicken Macaroni Soup
709,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
894,715,Side,Fingerfood;Chicken,Chicken with Seaweed
56,206,Drink,Drink;Hot,Chinese Tea
589,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
3633,594,Side,Dimsum;Chicken,Chix Feet
466,594,Side,Fingerfood;Chicken,Chix Wing BP
647,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
2273,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
961,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
628,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
366,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
271,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
217,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
30,352,Drink,Drink;Cold,Coke
43,121,Drink,Drink;Cold,Coke Float (Promo)
128,73,Drink,Drink;Cold,Cold / Iced Water
865,594,Side,Bread;Sweet,Condensed & Peanut TT
3728,473,Side,Dimsum;Chicken,Custard Bun
5145,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
932,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
562,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
504,473,Side,Bread;Savoury,Egg & Ham Sandwich
693,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
1179,594,Side,Fingerfood;Vegetarian,F.Fries Curry Mayo
723,788,Side,Bread;Savoury,F.Toast Chicken Floss
1332,2364,Side,Bread;Sweet,F.Toast Ice Cream
215,1273,Main,Noodle;Pork,Fermented Pork Dry Noodle
390,1394,Main,Western;Fish,Fish & Chips
378,1394,Main,Bakedrice;Fish,Fish Bk Rice
275,1273,Main,Noodle;Fish,Fish Egg Sauteed HF
163,1273,Main,Spaghetti;Fish,Fish Fillet Spag
546,1394,Main,Noodlesoup;Fish,Fish Papaya Soup Beehoon
291,1273,Main,Rice;Fish,Fish Slice Muifan
406,1030,Main,Porridge;Fish,Fish Slice Por
2226,594,Side,Bread;Sweet,French Toast
35,594,Drink,Drink;Cold,Fresh  Lime Juice
94,352,Drink,Drink;Hot,Fresh Soy Milk
263,1394,Main,Noodle;Pork,Fried Spare Ribs Bee Hoon
4394,121,Side,Fingerfood;Seafood,Fried Wanton 3pcs
812,958,Dessert,Dessert;Cold,Fruit Jelly Pudding
780,594,Side,Fingerfood;Chicken,HAM BO LO BUN
1484,715,Side,Fingerfood;Chicken,HONEY CHICKEN WING (5pcs)
362,944,Main,Noodlesoup;Pork,Ham & Egg Soup Ndl
1332,836,Side,Bread;Pork,Ham Egg Toast N French Fries
6020,594,Side,Dimsum;Seafood,Har Gao
97,352,Dessert,Dessert;Cold,Home-Made Cold Beancurd
486,1914,Dessert,Dessert;Cold,Homemade Cold Beancurd
216,424,Drink,Drink;Hot,Hot Coffee-Tea
31,473,Drink,Drink;Hot,Hot Honey Green Tea
123,473,Drink,Drink;Hot,Hot Honey with Lemon
10,836,Drink,Drink;Cold,ICED MILO FLOAT
69,545,Drink,Drink;Cold,Ice Milo Dinosaur
394,473,Drink,Drink;Cold,Iced Coffee-Tea
31,836,Drink,Drink;Cold,Iced Coffee-Tea Float
54,594,Drink,Drink;Cold,Iced Honey Green Tea
267,594,Drink,Drink;Cold,Iced Lemon Tea
224,667,Drink,Drink;Cold,Iced Lychee Tea
642,473,Drink,Drink;Cold,Iced Milk Tea
23,836,Drink,Drink;Cold,Iced Milk Tea Float
27,667,Drink,Drink;Cold,Iced Peach Tea
82,473,Drink,Drink;Cold,Iced Soy Milk
38,667,Drink,Drink;Cold,Iced Yuzu Tea
837,352,Side,Bread;Sweet,Kaya Butter Bread
1493,424,Side,Bread;Savoury,Kaya Butter Bread + Kopi
128,206,Drink,Drink;Hot,Kopi
1874,473,Side,Bread;Savoury,L.Meat'N'Egg S'wich
16,473,Drink,Drink;Hot,LEMON COKE
457,242,Side,Addons;Pork,LUNCHEON MEAT (2pcs)
15,594,Drink,Drink;Cold,Lime Juice
1255,594,Side,Fingerfood;Pork,Luncheon Meat Fries
263,1273,Main,Spaghetti;Pork,Luncheon Mushrm Cream Spag
885,473,Side,Bread;Savoury,Luncheon N Egg Sandwich
518,1067,Main,Noodlesoup;Pork,LuncheonMeatSoup Ndl
35,715,Drink,Drink;Cold,Lychee Ice-blended
826,836,Dessert,Dessert;Cold,Mango Pomelo
278,909,Dessert,Dessert;Cold,Mango SnowIce
206,424,Drink,Drink;Hot,Milk Tea
42,229,Drink,Drink;Hot,Milo
1284,1151,Side,Vegetable;Seafood,Minced Kai Lan W Silver Fish
167,1394,Main,Baked Rice;Vegetarian,Mush Bk Rice
139,1200,Main,Spaghetti;Vegetarian,Mushroom Cream Spag
4622,788,Side,Dimsum;Pork,Pan Fried Dumpling
609,1030,Side,Vegetable;Vegetarian,Paoched Lettuce
26,1430,Drink,Drink;Cold,Peach Ice-blended
885,594,Side,Bread;Sweet,Peanut Butter Milk Thick Toast
1625,1394,Main,Noodle;Pork,Pork Chop Bee Hoon
1067,1515,Main,Bakedrice;Pork,Pork Chop Bk Rice
227,1394,Main,Rice;Pork,Pork Chop Frag Rice
199,1394,Main,Noodle;Pork,Pork Chop Noodle
255,1030,Main,Porridge;Pork,Pork N Century Egg Congee
689,1394,Main,Noodle;Pork,Pork Ribs BH
104,1030,Main,Porridge;Pork,Pork n Century Egg Congee
2501,836,Side,Fingerfood;Chicken,Prawn Paste Chicken
175,1067,Main,Rice;Chicken,Pumpkin Chix Chop Rice
43,594,Drink,Drink;Cold,RAINBOW SPRITE
