uscore,price,item_type,item_cat,item_desc
184,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
542,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
271,1515,Main,BakedRice;Seafood,BAKED RICE EBI
278,545,Side,Dimsum;Pork,BBQ Pork Bun
181,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
451,1273,Main,Western;Chicken,BP Chicken Chop
812,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
135,1273,Main,Western;Chicken,BP Chix Chop & Fries
316,1273,Main,Spaghetti;Chicken,BP Chix Spag
271,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
505,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
92,473,Dessert,Dessert;Cold,Beancurd w Mango
101,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
126,352,Side,Bread,Bo Lo Bun
404,594,Side,Soup;Beef,Borsch Soup
1624,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
181,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
496,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
34,836,Drink,Drink;Cold,COKE FLOAT
632,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
542,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
902,1030,Main,Porridge;Pork,Cent Egg Pork Por
1851,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
1760,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
429,594,Side,Dimsum;Chicken,Chicken Feet
316,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
271,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
406,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
252,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
202,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
632,909,Main,Soup;Chicken,Chicken Macaroni Soup
812,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
227,715,Side,Fingerfood;Chicken,Chicken with Seaweed
112,206,Drink,Drink;Hot,Chinese Tea
722,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
177,594,Side,Dimsum;Chicken,Chix Feet
126,594,Side,Fingerfood;Chicken,Chix Wing BP
101,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
404,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
151,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
50,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
226,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
271,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
215,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
56,352,Drink,Drink;Cold,Coke
13,121,Drink,Drink;Cold,Coke Float (Promo)
164,73,Drink,Drink;Cold,Cold / Iced Water
50,594,Side,Bread;Sweet,Condensed & Peanut TT
378,473,Side,Dimsum;Chicken,Custard Bun
101,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
126,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
722,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
202,473,Side,Bread;Savoury,Egg & Ham Sandwich
903,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
555,594,Side,Fingerfood;Vegetarian,F.Fries Curry Mayo
227,788,Side,Bread;Savoury,F.Toast Chicken Floss
353,2364,Side,Bread;Sweet,F.Toast Ice Cream
361,1273,Main,Noodle;Pork,Fermented Pork Dry Noodle
406,1394,Main,Western;Fish,Fish & Chips
361,1394,Main,Bakedrice;Fish,Fish Bk Rice
181,1273,Main,Noodle;Fish,Fish Egg Sauteed HF
135,1273,Main,Spaghetti;Fish,Fish Fillet Spag
992,1394,Main,Noodlesoup;Fish,Fish Papaya Soup Beehoon
181,1273,Main,Rice;Fish,Fish Slice Muifan
632,1030,Main,Porridge;Fish,Fish Slice Por
530,594,Side,Bread;Sweet,French Toast
30,594,Drink,Drink;Cold,Fresh  Lime Juice
182,352,Drink,Drink;Hot,Fresh Soy Milk
361,1394,Main,Noodle;Pork,Fried Spare Ribs Bee Hoon
491,958,Dessert,Dessert;Cold,Fruit Jelly Pudding
202,594,Side,Fingerfood;Chicken,HAM BO LO BUN
202,715,Side,Fingerfood;Chicken,HONEY CHICKEN WING (5pcs)
