uscore,price,item_type,item_cat,item_desc
32,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
181,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
181,1515,Main,BakedRice;Seafood,BAKED RICE EBI
694,545,Side,Dimsum;Pork,BBQ Pork Bun
90,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
45,1273,Main,Western;Chicken,BP Chicken Chop
271,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
181,1273,Main,Western;Chicken,BP Chix Chop & Fries
543,1273,Main,Spaghetti;Chicken,BP Chix Spag
181,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
379,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
64,473,Dessert,Dessert;Cold,Beancurd w Mango
11,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
87,352,Side,Bread,Bo Lo Bun
65,594,Side,Soup;Beef,Borsch Soup
543,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
90,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
226,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
4,836,Drink,Drink;Cold,COKE FLOAT
543,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
226,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
2262,1030,Main,Porridge;Pork,Cent Egg Pork Por
1990,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
859,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
98,594,Side,Dimsum;Chicken,Chicken Feet
859,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
136,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
271,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
362,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
54,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
54,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
814,909,Main,Soup;Chicken,Chicken Macaroni Soup
1176,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
33,715,Side,Fingerfood;Chicken,Chicken with Seaweed
128,206,Drink,Drink;Hot,Chinese Tea
588,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
379,594,Side,Dimsum;Chicken,Chix Feet
11,594,Side,Fingerfood;Chicken,Chix Wing BP
108,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
65,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
22,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
136,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
407,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
11,352,Drink,Drink;Cold,Coke
33,73,Drink,Drink;Cold,Cold / Iced Water
119,594,Side,Bread;Sweet,Condensed & Peanut TT
336,473,Side,Dimsum;Chicken,Custard Bun
33,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
226,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
87,473,Side,Bread;Savoury,Egg & Ham Sandwich
362,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
22,594,Side,Fingerfood;Vegetarian,F.Fries Curry Mayo
43,788,Side,Bread;Savoury,F.Toast Chicken Floss
54,2364,Side,Bread;Sweet,F.Toast Ice Cream
181,1273,Main,Noodle;Pork,Fermented Pork Dry Noodle
724,1394,Main,Western;Fish,Fish & Chips
317,1394,Main,Bakedrice;Fish,Fish Bk Rice
362,1273,Main,Noodle;Fish,Fish Egg Sauteed HF
45,1273,Main,Spaghetti;Fish,Fish Fillet Spag
543,1394,Main,Noodlesoup;Fish,Fish Papaya Soup Beehoon
498,1273,Main,Rice;Fish,Fish Slice Muifan
950,1030,Main,Porridge;Fish,Fish Slice Por
325,594,Side,Bread;Sweet,French Toast
22,594,Drink,Drink;Cold,Fresh  Lime Juice
132,352,Drink,Drink;Hot,Fresh Soy Milk
90,1394,Main,Noodle;Pork,Fried Spare Ribs Bee Hoon
322,958,Dessert,Dessert;Cold,Fruit Jelly Pudding
119,594,Side,Fingerfood;Chicken,HAM BO LO BUN
65,715,Side,Fingerfood;Chicken,HONEY CHICKEN WING (5pcs)
814,944,Main,Noodlesoup;Pork,Ham & Egg Soup Ndl
639,836,Side,Bread;Pork,Ham Egg Toast N French Fries
574,594,Side,Dimsum;Seafood,Har Gao
290,352,Dessert,Dessert;Cold,Home-Made Cold Beancurd
225,1914,Dessert,Dessert;Cold,Homemade Cold Beancurd
530,424,Drink,Drink;Hot,Hot Coffee-Tea
22,473,Drink,Drink;Hot,Hot Honey Green Tea
124,473,Drink,Drink;Hot,Hot Honey with Lemon
11,836,Drink,Drink;Cold,ICED MILO FLOAT
168,545,Drink,Drink;Cold,Ice Milo Dinosaur
135,473,Drink,Drink;Cold,Iced Coffee-Tea
11,836,Drink,Drink;Cold,Iced Coffee-Tea Float
15,594,Drink,Drink;Cold,Iced Honey Green Tea
117,594,Drink,Drink;Cold,Iced Lemon Tea
121,667,Drink,Drink;Cold,Iced Lychee Tea
274,473,Drink,Drink;Cold,Iced Milk Tea
4,836,Drink,Drink;Cold,Iced Milk Tea Float
22,667,Drink,Drink;Cold,Iced Peach Tea
84,473,Drink,Drink;Cold,Iced Soy Milk
22,667,Drink,Drink;Cold,Iced Yuzu Tea
206,352,Side,Bread;Sweet,Kaya Butter Bread
293,424,Side,Bread;Savoury,Kaya Butter Bread + Kopi
274,206,Drink,Drink;Hot,Kopi
618,473,Side,Bread;Savoury,L.Meat'N'Egg S'wich
7,473,Drink,Drink;Hot,LEMON COKE
11,242,Side,Addons;Pork,LUNCHEON MEAT (2pcs)
7,594,Drink,Drink;Cold,Lime Juice
43,594,Side,Fingerfood;Pork,Luncheon Meat Fries
181,1273,Main,Spaghetti;Pork,Luncheon Mushrm Cream Spag
130,473,Side,Bread;Savoury,Luncheon N Egg Sandwich
905,1067,Main,Noodlesoup;Pork,LuncheonMeatSoup Ndl
15,715,Drink,Drink;Cold,Lychee Ice-blended
97,836,Dessert,Dessert;Cold,Mango Pomelo
303,424,Drink,Drink;Hot,Milk Tea
124,229,Drink,Drink;Hot,Milo
65,1151,Side,Vegetable;Seafood,Minced Kai Lan W Silver Fish
859,1394,Main,Baked Rice;Vegetarian,Mush Bk Rice
271,1200,Main,Spaghetti;Vegetarian,Mushroom Cream Spag
325,788,Side,Dimsum;Pork,Pan Fried Dumpling
22,1030,Side,Vegetable;Vegetarian,Paoched Lettuce
15,1430,Drink,Drink;Cold,Peach Ice-blended
