uscore,price,item_type,item_cat,item_desc
459,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
367,1515,Main,BakedRice;Seafood,BAKED RICE EBI
495,545,Side,Dimsum;Pork,BBQ Pork Bun
92,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
367,1273,Main,Western;Chicken,BP Chicken Chop
642,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
92,1273,Main,Western;Chicken,BP Chix Chop & Fries
550,1273,Main,Spaghetti;Chicken,BP Chix Spag
183,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
627,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
67,473,Dessert,Dessert;Cold,Beancurd w Mango
66,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
99,352,Side,Bread,Bo Lo Bun
198,594,Side,Soup;Beef,Borsch Soup
1468,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
275,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
275,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
1009,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
367,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
1468,1030,Main,Porridge;Pork,Cent Egg Pork Por
2293,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
1560,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
330,594,Side,Dimsum;Chicken,Chicken Feet
1101,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
183,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
917,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
367,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
132,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
2018,909,Main,Soup;Chicken,Chicken Macaroni Soup
550,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
66,715,Side,Fingerfood;Chicken,Chicken with Seaweed
86,206,Drink,Drink;Hot,Chinese Tea
917,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
297,594,Side,Dimsum;Chicken,Chix Feet
33,594,Side,Fingerfood;Chicken,Chix Wing BP
99,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
33,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
165,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
275,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
183,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
22,352,Drink,Drink;Cold,Coke
7,121,Drink,Drink;Cold,Coke Float (Promo)
72,73,Drink,Drink;Cold,Cold / Iced Water
99,594,Side,Bread;Sweet,Condensed & Peanut TT
429,473,Side,Dimsum;Chicken,Custard Bun
33,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
132,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
367,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
