23,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
25,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
38,1515,Main,BakedRice;Seafood,BAKED RICE EBI
70,545,Side,Dimsum;Pork,BBQ Pork Bun
17,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
19,1273,Main,Western;Chicken,BP Chicken Chop
35,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
47,1273,Main,Western;Chicken,BP Chix Chop & Fries
70,1273,Main,Spaghetti;Chicken,BP Chix Spag
19,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
90,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
13,473,Dessert,Dessert;Cold,Beancurd w Mango
32,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
17,352,Side,Bread,Bo Lo Bun
26,594,Side,Soup;Beef,Borsch Soup
70,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
19,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
34,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
9,836,Drink,Drink;Cold,COKE FLOAT
75,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
52,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
70,1030,Main,Porridge;Pork,Cent Egg Pork Por
243,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
102,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
30,594,Side,Dimsum;Chicken,Chicken Feet
86,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
21,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
46,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
30,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
57,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
14,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
27,909,Main,Soup;Chicken,Chicken Macaroni Soup
66,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
23,715,Side,Fingerfood;Chicken,Chicken with Seaweed
25,206,Drink,Drink;Hot,Chinese Tea
97,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
63,594,Side,Dimsum;Chicken,Chix Feet
11,594,Side,Fingerfood;Chicken,Chix Wing BP
21,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
77,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
34,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
21,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
43,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
35,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
21,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
16,352,Drink,Drink;Cold,Coke
10,121,Drink,Drink;Cold,Coke Float (Promo)
55,73,Drink,Drink;Cold,Cold / Iced Water
19,594,Side,Bread;Sweet,Condensed & Peanut TT
63,473,Side,Dimsum;Chicken,Custard Bun
38,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
28,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
51,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
10,473,Side,Bread;Savoury,Egg & Ham Sandwich
52,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
23,594,Side,Fingerfood;Vegetarian,F.Fries Curry Mayo
14,788,Side,Bread;Savoury,F.Toast Chicken Floss
43,2364,Side,Bread;Sweet,F.Toast Ice Cream
18,1273,Main,Noodle;Pork,Fermented Pork Dry Noodle
91,1394,Main,Western;Fish,Fish & Chips
60,1394,Main,Bakedrice;Fish,Fish Bk Rice
50,1273,Main,Noodle;Fish,Fish Egg Sauteed HF
24,1273,Main,Spaghetti;Fish,Fish Fillet Spag
75,1394,Main,Noodlesoup;Fish,Fish Papaya Soup Beehoon
45,1273,Main,Rice;Fish,Fish Slice Muifan
80,1030,Main,Porridge;Fish,Fish Slice Por
40,594,Side,Bread;Sweet,French Toast
20,594,Drink,Drink;Cold,Fresh  Lime Juice
45,352,Drink,Drink;Hot,Fresh Soy Milk
39,1394,Main,Noodle;Pork,Fried Spare Ribs Bee Hoon
2,121,Side,Fingerfood;Seafood,Fried Wanton 3pcs
113,958,Dessert,Dessert;Cold,Fruit Jelly Pudding
17,594,Side,Fingerfood;Chicken,HAM BO LO BUN
48,715,Side,Fingerfood;Chicken,HONEY CHICKEN WING (5pcs)
77,944,Main,Noodlesoup;Pork,Ham & Egg Soup Ndl
24,836,Side,Bread;Pork,Ham Egg Toast N French Fries
121,594,Side,Dimsum;Seafood,Har Gao
13,352,Dessert,Dessert;Cold,Home-Made Cold Beancurd
83,1914,Dessert,Dessert;Cold,Homemade Cold Beancurd
60,424,Drink,Drink;Hot,Hot Coffee-Tea
20,473,Drink,Drink;Hot,Hot Honey Green Tea
70,473,Drink,Drink;Hot,Hot Honey with Lemon
10,836,Drink,Drink;Cold,ICED MILO FLOAT
61,545,Drink,Drink;Cold,Ice Milo Dinosaur
84,473,Drink,Drink;Cold,Iced Coffee-Tea
11,836,Drink,Drink;Cold,Iced Coffee-Tea Float
18,594,Drink,Drink;Cold,Iced Honey Green Tea
108,594,Drink,Drink;Cold,Iced Lemon Tea
113,667,Drink,Drink;Cold,Iced Lychee Tea
