39,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
17,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
18,1515,Main,BakedRice;Seafood,BAKED RICE EBI
95,545,Side,Dimsum;Pork,BBQ Pork Bun
12,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
10,1273,Main,Western;Chicken,BP Chicken Chop
15,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
21,1273,Main,Western;Chicken,BP Chix Chop & Fries
31,1273,Main,Spaghetti;Chicken,BP Chix Spag
11,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
109,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
21,473,Dessert,Dessert;Cold,Beancurd w Mango
38,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
23,352,Side,Bread,Bo Lo Bun
43,594,Side,Soup;Beef,Borsch Soup
41,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
13,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
17,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
8,836,Drink,Drink;Cold,COKE FLOAT
44,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
32,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
45,1030,Main,Porridge;Pork,Cent Egg Pork Por
155,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
66,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
40,594,Side,Dimsum;Chicken,Chicken Feet
48,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
14,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
29,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
19,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
77,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
16,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
21,909,Main,Soup;Chicken,Chicken Macaroni Soup
45,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
27,715,Side,Fingerfood;Chicken,Chicken with Seaweed
31,206,Drink,Drink;Hot,Chinese Tea
62,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
87,594,Side,Dimsum;Chicken,Chix Feet
18,594,Side,Fingerfood;Chicken,Chix Wing BP
36,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
90,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
46,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
27,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
30,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
29,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
27,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
14,352,Drink,Drink;Cold,Coke
20,121,Drink,Drink;Cold,Coke Float (Promo)
56,73,Drink,Drink;Cold,Cold / Iced Water
19,594,Side,Bread;Sweet,Condensed & Peanut TT
88,473,Side,Dimsum;Chicken,Custard Bun
136,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
27,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
34,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
19,473,Side,Bread;Savoury,Egg & Ham Sandwich
29,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
30,594,Side,Fingerfood;Vegetarian,F.Fries Curry Mayo
20,788,Side,Bread;Savoury,F.Toast Chicken Floss
57,2364,Side,Bread;Sweet,F.Toast Ice Cream
14,1273,Main,Noodle;Pork,Fermented Pork Dry Noodle
52,1394,Main,Western;Fish,Fish & Chips
23,1394,Main,Bakedrice;Fish,Fish Bk Rice
28,1273,Main,Noodle;Fish,Fish Egg Sauteed HF
18,1273,Main,Spaghetti;Fish,Fish Fillet Spag
55,1394,Main,Noodlesoup;Fish,Fish Papaya Soup Beehoon
30,1273,Main,Rice;Fish,Fish Slice Muifan
51,1030,Main,Porridge;Fish,Fish Slice Por
52,594,Side,Bread;Sweet,French Toast
21,594,Drink,Drink;Cold,Fresh  Lime Juice
50,352,Drink,Drink;Hot,Fresh Soy Milk
28,1394,Main,Noodle;Pork,Fried Spare Ribs Bee Hoon
9,121,Side,Fingerfood;Seafood,Fried Wanton 3pcs
109,958,Dessert,Dessert;Cold,Fruit Jelly Pudding
27,594,Side,Fingerfood;Chicken,HAM BO LO BUN
57,715,Side,Fingerfood;Chicken,HONEY CHICKEN WING (5pcs)
41,944,Main,Noodlesoup;Pork,Ham & Egg Soup Ndl
38,836,Side,Bread;Pork,Ham Egg Toast N French Fries
144,594,Side,Dimsum;Seafood,Har Gao
27,352,Dessert,Dessert;Cold,Home-Made Cold Beancurd
88,1914,Dessert,Dessert;Cold,Homemade Cold Beancurd
70,424,Drink,Drink;Hot,Hot Coffee-Tea
20,473,Drink,Drink;Hot,Hot Honey Green Tea
75,473,Drink,Drink;Hot,Hot Honey with Lemon
8,836,Drink,Drink;Cold,ICED MILO FLOAT
51,545,Drink,Drink;Cold,Ice Milo Dinosaur
87,473,Drink,Drink;Cold,Iced Coffee-Tea
10,836,Drink,Drink;Cold,Iced Coffee-Tea Float
20,594,Drink,Drink;Cold,Iced Honey Green Tea
116,594,Drink,Drink;Cold,Iced Lemon Tea
124,667,Drink,Drink;Cold,Iced Lychee Tea
162,473,Drink,Drink;Cold,Iced Milk Tea
8,836,Drink,Drink;Cold,Iced Milk Tea Float
17,667,Drink,Drink;Cold,Iced Peach Tea
40,473,Drink,Drink;Cold,Iced Soy Milk
27,667,Drink,Drink;Cold,Iced Yuzu Tea
29,352,Side,Bread;Sweet,Kaya Butter Bread
43,424,Side,Bread;Savoury,Kaya Butter Bread + Kopi
