uscore,price,item_type,item_cat,item_desc
379,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
184,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
191,1515,Main,BakedRice;Seafood,BAKED RICE EBI
2722,545,Side,Dimsum;Pork,BBQ Pork Bun
122,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
102,1273,Main,Western;Chicken,BP Chicken Chop
158,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
220,1273,Main,Western;Chicken,BP Chix Chop & Fries
316,1273,Main,Spaghetti;Chicken,BP Chix Spag
125,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
3077,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
194,473,Dessert,Dessert;Cold,Beancurd w Mango
1137,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
675,352,Side,Bread,Bo Lo Bun
1208,594,Side,Soup;Beef,Borsch Soup
424,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
141,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
191,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
18,836,Drink,Drink;Cold,COKE FLOAT
451,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
335,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
451,1030,Main,Porridge;Pork,Cent Egg Pork Por
1648,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
710,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
1144,594,Side,Dimsum;Chicken,Chicken Feet
477,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
161,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
286,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
194,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
2238,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
433,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
233,909,Main,Soup;Chicken,Chicken Macaroni Soup
483,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
782,715,Side,Fingerfood;Chicken,Chicken with Seaweed
68,206,Drink,Drink;Hot,Chinese Tea
648,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
2409,594,Side,Dimsum;Chicken,Chix Feet
533,594,Side,Fingerfood;Chicken,Chix Wing BP
1094,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
2594,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
1265,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
753,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
316,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
296,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
252,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
32,352,Drink,Drink;Cold,Coke
45,121,Drink,Drink;Cold,Coke Float (Promo)
126,73,Drink,Drink;Cold,Cold / Iced Water
540,594,Side,Bread;Sweet,Condensed & Peanut TT
2515,473,Side,Dimsum;Chicken,Custard Bun
3837,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
782,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
352,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
540,473,Side,Bread;Savoury,Egg & Ham Sandwich
309,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
796,594,Side,Fingerfood;Vegetarian,F.Fries Curry Mayo
604,788,Side,Bread;Savoury,F.Toast Chicken Floss
1592,2364,Side,Bread;Sweet,F.Toast Ice Cream
161,1273,Main,Noodle;Pork,Fermented Pork Dry Noodle
569,1394,Main,Western;Fish,Fish & Chips
253,1394,Main,Bakedrice;Fish,Fish Bk Rice
299,1273,Main,Noodle;Fish,Fish Egg Sauteed HF
184,1273,Main,Spaghetti;Fish,Fish Fillet Spag
612,1394,Main,Noodlesoup;Fish,Fish Papaya Soup Beehoon
319,1273,Main,Rice;Fish,Fish Slice Muifan
536,1030,Main,Porridge;Fish,Fish Slice Por
1499,594,Side,Bread;Sweet,French Toast
48,594,Drink,Drink;Cold,Fresh  Lime Juice
115,352,Drink,Drink;Hot,Fresh Soy Milk
309,1394,Main,Noodle;Pork,Fried Spare Ribs Bee Hoon
291,121,Side,Fingerfood;Seafood,Fried Wanton 3pcs
989,958,Dessert,Dessert;Cold,Fruit Jelly Pudding
817,594,Side,Fingerfood;Chicken,HAM BO LO BUN
1563,715,Side,Fingerfood;Chicken,HONEY CHICKEN WING (5pcs)
434,944,Main,Noodlesoup;Pork,Ham & Egg Soup Ndl
1137,836,Side,Bread;Pork,Ham Egg Toast N French Fries
4029,594,Side,Dimsum;Seafood,Har Gao
254,352,Dessert,Dessert;Cold,Home-Made Cold Beancurd
818,1914,Dessert,Dessert;Cold,Homemade Cold Beancurd
161,424,Drink,Drink;Hot,Hot Coffee-Tea
44,473,Drink,Drink;Hot,Hot Honey Green Tea
168,473,Drink,Drink;Hot,Hot Honey with Lemon
17,836,Drink,Drink;Cold,ICED MILO FLOAT
115,545,Drink,Drink;Cold,Ice Milo Dinosaur
196,473,Drink,Drink;Cold,Iced Coffee-Tea
24,836,Drink,Drink;Cold,Iced Coffee-Tea Float
44,594,Drink,Drink;Cold,Iced Honey Green Tea
260,594,Drink,Drink;Cold,Iced Lemon Tea
280,667,Drink,Drink;Cold,Iced Lychee Tea
370,473,Drink,Drink;Cold,Iced Milk Tea
19,836,Drink,Drink;Cold,Iced Milk Tea Float
40,667,Drink,Drink;Cold,Iced Peach Tea
90,473,Drink,Drink;Cold,Iced Soy Milk
62,667,Drink,Drink;Cold,Iced Yuzu Tea
746,352,Side,Bread;Sweet,Kaya Butter Bread
1172,424,Side,Bread;Savoury,Kaya Butter Bread + Kopi
87,206,Drink,Drink;Hot,Kopi
1478,473,Side,Bread;Savoury,L.Meat'N'Egg S'wich
25,473,Drink,Drink;Hot,LEMON COKE
625,242,Side,Addons;Pork,LUNCHEON MEAT (2pcs)
22,594,Drink,Drink;Cold,Lime Juice
1194,594,Side,Fingerfood;Pork,Luncheon Meat Fries
253,1273,Main,Spaghetti;Pork,Luncheon Mushrm Cream Spag
1108,473,Side,Bread;Savoury,Luncheon N Egg Sandwich
569,1067,Main,Noodlesoup;Pork,LuncheonMeatSoup Ndl
51,715,Drink,Drink;Cold,Lychee Ice-blended
1470,836,Dessert,Dessert;Cold,Mango Pomelo
305,909,Dessert,Dessert;Cold,Mango SnowIce
178,424,Drink,Drink;Hot,Milk Tea
64,229,Drink,Drink;Hot,Milo
2885,1151,Side,Vegetable;Seafood,Minced Kai Lan W Silver Fish
253,1394,Main,Baked Rice;Vegetarian,Mush Bk Rice
257,1200,Main,Spaghetti;Vegetarian,Mushroom Cream Spag
3453,788,Side,Dimsum;Pork,Pan Fried Dumpling
895,1030,Side,Vegetable;Vegetarian,Paoched Lettuce
23,1430,Drink,Drink;Cold,Peach Ice-blended
547,594,Side,Bread;Sweet,Peanut Butter Milk Thick Toast
1575,1394,Main,Noodle;Pork,Pork Chop Bee Hoon
654,1515,Main,Bakedrice;Pork,Pork Chop Bk Rice
191,1394,Main,Rice;Pork,Pork Chop Frag Rice
214,1394,Main,Noodle;Pork,Pork Chop Noodle
240,1030,Main,Porridge;Pork,Pork N Century Egg Congee
585,1394,Main,Noodle;Pork,Pork Ribs BH
115,1030,Main,Porridge;Pork,Pork n Century Egg Congee
1904,836,Side,Fingerfood;Chicken,Prawn Paste Chicken
181,1067,Main,Rice;Chicken,Pumpkin Chix Chop Rice
67,594,Drink,Drink;Cold,RAINBOW SPRITE
2892,594,Side,Dimsum;Pork,Radish Cake
176,909,Dessert,Dessert;Cold,Red Bean Snow
401,1757,Main,Spaghetti;Seafood,SCALLOP CREAM SAUCE SPAGHETTI
339,1394,Main,Rice;Pork,SH Pork Chop Rice
187,1515,Main,Noodle;Duck,SMOKED DUCK DRY CURRY RAMEN
26,594,Drink,Drink;Cold,SOUR PLUM COKE
300,667,Dessert,Dessert;Cold,SOY MILK WITH GLUTINOUS BALL
756,1273,Main,Noodle;Pork;Seafood,SPECIAL STIR FRIED BEE HOON
2878,594,Side,Dimsum;Pork,SPRING ROLL
483,1273,Main,Friedrice;Seafood,Sambal Seafood Fried Rice
260,1151,Main,Porridge;Seafood,Sampan Congee
125,1321,Main,Noodle;Seafood,Seafood Ee Noodle
164,1273,Main,Noodle;Seafood,Seafood Egg Hor Fun
273,1273,Main,Rice;Seafood,Seafood Muifan
506,1273,Main,Noodle;Seafood,Seafood Sauteed HF
155,1030,Main,Soup;Seafood;Pork,Seafood and Slice Pork Macaroni Soup
869,667,Dessert,Dessert;Cold,Sesame Cream Glutinous Ball
5258,545,Side,Dimsum;Seafood;Pork,Siew Mai
1233,1394,Main,Noodle;Pork,Signature Fried Noodles
2463,1394,Main,Friedrice;Pork;Seafood;Chicken,Signature Fried Rice
796,1200,Main,Porridge;Seafood,Sliced Empress Congee
138,1273,Main,Noodle;Fish,Sliced Fish Egg Hor Fun
242,352,Side,Bread,Soft Boiled Eggs
1350,836,Side,Soup,Soup Of The Day
184,1030,Main,Porridge;Pork,Spicy Pork Por
1741,242,Side,Fingerfood;Vegetarian,Spicy Sour Fries
20,352,Drink,Drink;Cold,Sprite
280,944,Main,Noodlesoup;Pork,Spy P.Dices Soup Ndl
853,594,Side,Dimsum;Pork,Steam Pork Spare Ribs
88,206,Drink,Drink;Hot,Teh
168,1030,Main,Noodle;Vegetarian,VEGETARIAN HOR FUN
132,1151,Main,Noodle;Vegetarian,VEGETARIAN RAMEN
902,182,Side,Addons;Vegetarian,WHITE RICE
1407,715,Side,Soup;Pork;Seafood,Wanton Soup
490,1079,Main,Noodle;Pork;Seafood,Wanton Soup Noodle
212,73,Drink,Drink;Hot,Warm Water
215,788,Dessert,Dessert;Cold,Watermelon 'N' Jelly
31,715,Drink,Drink;Cold,Watermelon Ice
19,715,Drink,Drink;Cold,Watermelon Ice-Blended
954,1394,Main,Rice;Chicken,Yao Ma Tei Chix Rice
126,388,Drink,Drink;Hot,Yuzu Tea
