19,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
37,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
43,1515,Main,BakedRice;Seafood,BAKED RICE EBI
97,545,Side,Dimsum;Pork,BBQ Pork Bun
18,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
18,1273,Main,Western;Chicken,BP Chicken Chop
27,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
44,1273,Main,Western;Chicken,BP Chix Chop & Fries
63,1273,Main,Spaghetti;Chicken,BP Chix Spag
25,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
114,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
12,473,Dessert,Dessert;Cold,Beancurd w Mango
24,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
15,352,Side,Bread,Bo Lo Bun
20,594,Side,Soup;Beef,Borsch Soup
80,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
22,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
32,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
5,836,Drink,Drink;Cold,COKE FLOAT
61,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
46,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
70,1030,Main,Porridge;Pork,Cent Egg Pork Por
221,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
95,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
35,594,Side,Dimsum;Chicken,Chicken Feet
83,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
17,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
36,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
32,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
46,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
13,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
30,909,Main,Soup;Chicken,Chicken Macaroni Soup
70,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
16,715,Side,Fingerfood;Chicken,Chicken with Seaweed
32,206,Drink,Drink;Hot,Chinese Tea
82,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
91,594,Side,Dimsum;Chicken,Chix Feet
11,594,Side,Fingerfood;Chicken,Chix Wing BP
19,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
53,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
33,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
24,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
56,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
36,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
20,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
14,352,Drink,Drink;Cold,Coke
14,121,Drink,Drink;Cold,Coke Float (Promo)
46,73,Drink,Drink;Cold,Cold / Iced Water
19,594,Side,Bread;Sweet,Condensed & Peanut TT
78,473,Side,Dimsum;Chicken,Custard Bun
59,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
24,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
41,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
15,473,Side,Bread;Savoury,Egg & Ham Sandwich
55,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
22,594,Side,Fingerfood;Vegetarian,F.Fries Curry Mayo
17,788,Side,Bread;Savoury,F.Toast Chicken Floss
37,2364,Side,Bread;Sweet,F.Toast Ice Cream
20,1273,Main,Noodle;Pork,Fermented Pork Dry Noodle
82,1394,Main,Western;Fish,Fish & Chips
49,1394,Main,Bakedrice;Fish,Fish Bk Rice
42,1273,Main,Noodle;Fish,Fish Egg Sauteed HF
25,1273,Main,Spaghetti;Fish,Fish Fillet Spag
92,1394,Main,Noodlesoup;Fish,Fish Papaya Soup Beehoon
35,1273,Main,Rice;Fish,Fish Slice Muifan
70,1030,Main,Porridge;Fish,Fish Slice Por
38,594,Side,Bread;Sweet,French Toast
22,594,Drink,Drink;Cold,Fresh  Lime Juice
45,352,Drink,Drink;Hot,Fresh Soy Milk
37,1394,Main,Noodle;Pork,Fried Spare Ribs Bee Hoon
15,121,Side,Fingerfood;Seafood,Fried Wanton 3pcs
74,958,Dessert,Dessert;Cold,Fruit Jelly Pudding
12,594,Side,Fingerfood;Chicken,HAM BO LO BUN
43,715,Side,Fingerfood;Chicken,HONEY CHICKEN WING (5pcs)
90,944,Main,Noodlesoup;Pork,Ham & Egg Soup Ndl
42,836,Side,Bread;Pork,Ham Egg Toast N French Fries
144,594,Side,Dimsum;Seafood,Har Gao
8,352,Dessert,Dessert;Cold,Home-Made Cold Beancurd
44,1914,Dessert,Dessert;Cold,Homemade Cold Beancurd
110,424,Drink,Drink;Hot,Hot Coffee-Tea
17,473,Drink,Drink;Hot,Hot Honey Green Tea
56,473,Drink,Drink;Hot,Hot Honey with Lemon
9,836,Drink,Drink;Cold,ICED MILO FLOAT
65,545,Drink,Drink;Cold,Ice Milo Dinosaur
112,473,Drink,Drink;Cold,Iced Coffee-Tea
9,836,Drink,Drink;Cold,Iced Coffee-Tea Float
18,594,Drink,Drink;Cold,Iced Honey Green Tea
106,594,Drink,Drink;Cold,Iced Lemon Tea
104,667,Drink,Drink;Cold,Iced Lychee Tea
167,473,Drink,Drink;Cold,Iced Milk Tea
8,836,Drink,Drink;Cold,Iced Milk Tea Float
16,667,Drink,Drink;Cold,Iced Peach Tea
36,473,Drink,Drink;Cold,Iced Soy Milk
24,667,Drink,Drink;Cold,Iced Yuzu Tea
22,352,Side,Bread;Sweet,Kaya Butter Bread
37,424,Side,Bread;Savoury,Kaya Butter Bread + Kopi
77,206,Drink,Drink;Hot,Kopi
41,473,Side,Bread;Savoury,L.Meat'N'Egg S'wich
7,473,Drink,Drink;Hot,LEMON COKE
8,242,Side,Addons;Pork,LUNCHEON MEAT (2pcs)
8,594,Drink,Drink;Cold,Lime Juice
27,594,Side,Fingerfood;Pork,Luncheon Meat Fries
25,1273,Main,Spaghetti;Pork,Luncheon Mushrm Cream Spag
21,473,Side,Bread;Savoury,Luncheon N Egg Sandwich
100,1067,Main,Noodlesoup;Pork,LuncheonMeatSoup Ndl
23,715,Drink,Drink;Cold,Lychee Ice-blended
60,836,Dessert,Dessert;Cold,Mango Pomelo
22,909,Dessert,Dessert;Cold,Mango SnowIce
95,424,Drink,Drink;Hot,Milk Tea
26,229,Drink,Drink;Hot,Milo
54,1151,Side,Vegetable;Seafood,Minced Kai Lan W Silver Fish
41,1394,Main,Baked Rice;Vegetarian,Mush Bk Rice
25,1200,Main,Spaghetti;Vegetarian,Mushroom Cream Spag
93,788,Side,Dimsum;Pork,Pan Fried Dumpling
19,1030,Side,Vegetable;Vegetarian,Paoched Lettuce
11,1430,Drink,Drink;Cold,Peach Ice-blended
15,594,Side,Bread;Sweet,Peanut Butter Milk Thick Toast
225,1394,Main,Noodle;Pork,Pork Chop Bee Hoon
98,1515,Main,Bakedrice;Pork,Pork Chop Bk Rice
25,1394,Main,Rice;Pork,Pork Chop Frag Rice
29,1394,Main,Noodle;Pork,Pork Chop Noodle
20,1030,Main,Porridge;Pork,Pork N Century Egg Congee
85,1394,Main,Noodle;Pork,Pork Ribs BH
14,1030,Main,Porridge;Pork,Pork n Century Egg Congee
32,836,Side,Fingerfood;Chicken,Prawn Paste Chicken
19,1067,Main,Rice;Chicken,Pumpkin Chix Chop Rice
26,594,Drink,Drink;Cold,RAINBOW SPRITE
98,594,Side,Dimsum;Pork,Radish Cake
11,909,Dessert,Dessert;Cold,Red Bean Snow
56,1757,Main,Spaghetti;Seafood,SCALLOP CREAM SAUCE SPAGHETTI
59,1394,Main,Rice;Pork,SH Pork Chop Rice
25,1515,Main,Noodle;Duck,SMOKED DUCK DRY CURRY RAMEN
9,594,Drink,Drink;Cold,SOUR PLUM COKE
13,667,Dessert,Dessert;Cold,SOY MILK WITH GLUTINOUS BALL
107,1273,Main,Noodle;Pork;Seafood,SPECIAL STIR FRIED BEE HOON
97,594,Side,Dimsum;Pork,SPRING ROLL
58,1273,Main,Friedrice;Seafood,Sambal Seafood Fried Rice
24,1151,Main,Porridge;Seafood,Sampan Congee
12,1321,Main,Noodle;Seafood,Seafood Ee Noodle
21,1273,Main,Noodle;Seafood,Seafood Egg Hor Fun
31,1273,Main,Rice;Seafood,Seafood Muifan
60,1273,Main,Noodle;Seafood,Seafood Sauteed HF
29,1030,Main,Soup;Seafood;Pork,Seafood and Slice Pork Macaroni Soup
46,667,Dessert,Dessert;Cold,Sesame Cream Glutinous Ball
188,545,Side,Dimsum;Seafood;Pork,Siew Mai
217,1394,Main,Noodle;Pork,Signature Fried Noodles
266,1394,Main,Friedrice;Pork;Seafood;Chicken,Signature Fried Rice
98,1200,Main,Porridge;Seafood,Sliced Empress Congee
20,1273,Main,Noodle;Fish,Sliced Fish Egg Hor Fun
16,352,Side,Bread,Soft Boiled Eggs
10,836,Side,Soup,Soup Of The Day
19,1030,Main,Porridge;Pork,Spicy Pork Por
48,242,Side,Fingerfood;Vegetarian,Spicy Sour Fries
9,352,Drink,Drink;Cold,Sprite
37,944,Main,Noodlesoup;Pork,Spy P.Dices Soup Ndl
32,594,Side,Dimsum;Pork,Steam Pork Spare Ribs
43,206,Drink,Drink;Hot,Teh
27,1030,Main,Noodle;Vegetarian,VEGETARIAN HOR FUN
23,1151,Main,Noodle;Vegetarian,VEGETARIAN RAMEN
18,182,Side,Addons;Vegetarian,WHITE RICE
22,715,Side,Soup;Pork;Seafood,Wanton Soup
76,1079,Main,Noodle;Pork;Seafood,Wanton Soup Noodle
71,73,Drink,Drink;Hot,Warm Water
10,788,Dessert,Dessert;Cold,Watermelon 'N' Jelly
15,715,Drink,Drink;Cold,Watermelon Ice
7,715,Drink,Drink;Cold,Watermelon Ice-Blended
127,1394,Main,Rice;Chicken,Yao Ma Tei Chix Rice
52,388,Drink,Drink;Hot,Yuzu Tea
