uscore,price,item_type,item_cat,item_desc
93,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
563,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
732,1515,Main,BakedRice;Seafood,BAKED RICE EBI
509,545,Side,Dimsum;Pork,BBQ Pork Bun
295,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
234,1273,Main,Western;Chicken,BP Chicken Chop
386,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
555,1273,Main,Western;Chicken,BP Chix Chop & Fries
1014,1273,Main,Spaghetti;Chicken,BP Chix Spag
273,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
870,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
90,473,Dessert,Dessert;Cold,Beancurd w Mango
157,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
90,352,Side,Bread,Bo Lo Bun
168,594,Side,Soup;Beef,Borsch Soup
1916,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
377,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
433,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
14,836,Drink,Drink;Cold,COKE FLOAT
923,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
507,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
1664,1030,Main,Porridge;Pork,Cent Egg Pork Por
2951,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
1474,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
224,594,Side,Dimsum;Chicken,Chicken Feet
958,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
312,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
425,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
390,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
288,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
146,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
606,909,Main,Soup;Chicken,Chicken Macaroni Soup
1568,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
166,715,Side,Fingerfood;Chicken,Chicken with Seaweed
126,206,Drink,Drink;Hot,Chinese Tea
1205,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
518,594,Side,Dimsum;Chicken,Chix Feet
82,594,Side,Fingerfood;Chicken,Chix Wing BP
114,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
370,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
213,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
140,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
628,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
373,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
165,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
44,352,Drink,Drink;Cold,Coke
8,121,Drink,Drink;Cold,Coke Float (Promo)
99,73,Drink,Drink;Cold,Cold / Iced Water
166,594,Side,Bread;Sweet,Condensed & Peanut TT
472,473,Side,Dimsum;Chicken,Custard Bun
146,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
210,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
542,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
70,473,Side,Bread;Savoury,Egg & Ham Sandwich
620,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
125,594,Side,Fingerfood;Vegetarian,F.Fries Curry Mayo
140,788,Side,Bread;Savoury,F.Toast Chicken Floss
247,2364,Side,Bread;Sweet,F.Toast Ice Cream
269,1273,Main,Noodle;Pork,Fermented Pork Dry Noodle
1313,1394,Main,Western;Fish,Fish & Chips
771,1394,Main,Bakedrice;Fish,Fish Bk Rice
693,1273,Main,Noodle;Fish,Fish Egg Sauteed HF
386,1273,Main,Spaghetti;Fish,Fish Fillet Spag
1968,1394,Main,Noodlesoup;Fish,Fish Papaya Soup Beehoon
611,1273,Main,Rice;Fish,Fish Slice Muifan
1656,1030,Main,Porridge;Fish,Fish Slice Por
218,594,Side,Bread;Sweet,French Toast
54,594,Drink,Drink;Cold,Fresh  Lime Juice
176,352,Drink,Drink;Hot,Fresh Soy Milk
451,1394,Main,Noodle;Pork,Fried Spare Ribs Bee Hoon
55,121,Side,Fingerfood;Seafood,Fried Wanton 3pcs
616,958,Dessert,Dessert;Cold,Fruit Jelly Pudding
96,594,Side,Fingerfood;Chicken,HAM BO LO BUN
227,715,Side,Fingerfood;Chicken,HONEY CHICKEN WING (5pcs)
2020,944,Main,Noodlesoup;Pork,Ham & Egg Soup Ndl
192,836,Side,Bread;Pork,Ham Egg Toast N French Fries
1060,594,Side,Dimsum;Seafood,Har Gao
78,352,Dessert,Dessert;Cold,Home-Made Cold Beancurd
357,1914,Dessert,Dessert;Cold,Homemade Cold Beancurd
460,424,Drink,Drink;Hot,Hot Coffee-Tea
52,473,Drink,Drink;Hot,Hot Honey Green Tea
224,473,Drink,Drink;Hot,Hot Honey with Lemon
16,836,Drink,Drink;Cold,ICED MILO FLOAT
133,545,Drink,Drink;Cold,Ice Milo Dinosaur
198,473,Drink,Drink;Cold,Iced Coffee-Tea
21,836,Drink,Drink;Cold,Iced Coffee-Tea Float
37,594,Drink,Drink;Cold,Iced Honey Green Tea
173,594,Drink,Drink;Cold,Iced Lemon Tea
212,667,Drink,Drink;Cold,Iced Lychee Tea
320,473,Drink,Drink;Cold,Iced Milk Tea
16,836,Drink,Drink;Cold,Iced Milk Tea Float
38,667,Drink,Drink;Cold,Iced Peach Tea
84,473,Drink,Drink;Cold,Iced Soy Milk
48,667,Drink,Drink;Cold,Iced Yuzu Tea
93,352,Side,Bread;Sweet,Kaya Butter Bread
178,424,Side,Bread;Savoury,Kaya Butter Bread + Kopi
302,206,Drink,Drink;Hot,Kopi
192,473,Side,Bread;Savoury,L.Meat'N'Egg S'wich
24,473,Drink,Drink;Hot,LEMON COKE
70,242,Side,Addons;Pork,LUNCHEON MEAT (2pcs)
21,594,Drink,Drink;Cold,Lime Juice
218,594,Side,Fingerfood;Pork,Luncheon Meat Fries
295,1273,Main,Spaghetti;Pork,Luncheon Mushrm Cream Spag
131,473,Side,Bread;Savoury,Luncheon N Egg Sandwich
1958,1067,Main,Noodlesoup;Pork,LuncheonMeatSoup Ndl
57,715,Drink,Drink;Cold,Lychee Ice-blended
482,836,Dessert,Dessert;Cold,Mango Pomelo
208,909,Dessert,Dessert;Cold,Mango SnowIce
332,424,Drink,Drink;Hot,Milk Tea
100,229,Drink,Drink;Hot,Milo
440,1151,Side,Vegetable;Seafood,Minced Kai Lan W Silver Fish
529,1394,Main,Baked Rice;Vegetarian,Mush Bk Rice
386,1200,Main,Spaghetti;Vegetarian,Mushroom Cream Spag
640,788,Side,Dimsum;Pork,Pan Fried Dumpling
125,1030,Side,Vegetable;Vegetarian,Paoched Lettuce
21,1430,Drink,Drink;Cold,Peach Ice-blended
79,594,Side,Bread;Sweet,Peanut Butter Milk Thick Toast
2661,1394,Main,Noodle;Pork,Pork Chop Bee Hoon
1344,1515,Main,Bakedrice;Pork,Pork Chop Bk Rice
368,1394,Main,Rice;Pork,Pork Chop Frag Rice
299,1394,Main,Noodle;Pork,Pork Chop Noodle
632,1030,Main,Porridge;Pork,Pork N Century Egg Congee
1088,1394,Main,Noodle;Pork,Pork Ribs BH
252,1030,Main,Porridge;Pork,Pork n Century Egg Congee
230,836,Side,Fingerfood;Chicken,Prawn Paste Chicken
212,1067,Main,Rice;Chicken,Pumpkin Chix Chop Rice
75,594,Drink,Drink;Cold,RAINBOW SPRITE
646,594,Side,Dimsum;Pork,Radish Cake
112,909,Dessert,Dessert;Cold,Red Bean Snow
