33,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
20,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
20,1515,Main,BakedRice;Seafood,BAKED RICE EBI
133,545,Side,Dimsum;Pork,BBQ Pork Bun
11,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
10,1273,Main,Western;Chicken,BP Chicken Chop
16,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
20,1273,Main,Western;Chicken,BP Chix Chop & Fries
32,1273,Main,Spaghetti;Chicken,BP Chix Spag
15,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
148,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
16,473,Dessert,Dessert;Cold,Beancurd w Mango
30,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
29,352,Side,Bread,Bo Lo Bun
30,594,Side,Soup;Beef,Borsch Soup
51,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
12,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
20,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
6,836,Drink,Drink;Cold,COKE FLOAT
40,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
29,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
48,1030,Main,Porridge;Pork,Cent Egg Pork Por
153,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
61,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
38,594,Side,Dimsum;Chicken,Chicken Feet
51,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
13,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
25,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
20,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
54,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
11,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
19,909,Main,Soup;Chicken,Chicken Macaroni Soup
49,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
23,715,Side,Fingerfood;Chicken,Chicken with Seaweed
32,206,Drink,Drink;Hot,Chinese Tea
55,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
122,594,Side,Dimsum;Chicken,Chix Feet
11,594,Side,Fingerfood;Chicken,Chix Wing BP
26,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
66,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
45,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
25,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
25,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
21,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
26,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
14,352,Drink,Drink;Cold,Coke
18,121,Drink,Drink;Cold,Coke Float (Promo)
49,73,Drink,Drink;Cold,Cold / Iced Water
25,594,Side,Bread;Sweet,Condensed & Peanut TT
106,473,Side,Dimsum;Chicken,Custard Bun
154,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
32,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
28,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
22,473,Side,Bread;Savoury,Egg & Ham Sandwich
31,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
21,594,Side,Fingerfood;Vegetarian,F.Fries Curry Mayo
23,788,Side,Bread;Savoury,F.Toast Chicken Floss
54,2364,Side,Bread;Sweet,F.Toast Ice Cream
13,1273,Main,Noodle;Pork,Fermented Pork Dry Noodle
39,1394,Main,Western;Fish,Fish & Chips
27,1394,Main,Bakedrice;Fish,Fish Bk Rice
34,1273,Main,Noodle;Fish,Fish Egg Sauteed HF
12,1273,Main,Spaghetti;Fish,Fish Fillet Spag
57,1394,Main,Noodlesoup;Fish,Fish Papaya Soup Beehoon
20,1273,Main,Rice;Fish,Fish Slice Muifan
53,1030,Main,Porridge;Fish,Fish Slice Por
59,594,Side,Bread;Sweet,French Toast
18,594,Drink,Drink;Cold,Fresh  Lime Juice
42,352,Drink,Drink;Hot,Fresh Soy Milk
26,1394,Main,Noodle;Pork,Fried Spare Ribs Bee Hoon
116,121,Side,Fingerfood;Seafood,Fried Wanton 3pcs
82,958,Dessert,Dessert;Cold,Fruit Jelly Pudding
29,594,Side,Fingerfood;Chicken,HAM BO LO BUN
47,715,Side,Fingerfood;Chicken,HONEY CHICKEN WING (5pcs)
50,944,Main,Noodlesoup;Pork,Ham & Egg Soup Ndl
59,836,Side,Bread;Pork,Ham Egg Toast N French Fries
193,594,Side,Dimsum;Seafood,Har Gao
19,352,Dessert,Dessert;Cold,Home-Made Cold Beancurd
48,1914,Dessert,Dessert;Cold,Homemade Cold Beancurd
118,424,Drink,Drink;Hot,Hot Coffee-Tea
13,473,Drink,Drink;Hot,Hot Honey Green Tea
53,473,Drink,Drink;Hot,Hot Honey with Lemon
6,836,Drink,Drink;Cold,ICED MILO FLOAT
58,545,Drink,Drink;Cold,Ice Milo Dinosaur
106,473,Drink,Drink;Cold,Iced Coffee-Tea
10,836,Drink,Drink;Cold,Iced Coffee-Tea Float
18,594,Drink,Drink;Cold,Iced Honey Green Tea
113,594,Drink,Drink;Cold,Iced Lemon Tea
113,667,Drink,Drink;Cold,Iced Lychee Tea
184,473,Drink,Drink;Cold,Iced Milk Tea
8,836,Drink,Drink;Cold,Iced Milk Tea Float
13,667,Drink,Drink;Cold,Iced Peach Tea
32,473,Drink,Drink;Cold,Iced Soy Milk
20,667,Drink,Drink;Cold,Iced Yuzu Tea
32,352,Side,Bread;Sweet,Kaya Butter Bread
70,424,Side,Bread;Savoury,Kaya Butter Bread + Kopi
87,206,Drink,Drink;Hot,Kopi
63,473,Side,Bread;Savoury,L.Meat'N'Egg S'wich
7,473,Drink,Drink;Hot,LEMON COKE
12,242,Side,Addons;Pork,LUNCHEON MEAT (2pcs)
6,594,Drink,Drink;Cold,Lime Juice
33,594,Side,Fingerfood;Pork,Luncheon Meat Fries
23,1273,Main,Spaghetti;Pork,Luncheon Mushrm Cream Spag
33,473,Side,Bread;Savoury,Luncheon N Egg Sandwich
71,1067,Main,Noodlesoup;Pork,LuncheonMeatSoup Ndl
18,715,Drink,Drink;Cold,Lychee Ice-blended
95,836,Dessert,Dessert;Cold,Mango Pomelo
24,909,Dessert,Dessert;Cold,Mango SnowIce
111,424,Drink,Drink;Hot,Milk Tea
21,229,Drink,Drink;Hot,Milo
58,1151,Side,Vegetable;Seafood,Minced Kai Lan W Silver Fish
25,1394,Main,Baked Rice;Vegetarian,Mush Bk Rice
17,1200,Main,Spaghetti;Vegetarian,Mushroom Cream Spag
115,788,Side,Dimsum;Pork,Pan Fried Dumpling
24,1030,Side,Vegetable;Vegetarian,Paoched Lettuce
8,1430,Drink,Drink;Cold,Peach Ice-blended
21,594,Side,Bread;Sweet,Peanut Butter Milk Thick Toast
162,1394,Main,Noodle;Pork,Pork Chop Bee Hoon
66,1515,Main,Bakedrice;Pork,Pork Chop Bk Rice
11,1394,Main,Rice;Pork,Pork Chop Frag Rice
23,1394,Main,Noodle;Pork,Pork Chop Noodle
17,1030,Main,Porridge;Pork,Pork N Century Egg Congee
54,1394,Main,Noodle;Pork,Pork Ribs BH
10,1030,Main,Porridge;Pork,Pork n Century Egg Congee
44,836,Side,Fingerfood;Chicken,Prawn Paste Chicken
20,1067,Main,Rice;Chicken,Pumpkin Chix Chop Rice
24,594,Drink,Drink;Cold,RAINBOW SPRITE
129,594,Side,Dimsum;Pork,Radish Cake
13,909,Dessert,Dessert;Cold,Red Bean Snow
37,1757,Main,Spaghetti;Seafood,SCALLOP CREAM SAUCE SPAGHETTI
26,1394,Main,Rice;Pork,SH Pork Chop Rice
17,1515,Main,Noodle;Duck,SMOKED DUCK DRY CURRY RAMEN
9,594,Drink,Drink;Cold,SOUR PLUM COKE
20,667,Dessert,Dessert;Cold,SOY MILK WITH GLUTINOUS BALL
71,1273,Main,Noodle;Pork;Seafood,SPECIAL STIR FRIED BEE HOON
100,594,Side,Dimsum;Pork,SPRING ROLL
37,1273,Main,Friedrice;Seafood,Sambal Seafood Fried Rice
21,1151,Main,Porridge;Seafood,Sampan Congee
14,1321,Main,Noodle;Seafood,Seafood Ee Noodle
8,1273,Main,Noodle;Seafood,Seafood Egg Hor Fun
19,1273,Main,Rice;Seafood,Seafood Muifan
45,1273,Main,Noodle;Seafood,Seafood Sauteed HF
16,1030,Main,Soup;Seafood;Pork,Seafood and Slice Pork Macaroni Soup
69,667,Dessert,Dessert;Cold,Sesame Cream Glutinous Ball
244,545,Side,Dimsum;Seafood;Pork,Siew Mai
126,1394,Main,Noodle;Pork,Signature Fried Noodles
233,1394,Main,Friedrice;Pork;Seafood;Chicken,Signature Fried Rice
68,1200,Main,Porridge;Seafood,Sliced Empress Congee
10,1273,Main,Noodle;Fish,Sliced Fish Egg Hor Fun
17,352,Side,Bread,Soft Boiled Eggs
24,836,Side,Soup,Soup Of The Day
9,1030,Main,Porridge;Pork,Spicy Pork Por
45,242,Side,Fingerfood;Vegetarian,Spicy Sour Fries
8,352,Drink,Drink;Cold,Sprite
25,944,Main,Noodlesoup;Pork,Spy P.Dices Soup Ndl
39,594,Side,Dimsum;Pork,Steam Pork Spare Ribs
48,206,Drink,Drink;Hot,Teh
18,1030,Main,Noodle;Vegetarian,VEGETARIAN HOR FUN
18,1151,Main,Noodle;Vegetarian,VEGETARIAN RAMEN
22,182,Side,Addons;Vegetarian,WHITE RICE
46,715,Side,Soup;Pork;Seafood,Wanton Soup
54,1079,Main,Noodle;Pork;Seafood,Wanton Soup Noodle
74,73,Drink,Drink;Hot,Warm Water
15,788,Dessert,Dessert;Cold,Watermelon 'N' Jelly
11,715,Drink,Drink;Cold,Watermelon Ice
7,715,Drink,Drink;Cold,Watermelon Ice-Blended
76,1394,Main,Rice;Chicken,Yao Ma Tei Chix Rice
50,388,Drink,Drink;Hot,Yuzu Tea
