uscore,price,item_type,item_cat,item_desc
297,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
219,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
206,1515,Main,BakedRice;Seafood,BAKED RICE EBI
3966,545,Side,Dimsum;Pork,BBQ Pork Bun
113,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
103,1273,Main,Western;Chicken,BP Chicken Chop
164,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
223,1273,Main,Western;Chicken,BP Chix Chop & Fries
343,1273,Main,Spaghetti;Chicken,BP Chix Spag
151,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
4451,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
142,473,Dessert,Dessert;Cold,Beancurd w Mango
914,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
859,352,Side,Bread,Bo Lo Bun
1718,594,Side,Soup;Beef,Borsch Soup
1056,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
130,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
212,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
15,836,Drink,Drink;Cold,COKE FLOAT
425,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
322,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
1028,1030,Main,Porridge;Pork,Cent Egg Pork Por
1580,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
654,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
1117,594,Side,Dimsum;Chicken,Chicken Feet
511,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
134,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
257,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
206,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
1647,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
312,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
350,909,Main,Soup;Chicken,Chicken Macaroni Soup
1000,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
695,715,Side,Fingerfood;Chicken,Chicken with Seaweed
146,206,Drink,Drink;Hot,Chinese Tea
589,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
3568,594,Side,Dimsum;Chicken,Chix Feet
336,594,Side,Fingerfood;Chicken,Chix Wing BP
773,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
1960,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
1327,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
765,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
295,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
212,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
229,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
33,352,Drink,Drink;Cold,Coke
39,121,Drink,Drink;Cold,Coke Float (Promo)
111,73,Drink,Drink;Cold,Cold / Iced Water
781,594,Side,Bread;Sweet,Condensed & Peanut TT
3123,473,Side,Dimsum;Chicken,Custard Bun
4685,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
921,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
326,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
687,473,Side,Bread;Savoury,Egg & Ham Sandwich
326,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
625,594,Side,Fingerfood;Vegetarian,F.Fries Curry Mayo
679,788,Side,Bread;Savoury,F.Toast Chicken Floss
1694,2364,Side,Bread;Sweet,F.Toast Ice Cream
140,1273,Main,Noodle;Pork,Fermented Pork Dry Noodle
408,1394,Main,Western;Fish,Fish & Chips
291,1394,Main,Bakedrice;Fish,Fish Bk Rice
363,1273,Main,Noodle;Fish,Fish Egg Sauteed HF
130,1273,Main,Spaghetti;Fish,Fish Fillet Spag
1186,1394,Main,Noodlesoup;Fish,Fish Papaya Soup Beehoon
206,1273,Main,Rice;Fish,Fish Slice Muifan
1138,1030,Main,Porridge;Fish,Fish Slice Por
1788,594,Side,Bread;Sweet,French Toast
41,594,Drink,Drink;Cold,Fresh  Lime Juice
182,352,Drink,Drink;Hot,Fresh Soy Milk
271,1394,Main,Noodle;Pork,Fried Spare Ribs Bee Hoon
3451,121,Side,Fingerfood;Seafood,Fried Wanton 3pcs
752,958,Dessert,Dessert;Cold,Fruit Jelly Pudding
874,594,Side,Fingerfood;Chicken,HAM BO LO BUN
1429,715,Side,Fingerfood;Chicken,HONEY CHICKEN WING (5pcs)
1048,944,Main,Noodlesoup;Pork,Ham & Egg Soup Ndl
1733,836,Side,Bread;Pork,Ham Egg Toast N French Fries
5715,594,Side,Dimsum;Seafood,Har Gao
177,352,Dessert,Dessert;Cold,Home-Made Cold Beancurd
432,1914,Dessert,Dessert;Cold,Homemade Cold Beancurd
524,424,Drink,Drink;Hot,Hot Coffee-Tea
54,473,Drink,Drink;Hot,Hot Honey Green Tea
240,473,Drink,Drink;Hot,Hot Honey with Lemon
13,836,Drink,Drink;Cold,ICED MILO FLOAT
130,545,Drink,Drink;Cold,Ice Milo Dinosaur
238,473,Drink,Drink;Cold,Iced Coffee-Tea
23,836,Drink,Drink;Cold,Iced Coffee-Tea Float
39,594,Drink,Drink;Cold,Iced Honey Green Tea
250,594,Drink,Drink;Cold,Iced Lemon Tea
252,667,Drink,Drink;Cold,Iced Lychee Tea
406,473,Drink,Drink;Cold,Iced Milk Tea
18,836,Drink,Drink;Cold,Iced Milk Tea Float
29,667,Drink,Drink;Cold,Iced Peach Tea
71,473,Drink,Drink;Cold,Iced Soy Milk
41,667,Drink,Drink;Cold,Iced Yuzu Tea
945,352,Side,Bread;Sweet,Kaya Butter Bread
2186,424,Side,Bread;Savoury,Kaya Butter Bread + Kopi
388,206,Drink,Drink;Hot,Kopi
1968,473,Side,Bread;Savoury,L.Meat'N'Egg S'wich
30,473,Drink,Drink;Hot,LEMON COKE
422,242,Side,Addons;Pork,LUNCHEON MEAT (2pcs)
14,594,Drink,Drink;Cold,Lime Juice
976,594,Side,Fingerfood;Pork,Luncheon Meat Fries
233,1273,Main,Spaghetti;Pork,Luncheon Mushrm Cream Spag
1038,473,Side,Bread;Savoury,Luncheon N Egg Sandwich
1488,1067,Main,Noodlesoup;Pork,LuncheonMeatSoup Ndl
40,715,Drink,Drink;Cold,Lychee Ice-blended
836,836,Dessert,Dessert;Cold,Mango Pomelo
215,909,Dessert,Dessert;Cold,Mango SnowIce
492,424,Drink,Drink;Hot,Milk Tea
102,229,Drink,Drink;Hot,Milo
1726,1151,Side,Vegetable;Seafood,Minced Kai Lan W Silver Fish
264,1394,Main,Baked Rice;Vegetarian,Mush Bk Rice
175,1200,Main,Spaghetti;Vegetarian,Mushroom Cream Spag
3404,788,Side,Dimsum;Pork,Pan Fried Dumpling
718,1030,Side,Vegetable;Vegetarian,Paoched Lettuce
18,1430,Drink,Drink;Cold,Peach Ice-blended
554,594,Side,Bread;Sweet,Peanut Butter Milk Thick Toast
1700,1394,Main,Noodle;Pork,Pork Chop Bee Hoon
682,1515,Main,Bakedrice;Pork,Pork Chop Bk Rice
113,1394,Main,Rice;Pork,Pork Chop Frag Rice
267,1394,Main,Noodle;Pork,Pork Chop Noodle
376,1030,Main,Porridge;Pork,Pork N Century Egg Congee
545,1394,Main,Noodle;Pork,Pork Ribs BH
234,1030,Main,Porridge;Pork,Pork n Century Egg Congee
1351,836,Side,Fingerfood;Chicken,Prawn Paste Chicken
195,1067,Main,Rice;Chicken,Pumpkin Chix Chop Rice
54,594,Drink,Drink;Cold,RAINBOW SPRITE
3834,594,Side,Dimsum;Pork,Radish Cake
124,909,Dessert,Dessert;Cold,Red Bean Snow
391,1757,Main,Spaghetti;Seafood,SCALLOP CREAM SAUCE SPAGHETTI
284,1394,Main,Rice;Pork,SH Pork Chop Rice
185,1515,Main,Noodle;Duck,SMOKED DUCK DRY CURRY RAMEN
19,594,Drink,Drink;Cold,SOUR PLUM COKE
170,667,Dessert,Dessert;Cold,SOY MILK WITH GLUTINOUS BALL
737,1273,Main,Noodle;Pork;Seafood,SPECIAL STIR FRIED BEE HOON
2975,594,Side,Dimsum;Pork,SPRING ROLL
391,1273,Main,Friedrice;Seafood,Sambal Seafood Fried Rice
438,1151,Main,Porridge;Seafood,Sampan Congee
144,1321,Main,Noodle;Seafood,Seafood Ee Noodle
82,1273,Main,Noodle;Seafood,Seafood Egg Hor Fun
199,1273,Main,Rice;Seafood,Seafood Muifan
487,1273,Main,Noodle;Seafood,Seafood Sauteed HF
356,1030,Main,Soup;Seafood;Pork,Seafood and Slice Pork Macaroni Soup
612,667,Dessert,Dessert;Cold,Sesame Cream Glutinous Ball
7308,545,Side,Dimsum;Seafood;Pork,Siew Mai
1312,1394,Main,Noodle;Pork,Signature Fried Noodles
2453,1394,Main,Friedrice;Pork;Seafood;Chicken,Signature Fried Rice
1474,1200,Main,Porridge;Seafood,Sliced Empress Congee
99,1273,Main,Noodle;Fish,Sliced Fish Egg Hor Fun
500,352,Side,Bread,Soft Boiled Eggs
679,836,Side,Soup,Soup Of The Day
198,1030,Main,Porridge;Pork,Spicy Pork Por
1343,242,Side,Fingerfood;Vegetarian,Spicy Sour Fries
19,352,Drink,Drink;Cold,Sprite
520,944,Main,Noodlesoup;Pork,Spy P.Dices Soup Ndl
1249,594,Side,Dimsum;Pork,Steam Pork Spare Ribs
214,206,Drink,Drink;Hot,Teh
178,1030,Main,Noodle;Vegetarian,VEGETARIAN HOR FUN
178,1151,Main,Noodle;Vegetarian,VEGETARIAN RAMEN
648,182,Side,Addons;Vegetarian,WHITE RICE
2718,715,Side,Soup;Pork;Seafood,Wanton Soup
586,1079,Main,Noodle;Pork;Seafood,Wanton Soup Noodle
320,73,Drink,Drink;Hot,Warm Water
140,788,Dessert,Dessert;Cold,Watermelon 'N' Jelly
27,715,Drink,Drink;Cold,Watermelon Ice
15,715,Drink,Drink;Cold,Watermelon Ice-Blended
795,1394,Main,Rice;Chicken,Yao Ma Tei Chix Rice
216,388,Drink,Drink;Hot,Yuzu Tea
