uscore,price,item_type,item_cat,item_desc
289,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
174,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
436,1515,Main,BakedRice;Seafood,BAKED RICE EBI
499,545,Side,Dimsum;Pork,BBQ Pork Bun
174,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
261,1273,Main,Western;Chicken,BP Chicken Chop
261,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
87,1273,Main,Western;Chicken,BP Chix Chop & Fries
174,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
831,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
231,473,Dessert,Dessert;Cold,Beancurd w Mango
83,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
125,352,Side,Bread,Bo Lo Bun
416,594,Side,Soup;Beef,Borsch Soup
698,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
87,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
8,836,Drink,Drink;Cold,COKE FLOAT
784,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
261,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
1394,1030,Main,Porridge;Pork,Cent Egg Pork Por
1307,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
1220,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
623,594,Side,Dimsum;Chicken,Chicken Feet
174,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
87,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
87,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
261,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
166,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
42,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
698,909,Main,Soup;Chicken,Chicken Macaroni Soup
1220,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
83,715,Side,Fingerfood;Chicken,Chicken with Seaweed
160,206,Drink,Drink;Hot,Chinese Tea
436,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
457,594,Side,Dimsum;Chicken,Chix Feet
83,594,Side,Fingerfood;Chicken,Chix Wing BP
208,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
623,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
208,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
83,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
87,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
261,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
289,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
56,352,Drink,Drink;Cold,Coke
8,121,Drink,Drink;Cold,Coke Float (Promo)
120,73,Drink,Drink;Cold,Cold / Iced Water
83,594,Side,Bread;Sweet,Condensed & Peanut TT
332,473,Side,Dimsum;Chicken,Custard Bun
83,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
