uscore,price,item_type,item_cat,item_desc
165,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
266,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
133,1515,Main,BakedRice;Seafood,BAKED RICE EBI
215,545,Side,Dimsum;Pork,BBQ Pork Bun
133,1273,Main,Western;Chicken,BP Chicken Chop
133,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
133,1273,Main,Western;Chicken,BP Chix Chop & Fries
133,1273,Main,Spaghetti;Chicken,BP Chix Spag
323,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
83,473,Dessert,Dessert;Cold,Beancurd w Mango
72,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
36,352,Side,Bread,Bo Lo Bun
108,594,Side,Soup;Beef,Borsch Soup
930,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
266,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
12,836,Drink,Drink;Cold,COKE FLOAT
399,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
532,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
532,1030,Main,Porridge;Pork,Cent Egg Pork Por
1727,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
1329,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
108,594,Side,Dimsum;Chicken,Chicken Feet
133,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
399,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
215,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
36,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
133,909,Main,Soup;Chicken,Chicken Macaroni Soup
930,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
108,715,Side,Fingerfood;Chicken,Chicken with Seaweed
111,206,Drink,Drink;Hot,Chinese Tea
930,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
108,594,Side,Dimsum;Chicken,Chix Feet
179,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
108,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
399,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
165,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
25,352,Drink,Drink;Cold,Coke
99,73,Drink,Drink;Cold,Cold / Iced Water
179,473,Side,Dimsum;Chicken,Custard Bun
143,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
1329,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
108,473,Side,Bread;Savoury,Egg & Ham Sandwich
399,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
179,594,Side,Fingerfood;Vegetarian,F.Fries Curry Mayo
108,788,Side,Bread;Savoury,F.Toast Chicken Floss
143,2364,Side,Bread;Sweet,F.Toast Ice Cream
664,1273,Main,Noodle;Pork,Fermented Pork Dry Noodle
532,1394,Main,Western;Fish,Fish & Chips
133,1394,Main,Bakedrice;Fish,Fish Bk Rice
532,1273,Main,Noodle;Fish,Fish Egg Sauteed HF
399,1273,Main,Spaghetti;Fish,Fish Fillet Spag
266,1394,Main,Noodlesoup;Fish,Fish Papaya Soup Beehoon
399,1273,Main,Rice;Fish,Fish Slice Muifan
532,1030,Main,Porridge;Fish,Fish Slice Por
72,594,Side,Bread;Sweet,French Toast
37,594,Drink,Drink;Cold,Fresh  Lime Juice
99,352,Drink,Drink;Hot,Fresh Soy Milk
664,1394,Main,Noodle;Pork,Fried Spare Ribs Bee Hoon
330,958,Dessert,Dessert;Cold,Fruit Jelly Pudding
72,594,Side,Fingerfood;Chicken,HAM BO LO BUN
36,715,Side,Fingerfood;Chicken,HONEY CHICKEN WING (5pcs)
399,944,Main,Noodlesoup;Pork,Ham & Egg Soup Ndl
108,836,Side,Bread;Pork,Ham Egg Toast N French Fries
287,594,Side,Dimsum;Seafood,Har Gao
165,352,Dessert,Dessert;Cold,Home-Made Cold Beancurd
165,1914,Dessert,Dessert;Cold,Homemade Cold Beancurd
223,424,Drink,Drink;Hot,Hot Coffee-Tea
37,473,Drink,Drink;Hot,Hot Honey Green Tea
173,473,Drink,Drink;Hot,Hot Honey with Lemon
12,836,Drink,Drink;Cold,ICED MILO FLOAT
198,545,Drink,Drink;Cold,Ice Milo Dinosaur
297,473,Drink,Drink;Cold,Iced Coffee-Tea
87,836,Drink,Drink;Cold,Iced Coffee-Tea Float
124,594,Drink,Drink;Cold,Iced Honey Green Tea
136,594,Drink,Drink;Cold,Iced Lemon Tea
285,667,Drink,Drink;Cold,Iced Lychee Tea
607,473,Drink,Drink;Cold,Iced Milk Tea
50,836,Drink,Drink;Cold,Iced Milk Tea Float
62,667,Drink,Drink;Cold,Iced Peach Tea
124,473,Drink,Drink;Cold,Iced Soy Milk
50,667,Drink,Drink;Cold,Iced Yuzu Tea
179,352,Side,Bread;Sweet,Kaya Butter Bread
143,424,Side,Bread;Savoury,Kaya Butter Bread + Kopi
87,206,Drink,Drink;Hot,Kopi
72,473,Side,Bread;Savoury,L.Meat'N'Egg S'wich
37,473,Drink,Drink;Hot,LEMON COKE
72,242,Side,Addons;Pork,LUNCHEON MEAT (2pcs)
87,594,Drink,Drink;Cold,Lime Juice
179,594,Side,Fingerfood;Pork,Luncheon Meat Fries
399,1273,Main,Spaghetti;Pork,Luncheon Mushrm Cream Spag
143,473,Side,Bread;Savoury,Luncheon N Egg Sandwich
133,1067,Main,Noodlesoup;Pork,LuncheonMeatSoup Ndl
136,715,Drink,Drink;Cold,Lychee Ice-blended
908,836,Dessert,Dessert;Cold,Mango Pomelo
413,909,Dessert,Dessert;Cold,Mango SnowIce
223,424,Drink,Drink;Hot,Milk Tea
111,229,Drink,Drink;Hot,Milo
358,1151,Side,Vegetable;Seafood,Minced Kai Lan W Silver Fish
399,1394,Main,Baked Rice;Vegetarian,Mush Bk Rice
133,1200,Main,Spaghetti;Vegetarian,Mushroom Cream Spag
215,788,Side,Dimsum;Pork,Pan Fried Dumpling
36,1030,Side,Vegetable;Vegetarian,Paoched Lettuce
37,1430,Drink,Drink;Cold,Peach Ice-blended
143,594,Side,Bread;Sweet,Peanut Butter Milk Thick Toast
1196,1394,Main,Noodle;Pork,Pork Chop Bee Hoon
797,1515,Main,Bakedrice;Pork,Pork Chop Bk Rice
133,1394,Main,Rice;Pork,Pork Chop Frag Rice
133,1394,Main,Noodle;Pork,Pork Chop Noodle
266,1030,Main,Porridge;Pork,Pork N Century Egg Congee
266,1394,Main,Noodle;Pork,Pork Ribs BH
108,836,Side,Fingerfood;Chicken,Prawn Paste Chicken
133,1067,Main,Rice;Chicken,Pumpkin Chix Chop Rice
62,594,Drink,Drink;Cold,RAINBOW SPRITE
251,594,Side,Dimsum;Pork,Radish Cake
165,909,Dessert,Dessert;Cold,Red Bean Snow
532,1757,Main,Spaghetti;Seafood,SCALLOP CREAM SAUCE SPAGHETTI
266,1515,Main,Noodle;Duck,SMOKED DUCK DRY CURRY RAMEN
37,594,Drink,Drink;Cold,SOUR PLUM COKE
165,667,Dessert,Dessert;Cold,SOY MILK WITH GLUTINOUS BALL
399,1273,Main,Noodle;Pork;Seafood,SPECIAL STIR FRIED BEE HOON
323,594,Side,Dimsum;Pork,SPRING ROLL
1196,1273,Main,Friedrice;Seafood,Sambal Seafood Fried Rice
266,1151,Main,Porridge;Seafood,Sampan Congee
266,1273,Main,Noodle;Seafood,Seafood Egg Hor Fun
133,1273,Main,Rice;Seafood,Seafood Muifan
930,1273,Main,Noodle;Seafood,Seafood Sauteed HF
266,1030,Main,Soup;Seafood;Pork,Seafood and Slice Pork Macaroni Soup
908,667,Dessert,Dessert;Cold,Sesame Cream Glutinous Ball
323,545,Side,Dimsum;Seafood;Pork,Siew Mai
1595,1394,Main,Noodle;Pork,Signature Fried Noodles
2126,1394,Main,Friedrice;Pork;Seafood;Chicken,Signature Fried Rice
930,1200,Main,Porridge;Seafood,Sliced Empress Congee
399,1273,Main,Noodle;Fish,Sliced Fish Egg Hor Fun
36,836,Side,Soup,Soup Of The Day
399,1030,Main,Porridge;Pork,Spicy Pork Por
215,242,Side,Fingerfood;Vegetarian,Spicy Sour Fries
12,352,Drink,Drink;Cold,Sprite
133,944,Main,Noodlesoup;Pork,Spy P.Dices Soup Ndl
108,594,Side,Dimsum;Pork,Steam Pork Spare Ribs
50,206,Drink,Drink;Hot,Teh
266,1030,Main,Noodle;Vegetarian,VEGETARIAN HOR FUN
133,1151,Main,Noodle;Vegetarian,VEGETARIAN RAMEN
36,182,Side,Addons;Vegetarian,WHITE RICE
179,715,Side,Soup;Pork;Seafood,Wanton Soup
1063,1079,Main,Noodle;Pork;Seafood,Wanton Soup Noodle
99,73,Drink,Drink;Hot,Warm Water
165,788,Dessert,Dessert;Cold,Watermelon 'N' Jelly
37,715,Drink,Drink;Cold,Watermelon Ice
50,715,Drink,Drink;Cold,Watermelon Ice-Blended
1462,1394,Main,Rice;Chicken,Yao Ma Tei Chix Rice
149,388,Drink,Drink;Hot,Yuzu Tea
