36,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
5,1515,Main,BakedRice;Seafood,BAKED RICE EBI
134,545,Side,Dimsum;Pork,BBQ Pork Bun
5,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
30,1273,Main,Western;Chicken,BP Chicken Chop
10,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
25,1273,Main,Western;Chicken,BP Chix Chop & Fries
15,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
122,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
53,473,Dessert,Dessert;Cold,Beancurd w Mango
20,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
32,352,Side,Bread,Bo Lo Bun
97,594,Side,Soup;Beef,Borsch Soup
71,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
20,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
5,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
6,836,Drink,Drink;Cold,COKE FLOAT
30,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
25,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
30,1030,Main,Porridge;Pork,Cent Egg Pork Por
152,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
71,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
61,594,Side,Dimsum;Chicken,Chicken Feet
15,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
5,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
25,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
65,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
12,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
41,909,Main,Soup;Chicken,Chicken Macaroni Soup
10,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
32,715,Side,Fingerfood;Chicken,Chicken with Seaweed
16,206,Drink,Drink;Hot,Chinese Tea
35,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
24,594,Side,Dimsum;Chicken,Chix Feet
36,594,Side,Fingerfood;Chicken,Chix Wing BP
24,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
89,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
105,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
32,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
5,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
10,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
49,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
16,352,Drink,Drink;Cold,Coke
4,121,Drink,Drink;Cold,Coke Float (Promo)
32,73,Drink,Drink;Cold,Cold / Iced Water
49,473,Side,Dimsum;Chicken,Custard Bun
49,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
20,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
15,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
36,473,Side,Bread;Savoury,Egg & Ham Sandwich
30,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
49,594,Side,Fingerfood;Vegetarian,F.Fries Curry Mayo
12,788,Side,Bread;Savoury,F.Toast Chicken Floss
49,2364,Side,Bread;Sweet,F.Toast Ice Cream
5,1273,Main,Noodle;Pork,Fermented Pork Dry Noodle
25,1394,Main,Western;Fish,Fish & Chips
5,1394,Main,Bakedrice;Fish,Fish Bk Rice
15,1273,Main,Noodle;Fish,Fish Egg Sauteed HF
51,1394,Main,Noodlesoup;Fish,Fish Papaya Soup Beehoon
5,1273,Main,Rice;Fish,Fish Slice Muifan
35,1030,Main,Porridge;Fish,Fish Slice Por
97,594,Side,Bread;Sweet,French Toast
10,594,Drink,Drink;Cold,Fresh  Lime Juice
73,352,Drink,Drink;Hot,Fresh Soy Milk
25,1394,Main,Noodle;Pork,Fried Spare Ribs Bee Hoon
20,121,Side,Fingerfood;Seafood,Fried Wanton 3pcs
77,958,Dessert,Dessert;Cold,Fruit Jelly Pudding
36,594,Side,Fingerfood;Chicken,HAM BO LO BUN
24,715,Side,Fingerfood;Chicken,HONEY CHICKEN WING (5pcs)
61,944,Main,Noodlesoup;Pork,Ham & Egg Soup Ndl
28,836,Side,Bread;Pork,Ham Egg Toast N French Fries
158,594,Side,Dimsum;Seafood,Har Gao
32,352,Dessert,Dessert;Cold,Home-Made Cold Beancurd
53,1914,Dessert,Dessert;Cold,Homemade Cold Beancurd
83,424,Drink,Drink;Hot,Hot Coffee-Tea
14,473,Drink,Drink;Hot,Hot Honey Green Tea
75,473,Drink,Drink;Hot,Hot Honey with Lemon
4,836,Drink,Drink;Cold,ICED MILO FLOAT
18,545,Drink,Drink;Cold,Ice Milo Dinosaur
103,473,Drink,Drink;Cold,Iced Coffee-Tea
18,836,Drink,Drink;Cold,Iced Coffee-Tea Float
28,594,Drink,Drink;Cold,Iced Honey Green Tea
85,594,Drink,Drink;Cold,Iced Lemon Tea
164,667,Drink,Drink;Cold,Iced Lychee Tea
237,473,Drink,Drink;Cold,Iced Milk Tea
6,836,Drink,Drink;Cold,Iced Milk Tea Float
18,667,Drink,Drink;Cold,Iced Peach Tea
34,473,Drink,Drink;Cold,Iced Soy Milk
18,667,Drink,Drink;Cold,Iced Yuzu Tea
61,352,Side,Bread;Sweet,Kaya Butter Bread
49,424,Side,Bread;Savoury,Kaya Butter Bread + Kopi
22,206,Drink,Drink;Hot,Kopi
81,473,Side,Bread;Savoury,L.Meat'N'Egg S'wich
6,473,Drink,Drink;Hot,LEMON COKE
28,242,Side,Addons;Pork,LUNCHEON MEAT (2pcs)
12,594,Drink,Drink;Cold,Lime Juice
24,594,Side,Fingerfood;Pork,Luncheon Meat Fries
15,1273,Main,Spaghetti;Pork,Luncheon Mushrm Cream Spag
101,473,Side,Bread;Savoury,Luncheon N Egg Sandwich
46,1067,Main,Noodlesoup;Pork,LuncheonMeatSoup Ndl
30,715,Drink,Drink;Cold,Lychee Ice-blended
203,836,Dessert,Dessert;Cold,Mango Pomelo
41,909,Dessert,Dessert;Cold,Mango SnowIce
126,424,Drink,Drink;Hot,Milk Tea
28,229,Drink,Drink;Hot,Milo
81,1151,Side,Vegetable;Seafood,Minced Kai Lan W Silver Fish
5,1394,Main,Baked Rice;Vegetarian,Mush Bk Rice
30,1200,Main,Spaghetti;Vegetarian,Mushroom Cream Spag
101,788,Side,Dimsum;Pork,Pan Fried Dumpling
41,1030,Side,Vegetable;Vegetarian,Paoched Lettuce
6,1430,Drink,Drink;Cold,Peach Ice-blended
65,594,Side,Bread;Sweet,Peanut Butter Milk Thick Toast
157,1394,Main,Noodle;Pork,Pork Chop Bee Hoon
25,1515,Main,Bakedrice;Pork,Pork Chop Bk Rice
10,1394,Main,Rice;Pork,Pork Chop Frag Rice
15,1394,Main,Noodle;Pork,Pork Chop Noodle
25,1030,Main,Porridge;Pork,Pork N Century Egg Congee
35,1394,Main,Noodle;Pork,Pork Ribs BH
20,1030,Main,Porridge;Pork,Pork n Century Egg Congee
65,836,Side,Fingerfood;Chicken,Prawn Paste Chicken
15,1067,Main,Rice;Chicken,Pumpkin Chix Chop Rice
12,594,Drink,Drink;Cold,RAINBOW SPRITE
113,594,Side,Dimsum;Pork,Radish Cake
36,909,Dessert,Dessert;Cold,Red Bean Snow
56,1757,Main,Spaghetti;Seafood,SCALLOP CREAM SAUCE SPAGHETTI
5,1394,Main,Rice;Pork,SH Pork Chop Rice
15,1515,Main,Noodle;Duck,SMOKED DUCK DRY CURRY RAMEN
4,594,Drink,Drink;Cold,SOUR PLUM COKE
69,667,Dessert,Dessert;Cold,SOY MILK WITH GLUTINOUS BALL
41,1273,Main,Noodle;Pork;Seafood,SPECIAL STIR FRIED BEE HOON
93,594,Side,Dimsum;Pork,SPRING ROLL
10,1273,Main,Friedrice;Seafood,Sambal Seafood Fried Rice
20,1151,Main,Porridge;Seafood,Sampan Congee
10,1321,Main,Noodle;Seafood,Seafood Ee Noodle
35,1273,Main,Noodle;Seafood,Seafood Egg Hor Fun
5,1273,Main,Rice;Seafood,Seafood Muifan
106,1273,Main,Noodle;Seafood,Seafood Sauteed HF
25,1030,Main,Soup;Seafood;Pork,Seafood and Slice Pork Macaroni Soup
118,667,Dessert,Dessert;Cold,Sesame Cream Glutinous Ball
182,545,Side,Dimsum;Seafood;Pork,Siew Mai
106,1394,Main,Noodle;Pork,Signature Fried Noodles
167,1394,Main,Friedrice;Pork;Seafood;Chicken,Signature Fried Rice
76,1200,Main,Porridge;Seafood,Sliced Empress Congee
5,1273,Main,Noodle;Fish,Sliced Fish Egg Hor Fun
36,352,Side,Bread,Soft Boiled Eggs
36,836,Side,Soup,Soup Of The Day
15,1030,Main,Porridge;Pork,Spicy Pork Por
65,242,Side,Fingerfood;Vegetarian,Spicy Sour Fries
2,352,Drink,Drink;Cold,Sprite
30,944,Main,Noodlesoup;Pork,Spy P.Dices Soup Ndl
53,594,Side,Dimsum;Pork,Steam Pork Spare Ribs
26,206,Drink,Drink;Hot,Teh
5,1030,Main,Noodle;Vegetarian,VEGETARIAN HOR FUN
5,1151,Main,Noodle;Vegetarian,VEGETARIAN RAMEN
12,182,Side,Addons;Vegetarian,WHITE RICE
53,715,Side,Soup;Pork;Seafood,Wanton Soup
35,1079,Main,Noodle;Pork;Seafood,Wanton Soup Noodle
63,73,Drink,Drink;Hot,Warm Water
49,788,Dessert,Dessert;Cold,Watermelon 'N' Jelly
16,715,Drink,Drink;Cold,Watermelon Ice
20,715,Drink,Drink;Cold,Watermelon Ice-Blended
30,1394,Main,Rice;Chicken,Yao Ma Tei Chix Rice
51,388,Drink,Drink;Hot,Yuzu Tea
