uscore,price,item_type,item_cat,item_desc
301,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
60,1515,Main,BakedRice;Seafood,BAKED RICE EBI
1298,545,Side,Dimsum;Pork,BBQ Pork Bun
60,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
357,1273,Main,Western;Chicken,BP Chicken Chop
119,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
298,1273,Main,Western;Chicken,BP Chix Chop & Fries
179,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
1402,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
452,473,Dessert,Dessert;Cold,Beancurd w Mango
260,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
363,352,Side,Bread,Bo Lo Bun
2076,594,Side,Soup;Beef,Borsch Soup
1548,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
238,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
60,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
16,836,Drink,Drink;Cold,COKE FLOAT
298,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
238,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
714,1030,Main,Porridge;Pork,Cent Egg Pork Por
1607,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
774,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
727,594,Side,Dimsum;Chicken,Chicken Feet
119,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
60,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
238,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
727,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
156,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
952,909,Main,Soup;Chicken,Chicken Macaroni Soup
238,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
363,715,Side,Fingerfood;Chicken,Chicken with Seaweed
86,206,Drink,Drink;Hot,Chinese Tea
357,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
208,594,Side,Dimsum;Chicken,Chix Feet
415,594,Side,Fingerfood;Chicken,Chix Wing BP
260,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
1038,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
1246,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
311,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
60,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
119,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
414,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
38,352,Drink,Drink;Cold,Coke
5,121,Drink,Drink;Cold,Coke Float (Promo)
82,73,Drink,Drink;Cold,Cold / Iced Water
467,473,Side,Dimsum;Chicken,Custard Bun
519,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
208,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
179,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
415,473,Side,Bread;Savoury,Egg & Ham Sandwich
357,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
571,594,Side,Fingerfood;Vegetarian,F.Fries Curry Mayo
156,788,Side,Bread;Savoury,F.Toast Chicken Floss
623,2364,Side,Bread;Sweet,F.Toast Ice Cream
60,1273,Main,Noodle;Pork,Fermented Pork Dry Noodle
298,1394,Main,Western;Fish,Fish & Chips
60,1394,Main,Bakedrice;Fish,Fish Bk Rice
179,1273,Main,Noodle;Fish,Fish Egg Sauteed HF
1190,1394,Main,Noodlesoup;Fish,Fish Papaya Soup Beehoon
60,1273,Main,Rice;Fish,Fish Slice Muifan
714,1030,Main,Porridge;Fish,Fish Slice Por
1038,594,Side,Bread;Sweet,French Toast
27,594,Drink,Drink;Cold,Fresh  Lime Juice
326,352,Drink,Drink;Hot,Fresh Soy Milk
