10,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
24,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
36,1515,Main,BakedRice;Seafood,BAKED RICE EBI
134,545,Side,Dimsum;Pork,BBQ Pork Bun
24,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
24,1273,Main,Western;Chicken,BP Chicken Chop
36,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
24,1273,Main,Western;Chicken,BP Chix Chop & Fries
12,1273,Main,Spaghetti;Chicken,BP Chix Spag
24,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
210,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
38,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
29,352,Side,Bread,Bo Lo Bun
36,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
24,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
12,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
107,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
24,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
131,1030,Main,Porridge;Pork,Cent Egg Pork Por
167,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
60,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
76,594,Side,Dimsum;Chicken,Chicken Feet
24,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
12,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
19,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
19,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
60,909,Main,Soup;Chicken,Chicken Macaroni Soup
60,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
29,206,Drink,Drink;Hot,Chinese Tea
72,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
181,594,Side,Dimsum;Chicken,Chix Feet
