uscore,price,item_type,item_cat,item_desc
87,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
275,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
413,1515,Main,BakedRice;Seafood,BAKED RICE EBI
458,545,Side,Dimsum;Pork,BBQ Pork Bun
275,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
275,1273,Main,Western;Chicken,BP Chicken Chop
413,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
275,1273,Main,Western;Chicken,BP Chix Chop & Fries
138,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
669,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
141,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
106,352,Side,Bread,Bo Lo Bun
826,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
275,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
138,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
1238,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
275,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
3026,1030,Main,Porridge;Pork,Cent Egg Pork Por
1513,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
688,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
247,594,Side,Dimsum;Chicken,Chicken Feet
413,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
138,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
106,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
35,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
1100,909,Main,Soup;Chicken,Chicken Macaroni Soup
826,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
106,206,Drink,Drink;Hot,Chinese Tea
825,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
564,594,Side,Dimsum;Chicken,Chix Feet
70,594,Side,Fingerfood;Chicken,Chix Wing BP
35,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
35,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
106,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
138,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
413,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
87,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
21,73,Drink,Drink;Cold,Cold / Iced Water
176,594,Side,Bread;Sweet,Condensed & Peanut TT
352,473,Side,Dimsum;Chicken,Custard Bun
70,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
550,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
70,473,Side,Bread;Savoury,Egg & Ham Sandwich
413,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
70,788,Side,Bread;Savoury,F.Toast Chicken Floss
141,2364,Side,Bread;Sweet,F.Toast Ice Cream
413,1394,Main,Western;Fish,Fish & Chips
275,1394,Main,Bakedrice;Fish,Fish Bk Rice
1651,1273,Main,Noodle;Fish,Fish Egg Sauteed HF
1650,1394,Main,Noodlesoup;Fish,Fish Papaya Soup Beehoon
275,1273,Main,Rice;Fish,Fish Slice Muifan
3576,1030,Main,Porridge;Fish,Fish Slice Por
70,594,Side,Bread;Sweet,French Toast
21,594,Drink,Drink;Cold,Fresh  Lime Juice
170,352,Drink,Drink;Hot,Fresh Soy Milk
275,1394,Main,Noodle;Pork,Fried Spare Ribs Bee Hoon
262,958,Dessert,Dessert;Cold,Fruit Jelly Pudding
35,715,Side,Fingerfood;Chicken,HONEY CHICKEN WING (5pcs)
826,944,Main,Noodlesoup;Pork,Ham & Egg Soup Ndl
352,836,Side,Bread;Pork,Ham Egg Toast N French Fries
916,594,Side,Dimsum;Seafood,Har Gao
894,424,Drink,Drink;Hot,Hot Coffee-Tea
42,473,Drink,Drink;Hot,Hot Honey Green Tea
106,473,Drink,Drink;Hot,Hot Honey with Lemon
11,836,Drink,Drink;Cold,ICED MILO FLOAT
53,545,Drink,Drink;Cold,Ice Milo Dinosaur
107,473,Drink,Drink;Cold,Iced Coffee-Tea
11,594,Drink,Drink;Cold,Iced Honey Green Tea
21,594,Drink,Drink;Cold,Iced Lemon Tea
128,667,Drink,Drink;Cold,Iced Lychee Tea
256,473,Drink,Drink;Cold,Iced Milk Tea
11,836,Drink,Drink;Cold,Iced Milk Tea Float
11,667,Drink,Drink;Cold,Iced Peach Tea
75,473,Drink,Drink;Cold,Iced Soy Milk
21,667,Drink,Drink;Cold,Iced Yuzu Tea
141,352,Side,Bread;Sweet,Kaya Butter Bread
141,424,Side,Bread;Savoury,Kaya Butter Bread + Kopi
448,206,Drink,Drink;Hot,Kopi
247,473,Side,Bread;Savoury,L.Meat'N'Egg S'wich
35,242,Side,Addons;Pork,LUNCHEON MEAT (2pcs)
21,594,Drink,Drink;Cold,Lime Juice
106,473,Side,Bread;Savoury,Luncheon N Egg Sandwich
276,1067,Main,Noodlesoup;Pork,LuncheonMeatSoup Ndl
21,715,Drink,Drink;Cold,Lychee Ice-blended
175,836,Dessert,Dessert;Cold,Mango Pomelo
320,424,Drink,Drink;Hot,Milk Tea
214,229,Drink,Drink;Hot,Milo
176,1151,Side,Vegetable;Seafood,Minced Kai Lan W Silver Fish
275,1200,Main,Spaghetti;Vegetarian,Mushroom Cream Spag
387,788,Side,Dimsum;Pork,Pan Fried Dumpling
106,594,Side,Bread;Sweet,Peanut Butter Milk Thick Toast
1238,1394,Main,Noodle;Pork,Pork Chop Bee Hoon
275,1515,Main,Bakedrice;Pork,Pork Chop Bk Rice
413,1394,Main,Noodle;Pork,Pork Chop Noodle
550,1030,Main,Porridge;Pork,Pork N Century Egg Congee
825,1394,Main,Noodle;Pork,Pork Ribs BH
1926,1030,Main,Porridge;Pork,Pork n Century Egg Congee
138,1067,Main,Rice;Chicken,Pumpkin Chix Chop Rice
21,594,Drink,Drink;Cold,RAINBOW SPRITE
704,594,Side,Dimsum;Pork,Radish Cake
87,909,Dessert,Dessert;Cold,Red Bean Snow
138,1394,Main,Rice;Pork,SH Pork Chop Rice
275,1515,Main,Noodle;Duck,SMOKED DUCK DRY CURRY RAMEN
688,1273,Main,Noodle;Pork;Seafood,SPECIAL STIR FRIED BEE HOON
528,594,Side,Dimsum;Pork,SPRING ROLL
138,1273,Main,Friedrice;Seafood,Sambal Seafood Fried Rice
1376,1151,Main,Porridge;Seafood,Sampan Congee
413,1273,Main,Noodle;Seafood,Seafood Egg Hor Fun
825,1273,Main,Rice;Seafood,Seafood Muifan
825,1273,Main,Noodle;Seafood,Seafood Sauteed HF
1100,1030,Main,Soup;Seafood;Pork,Seafood and Slice Pork Macaroni Soup
262,667,Dessert,Dessert;Cold,Sesame Cream Glutinous Ball
916,545,Side,Dimsum;Seafood;Pork,Siew Mai
2063,1394,Main,Noodle;Pork,Signature Fried Noodles
1926,1394,Main,Friedrice;Pork;Seafood;Chicken,Signature Fried Rice
3026,1200,Main,Porridge;Seafood,Sliced Empress Congee
138,1273,Main,Noodle;Fish,Sliced Fish Egg Hor Fun
106,352,Side,Bread,Soft Boiled Eggs
141,836,Side,Soup,Soup Of The Day
276,1030,Main,Porridge;Pork,Spicy Pork Por
70,242,Side,Fingerfood;Vegetarian,Spicy Sour Fries
11,352,Drink,Drink;Cold,Sprite
276,944,Main,Noodlesoup;Pork,Spy P.Dices Soup Ndl
247,594,Side,Dimsum;Pork,Steam Pork Spare Ribs
276,206,Drink,Drink;Hot,Teh
138,1030,Main,Noodle;Vegetarian,VEGETARIAN HOR FUN
550,1151,Main,Noodle;Vegetarian,VEGETARIAN RAMEN
140,715,Side,Soup;Pork;Seafood,Wanton Soup
688,1079,Main,Noodle;Pork;Seafood,Wanton Soup Noodle
234,73,Drink,Drink;Hot,Warm Water
11,715,Drink,Drink;Cold,Watermelon Ice
11,715,Drink,Drink;Cold,Watermelon Ice-Blended
413,1394,Main,Rice;Chicken,Yao Ma Tei Chix Rice
150,388,Drink,Drink;Hot,Yuzu Tea
