15,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
9,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
47,1515,Main,BakedRice;Seafood,BAKED RICE EBI
119,545,Side,Dimsum;Pork,BBQ Pork Bun
37,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
9,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
19,1273,Main,Spaghetti;Chicken,BP Chix Spag
9,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
239,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
22,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
37,352,Side,Bread,Bo Lo Bun
9,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
28,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
19,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
4,836,Drink,Drink;Cold,COKE FLOAT
47,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
19,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
65,1030,Main,Porridge;Pork,Cent Egg Pork Por
93,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
28,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
45,594,Side,Dimsum;Chicken,Chicken Feet
28,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
9,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
9,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
19,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
30,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
30,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
56,909,Main,Soup;Chicken,Chicken Macaroni Soup
9,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
41,206,Drink,Drink;Hot,Chinese Tea
37,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
149,594,Side,Dimsum;Chicken,Chix Feet
7,594,Side,Fingerfood;Chicken,Chix Wing BP
30,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
30,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
30,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
15,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
84,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
28,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
7,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
4,121,Drink,Drink;Cold,Coke Float (Promo)
11,73,Drink,Drink;Cold,Cold / Iced Water
7,594,Side,Bread;Sweet,Condensed & Peanut TT
82,473,Side,Dimsum;Chicken,Custard Bun
82,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
22,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
19,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
30,473,Side,Bread;Savoury,Egg & Ham Sandwich
9,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
45,788,Side,Bread;Savoury,F.Toast Chicken Floss
37,2364,Side,Bread;Sweet,F.Toast Ice Cream
19,1273,Main,Noodle;Pork,Fermented Pork Dry Noodle
9,1394,Main,Western;Fish,Fish & Chips
9,1273,Main,Spaghetti;Fish,Fish Fillet Spag
28,1394,Main,Noodlesoup;Fish,Fish Papaya Soup Beehoon
19,1273,Main,Rice;Fish,Fish Slice Muifan
93,1030,Main,Porridge;Fish,Fish Slice Por
67,594,Side,Bread;Sweet,French Toast
11,594,Drink,Drink;Cold,Fresh  Lime Juice
49,352,Drink,Drink;Hot,Fresh Soy Milk
9,1394,Main,Noodle;Pork,Fried Spare Ribs Bee Hoon
60,121,Side,Fingerfood;Seafood,Fried Wanton 3pcs
22,958,Dessert,Dessert;Cold,Fruit Jelly Pudding
45,594,Side,Fingerfood;Chicken,HAM BO LO BUN
22,715,Side,Fingerfood;Chicken,HONEY CHICKEN WING (5pcs)
19,944,Main,Noodlesoup;Pork,Ham & Egg Soup Ndl
97,836,Side,Bread;Pork,Ham Egg Toast N French Fries
261,594,Side,Dimsum;Seafood,Har Gao
22,352,Dessert,Dessert;Cold,Home-Made Cold Beancurd
276,424,Drink,Drink;Hot,Hot Coffee-Tea
4,473,Drink,Drink;Hot,Hot Honey Green Tea
22,473,Drink,Drink;Hot,Hot Honey with Lemon
4,836,Drink,Drink;Cold,ICED MILO FLOAT
11,545,Drink,Drink;Cold,Ice Milo Dinosaur
49,473,Drink,Drink;Cold,Iced Coffee-Tea
