uscore,price,item_type,item_cat,item_desc
124,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
113,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
566,1515,Main,BakedRice;Seafood,BAKED RICE EBI
1921,545,Side,Dimsum;Pork,BBQ Pork Bun
340,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
113,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
113,1273,Main,Spaghetti;Chicken,BP Chix Spag
113,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
3430,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
412,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
686,352,Side,Bread,Bo Lo Bun
113,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
340,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
226,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
340,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
226,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
679,1030,Main,Porridge;Pork,Cent Egg Pork Por
1019,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
113,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
549,594,Side,Dimsum;Chicken,Chicken Feet
226,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
113,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
113,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
226,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
549,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
549,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
566,909,Main,Soup;Chicken,Chicken Macaroni Soup
113,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
78,206,Drink,Drink;Hot,Chinese Tea
453,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
2744,594,Side,Dimsum;Chicken,Chix Feet
549,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
274,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
549,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
274,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
453,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
340,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
62,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
8,121,Drink,Drink;Cold,Coke Float (Promo)
24,73,Drink,Drink;Cold,Cold / Iced Water
137,594,Side,Bread;Sweet,Condensed & Peanut TT
1098,473,Side,Dimsum;Chicken,Custard Bun
1372,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
137,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
226,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
549,473,Side,Bread;Savoury,Egg & Ham Sandwich
113,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
686,788,Side,Bread;Savoury,F.Toast Chicken Floss
686,2364,Side,Bread;Sweet,F.Toast Ice Cream
226,1273,Main,Noodle;Pork,Fermented Pork Dry Noodle
113,1394,Main,Western;Fish,Fish & Chips
113,1273,Main,Spaghetti;Fish,Fish Fillet Spag
226,1394,Main,Noodlesoup;Fish,Fish Papaya Soup Beehoon
226,1273,Main,Rice;Fish,Fish Slice Muifan
1019,1030,Main,Porridge;Fish,Fish Slice Por
1098,594,Side,Bread;Sweet,French Toast
16,594,Drink,Drink;Cold,Fresh  Lime Juice
86,352,Drink,Drink;Hot,Fresh Soy Milk
113,1394,Main,Noodle;Pork,Fried Spare Ribs Bee Hoon
1098,121,Side,Fingerfood;Seafood,Fried Wanton 3pcs
62,958,Dessert,Dessert;Cold,Fruit Jelly Pudding
686,594,Side,Fingerfood;Chicken,HAM BO LO BUN
274,715,Side,Fingerfood;Chicken,HONEY CHICKEN WING (5pcs)
226,944,Main,Noodlesoup;Pork,Ham & Egg Soup Ndl
1784,836,Side,Bread;Pork,Ham Egg Toast N French Fries
4253,594,Side,Dimsum;Seafood,Har Gao
186,352,Dessert,Dessert;Cold,Home-Made Cold Beancurd
556,424,Drink,Drink;Hot,Hot Coffee-Tea
8,473,Drink,Drink;Hot,Hot Honey Green Tea
39,473,Drink,Drink;Hot,Hot Honey with Lemon
8,836,Drink,Drink;Cold,ICED MILO FLOAT
16,545,Drink,Drink;Cold,Ice Milo Dinosaur
63,473,Drink,Drink;Cold,Iced Coffee-Tea
