34,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
44,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
37,1515,Main,BakedRice;Seafood,BAKED RICE EBI
61,545,Side,Dimsum;Pork,BBQ Pork Bun
15,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
18,1273,Main,Western;Chicken,BP Chicken Chop
24,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
41,1273,Main,Western;Chicken,BP Chix Chop & Fries
60,1273,Main,Spaghetti;Chicken,BP Chix Spag
30,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
124,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
14,473,Dessert,Dessert;Cold,Beancurd w Mango
57,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
14,352,Side,Bread,Bo Lo Bun
18,594,Side,Soup;Beef,Borsch Soup
79,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
22,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
19,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
6,836,Drink,Drink;Cold,COKE FLOAT
122,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
35,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
74,1030,Main,Porridge;Pork,Cent Egg Pork Por
183,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
75,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
37,594,Side,Dimsum;Chicken,Chicken Feet
79,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
23,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
31,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
21,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
35,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
18,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
16,909,Main,Soup;Chicken,Chicken Macaroni Soup
55,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
14,715,Side,Fingerfood;Chicken,Chicken with Seaweed
50,206,Drink,Drink;Hot,Chinese Tea
89,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
80,594,Side,Dimsum;Chicken,Chix Feet
19,594,Side,Fingerfood;Chicken,Chix Wing BP
26,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
71,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
39,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
12,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
34,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
38,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
23,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
10,352,Drink,Drink;Cold,Coke
7,121,Drink,Drink;Cold,Coke Float (Promo)
53,73,Drink,Drink;Cold,Cold / Iced Water
11,594,Side,Bread;Sweet,Condensed & Peanut TT
62,473,Side,Dimsum;Chicken,Custard Bun
29,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
32,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
56,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
9,473,Side,Bread;Savoury,Egg & Ham Sandwich
40,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
20,594,Side,Fingerfood;Vegetarian,F.Fries Curry Mayo
12,788,Side,Bread;Savoury,F.Toast Chicken Floss
42,2364,Side,Bread;Sweet,F.Toast Ice Cream
19,1273,Main,Noodle;Pork,Fermented Pork Dry Noodle
79,1394,Main,Western;Fish,Fish & Chips
54,1394,Main,Bakedrice;Fish,Fish Bk Rice
77,1273,Main,Noodle;Fish,Fish Egg Sauteed HF
12,1273,Main,Spaghetti;Fish,Fish Fillet Spag
94,1394,Main,Noodlesoup;Fish,Fish Papaya Soup Beehoon
65,1273,Main,Rice;Fish,Fish Slice Muifan
91,1030,Main,Porridge;Fish,Fish Slice Por
29,594,Side,Bread;Sweet,French Toast
18,594,Drink,Drink;Cold,Fresh  Lime Juice
50,352,Drink,Drink;Hot,Fresh Soy Milk
39,1394,Main,Noodle;Pork,Fried Spare Ribs Bee Hoon
2,121,Side,Fingerfood;Seafood,Fried Wanton 3pcs
85,958,Dessert,Dessert;Cold,Fruit Jelly Pudding
16,594,Side,Fingerfood;Chicken,HAM BO LO BUN
36,715,Side,Fingerfood;Chicken,HONEY CHICKEN WING (5pcs)
40,944,Main,Noodlesoup;Pork,Ham & Egg Soup Ndl
18,836,Side,Bread;Pork,Ham Egg Toast N French Fries
135,594,Side,Dimsum;Seafood,Har Gao
16,352,Dessert,Dessert;Cold,Home-Made Cold Beancurd
42,1914,Dessert,Dessert;Cold,Homemade Cold Beancurd
69,424,Drink,Drink;Hot,Hot Coffee-Tea
20,473,Drink,Drink;Hot,Hot Honey Green Tea
66,473,Drink,Drink;Hot,Hot Honey with Lemon
5,836,Drink,Drink;Cold,ICED MILO FLOAT
35,545,Drink,Drink;Cold,Ice Milo Dinosaur
62,473,Drink,Drink;Cold,Iced Coffee-Tea
7,836,Drink,Drink;Cold,Iced Coffee-Tea Float
18,594,Drink,Drink;Cold,Iced Honey Green Tea
74,594,Drink,Drink;Cold,Iced Lemon Tea
98,667,Drink,Drink;Cold,Iced Lychee Tea
134,473,Drink,Drink;Cold,Iced Milk Tea
5,836,Drink,Drink;Cold,Iced Milk Tea Float
17,667,Drink,Drink;Cold,Iced Peach Tea
34,473,Drink,Drink;Cold,Iced Soy Milk
17,667,Drink,Drink;Cold,Iced Yuzu Tea
9,352,Side,Bread;Sweet,Kaya Butter Bread
25,424,Side,Bread;Savoury,Kaya Butter Bread + Kopi
49,206,Drink,Drink;Hot,Kopi
22,473,Side,Bread;Savoury,L.Meat'N'Egg S'wich
4,473,Drink,Drink;Hot,LEMON COKE
22,242,Side,Addons;Pork,LUNCHEON MEAT (2pcs)
12,594,Drink,Drink;Cold,Lime Juice
22,594,Side,Fingerfood;Pork,Luncheon Meat Fries
26,1273,Main,Spaghetti;Pork,Luncheon Mushrm Cream Spag
18,473,Side,Bread;Savoury,Luncheon N Egg Sandwich
59,1067,Main,Noodlesoup;Pork,LuncheonMeatSoup Ndl
13,715,Drink,Drink;Cold,Lychee Ice-blended
98,836,Dessert,Dessert;Cold,Mango Pomelo
26,909,Dessert,Dessert;Cold,Mango SnowIce
86,424,Drink,Drink;Hot,Milk Tea
20,229,Drink,Drink;Hot,Milo
86,1151,Side,Vegetable;Seafood,Minced Kai Lan W Silver Fish
21,1394,Main,Baked Rice;Vegetarian,Mush Bk Rice
23,1200,Main,Spaghetti;Vegetarian,Mushroom Cream Spag
93,788,Side,Dimsum;Pork,Pan Fried Dumpling
38,1030,Side,Vegetable;Vegetarian,Paoched Lettuce
12,1430,Drink,Drink;Cold,Peach Ice-blended
7,594,Side,Bread;Sweet,Peanut Butter Milk Thick Toast
246,1394,Main,Noodle;Pork,Pork Chop Bee Hoon
83,1515,Main,Bakedrice;Pork,Pork Chop Bk Rice
26,1394,Main,Rice;Pork,Pork Chop Frag Rice
16,1394,Main,Noodle;Pork,Pork Chop Noodle
51,1030,Main,Porridge;Pork,Pork N Century Egg Congee
84,1394,Main,Noodle;Pork,Pork Ribs BH
12,1030,Main,Porridge;Pork,Pork n Century Egg Congee
35,836,Side,Fingerfood;Chicken,Prawn Paste Chicken
21,1067,Main,Rice;Chicken,Pumpkin Chix Chop Rice
26,594,Drink,Drink;Cold,RAINBOW SPRITE
86,594,Side,Dimsum;Pork,Radish Cake
17,909,Dessert,Dessert;Cold,Red Bean Snow
66,1757,Main,Spaghetti;Seafood,SCALLOP CREAM SAUCE SPAGHETTI
69,1394,Main,Rice;Pork,SH Pork Chop Rice
35,1515,Main,Noodle;Duck,SMOKED DUCK DRY CURRY RAMEN
5,594,Drink,Drink;Cold,SOUR PLUM COKE
14,667,Dessert,Dessert;Cold,SOY MILK WITH GLUTINOUS BALL
157,1273,Main,Noodle;Pork;Seafood,SPECIAL STIR FRIED BEE HOON
90,594,Side,Dimsum;Pork,SPRING ROLL
65,1273,Main,Friedrice;Seafood,Sambal Seafood Fried Rice
44,1151,Main,Porridge;Seafood,Sampan Congee
13,1321,Main,Noodle;Seafood,Seafood Ee Noodle
44,1273,Main,Noodle;Seafood,Seafood Egg Hor Fun
63,1273,Main,Rice;Seafood,Seafood Muifan
86,1273,Main,Noodle;Seafood,Seafood Sauteed HF
15,1030,Main,Soup;Seafood;Pork,Seafood and Slice Pork Macaroni Soup
86,667,Dessert,Dessert;Cold,Sesame Cream Glutinous Ball
149,545,Side,Dimsum;Seafood;Pork,Siew Mai
250,1394,Main,Noodle;Pork,Signature Fried Noodles
336,1394,Main,Friedrice;Pork;Seafood;Chicken,Signature Fried Rice
134,1200,Main,Porridge;Seafood,Sliced Empress Congee
32,1273,Main,Noodle;Fish,Sliced Fish Egg Hor Fun
4,352,Side,Bread,Soft Boiled Eggs
27,836,Side,Soup,Soup Of The Day
53,1030,Main,Porridge;Pork,Spicy Pork Por
