uscore,price,item_type,item_cat,item_desc
283,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
455,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
419,1515,Main,BakedRice;Seafood,BAKED RICE EBI
608,545,Side,Dimsum;Pork,BBQ Pork Bun
155,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
182,1273,Main,Western;Chicken,BP Chicken Chop
246,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
437,1273,Main,Western;Chicken,BP Chix Chop & Fries
656,1273,Main,Spaghetti;Chicken,BP Chix Spag
301,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
1296,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
127,473,Dessert,Dessert;Cold,Beancurd w Mango
608,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
136,352,Side,Bread,Bo Lo Bun
186,594,Side,Soup;Beef,Borsch Soup
865,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
237,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
219,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
12,836,Drink,Drink;Cold,COKE FLOAT
1294,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
392,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
765,1030,Main,Porridge;Pork,Cent Egg Pork Por
1877,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
811,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
358,594,Side,Dimsum;Chicken,Chicken Feet
865,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
246,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
291,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
237,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
401,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
186,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
182,909,Main,Soup;Chicken,Chicken Macaroni Soup
601,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
157,715,Side,Fingerfood;Chicken,Chicken with Seaweed
105,206,Drink,Drink;Hot,Chinese Tea
956,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
787,594,Side,Dimsum;Chicken,Chix Feet
200,594,Side,Fingerfood;Chicken,Chix Wing BP
286,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
730,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
401,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
129,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
364,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
410,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
205,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
23,352,Drink,Drink;Cold,Coke
14,121,Drink,Drink;Cold,Coke Float (Promo)
116,73,Drink,Drink;Cold,Cold / Iced Water
122,594,Side,Bread;Sweet,Condensed & Peanut TT
651,473,Side,Dimsum;Chicken,Custard Bun
279,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
336,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
537,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
93,473,Side,Bread;Savoury,Egg & Ham Sandwich
419,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
215,594,Side,Fingerfood;Vegetarian,F.Fries Curry Mayo
143,788,Side,Bread;Savoury,F.Toast Chicken Floss
408,2364,Side,Bread;Sweet,F.Toast Ice Cream
191,1273,Main,Noodle;Pork,Fermented Pork Dry Noodle
820,1394,Main,Western;Fish,Fish & Chips
601,1394,Main,Bakedrice;Fish,Fish Bk Rice
856,1273,Main,Noodle;Fish,Fish Egg Sauteed HF
128,1273,Main,Spaghetti;Fish,Fish Fillet Spag
984,1394,Main,Noodlesoup;Fish,Fish Papaya Soup Beehoon
683,1273,Main,Rice;Fish,Fish Slice Muifan
947,1030,Main,Porridge;Fish,Fish Slice Por
279,594,Side,Bread;Sweet,French Toast
41,594,Drink,Drink;Cold,Fresh  Lime Juice
107,352,Drink,Drink;Hot,Fresh Soy Milk
373,1394,Main,Noodle;Pork,Fried Spare Ribs Bee Hoon
21,121,Side,Fingerfood;Seafood,Fried Wanton 3pcs
717,958,Dessert,Dessert;Cold,Fruit Jelly Pudding
179,594,Side,Fingerfood;Chicken,HAM BO LO BUN
394,715,Side,Fingerfood;Chicken,HONEY CHICKEN WING (5pcs)
401,944,Main,Noodlesoup;Pork,Ham & Egg Soup Ndl
200,836,Side,Bread;Pork,Ham Egg Toast N French Fries
1432,594,Side,Dimsum;Seafood,Har Gao
133,352,Dessert,Dessert;Cold,Home-Made Cold Beancurd
343,1914,Dessert,Dessert;Cold,Homemade Cold Beancurd
155,424,Drink,Drink;Hot,Hot Coffee-Tea
43,473,Drink,Drink;Hot,Hot Honey Green Tea
140,473,Drink,Drink;Hot,Hot Honey with Lemon
10,836,Drink,Drink;Cold,ICED MILO FLOAT
75,545,Drink,Drink;Cold,Ice Milo Dinosaur
134,473,Drink,Drink;Cold,Iced Coffee-Tea
16,836,Drink,Drink;Cold,Iced Coffee-Tea Float
39,594,Drink,Drink;Cold,Iced Honey Green Tea
