18,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
52,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
61,1515,Main,BakedRice;Seafood,BAKED RICE EBI
30,545,Side,Dimsum;Pork,BBQ Pork Bun
20,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
26,1273,Main,Western;Chicken,BP Chicken Chop
42,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
51,1273,Main,Western;Chicken,BP Chix Chop & Fries
55,1273,Main,Spaghetti;Chicken,BP Chix Spag
45,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
91,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
13,473,Dessert,Dessert;Cold,Beancurd w Mango
23,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
9,352,Side,Bread,Bo Lo Bun
15,594,Side,Soup;Beef,Borsch Soup
82,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
43,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
30,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
8,836,Drink,Drink;Cold,COKE FLOAT
112,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
38,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
52,1030,Main,Porridge;Pork,Cent Egg Pork Por
231,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
132,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
36,594,Side,Dimsum;Chicken,Chicken Feet
95,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
20,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
58,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
39,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
21,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
21,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
25,909,Main,Soup;Chicken,Chicken Macaroni Soup
69,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
15,715,Side,Fingerfood;Chicken,Chicken with Seaweed
38,206,Drink,Drink;Hot,Chinese Tea
110,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
58,594,Side,Dimsum;Chicken,Chix Feet
10,594,Side,Fingerfood;Chicken,Chix Wing BP
12,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
61,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
32,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
13,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
51,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
37,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
23,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
11,352,Drink,Drink;Cold,Coke
1,121,Drink,Drink;Cold,Coke Float (Promo)
48,73,Drink,Drink;Cold,Cold / Iced Water
14,594,Side,Bread;Sweet,Condensed & Peanut TT
56,473,Side,Dimsum;Chicken,Custard Bun
10,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
33,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
46,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
9,473,Side,Bread;Savoury,Egg & Ham Sandwich
70,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
