uscore,price,item_type,item_cat,item_desc
162,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
548,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
676,1515,Main,BakedRice;Seafood,BAKED RICE EBI
219,545,Side,Dimsum;Pork,BBQ Pork Bun
219,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
256,1273,Main,Western;Chicken,BP Chicken Chop
484,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
558,1273,Main,Western;Chicken,BP Chix Chop & Fries
567,1273,Main,Spaghetti;Chicken,BP Chix Spag
466,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
609,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
131,473,Dessert,Dessert;Cold,Beancurd w Mango
156,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
68,352,Side,Bread,Bo Lo Bun
224,594,Side,Soup;Beef,Borsch Soup
1718,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
411,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
375,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
16,836,Drink,Drink;Cold,COKE FLOAT
1161,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
411,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
1134,1030,Main,Porridge;Pork,Cent Egg Pork Por
2422,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
1481,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
239,594,Side,Dimsum;Chicken,Chicken Feet
1042,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
219,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
640,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
457,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
141,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
146,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
566,909,Main,Soup;Chicken,Chicken Macaroni Soup
1572,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
97,715,Side,Fingerfood;Chicken,Chicken with Seaweed
176,206,Drink,Drink;Hot,Chinese Tea
1133,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
404,594,Side,Dimsum;Chicken,Chix Feet
73,594,Side,Fingerfood;Chicken,Chix Wing BP
78,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
453,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
224,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
107,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
548,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
411,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
218,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
27,352,Drink,Drink;Cold,Coke
2,121,Drink,Drink;Cold,Coke Float (Promo)
111,73,Drink,Drink;Cold,Cold / Iced Water
97,594,Side,Bread;Sweet,Condensed & Peanut TT
419,473,Side,Dimsum;Chicken,Custard Bun
73,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
234,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
494,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
63,473,Side,Bread;Savoury,Egg & Ham Sandwich
731,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
107,594,Side,Fingerfood;Vegetarian,F.Fries Curry Mayo
117,788,Side,Bread;Savoury,F.Toast Chicken Floss
141,2364,Side,Bread;Sweet,F.Toast Ice Cream
165,1273,Main,Noodle;Pork,Fermented Pork Dry Noodle
1289,1394,Main,Western;Fish,Fish & Chips
667,1394,Main,Bakedrice;Fish,Fish Bk Rice
868,1273,Main,Noodle;Fish,Fish Egg Sauteed HF
302,1273,Main,Spaghetti;Fish,Fish Fillet Spag
2522,1394,Main,Noodlesoup;Fish,Fish Papaya Soup Beehoon
969,1273,Main,Rice;Fish,Fish Slice Muifan
1754,1030,Main,Porridge;Fish,Fish Slice Por
180,594,Side,Bread;Sweet,French Toast
41,594,Drink,Drink;Cold,Fresh  Lime Juice
168,352,Drink,Drink;Hot,Fresh Soy Milk
539,1394,Main,Noodle;Pork,Fried Spare Ribs Bee Hoon
667,958,Dessert,Dessert;Cold,Fruit Jelly Pudding
88,594,Side,Fingerfood;Chicken,HAM BO LO BUN
263,715,Side,Fingerfood;Chicken,HONEY CHICKEN WING (5pcs)
1244,944,Main,Noodlesoup;Pork,Ham & Egg Soup Ndl
63,836,Side,Bread;Pork,Ham Egg Toast N French Fries
764,594,Side,Dimsum;Seafood,Har Gao
87,352,Dessert,Dessert;Cold,Home-Made Cold Beancurd
362,1914,Dessert,Dessert;Cold,Homemade Cold Beancurd
282,424,Drink,Drink;Hot,Hot Coffee-Tea
92,473,Drink,Drink;Hot,Hot Honey Green Tea
250,473,Drink,Drink;Hot,Hot Honey with Lemon
19,836,Drink,Drink;Cold,ICED MILO FLOAT
85,545,Drink,Drink;Cold,Ice Milo Dinosaur
148,473,Drink,Drink;Cold,Iced Coffee-Tea
28,836,Drink,Drink;Cold,Iced Coffee-Tea Float
36,594,Drink,Drink;Cold,Iced Honey Green Tea
157,594,Drink,Drink;Cold,Iced Lemon Tea
196,667,Drink,Drink;Cold,Iced Lychee Tea
269,473,Drink,Drink;Cold,Iced Milk Tea
18,836,Drink,Drink;Cold,Iced Milk Tea Float
43,667,Drink,Drink;Cold,Iced Peach Tea
77,473,Drink,Drink;Cold,Iced Soy Milk
36,667,Drink,Drink;Cold,Iced Yuzu Tea
54,352,Side,Bread;Sweet,Kaya Butter Bread
73,424,Side,Bread;Savoury,Kaya Butter Bread + Kopi
154,206,Drink,Drink;Hot,Kopi
107,473,Side,Bread;Savoury,L.Meat'N'Egg S'wich
30,473,Drink,Drink;Hot,LEMON COKE
34,242,Side,Addons;Pork,LUNCHEON MEAT (2pcs)
21,594,Drink,Drink;Cold,Lime Juice
146,594,Side,Fingerfood;Pork,Luncheon Meat Fries
292,1273,Main,Spaghetti;Pork,Luncheon Mushrm Cream Spag
49,473,Side,Bread;Savoury,Luncheon N Egg Sandwich
1372,1067,Main,Noodlesoup;Pork,LuncheonMeatSoup Ndl
30,715,Drink,Drink;Cold,Lychee Ice-blended
904,836,Dessert,Dessert;Cold,Mango Pomelo
324,909,Dessert,Dessert;Cold,Mango SnowIce
290,424,Drink,Drink;Hot,Milk Tea
106,229,Drink,Drink;Hot,Milo
570,1151,Side,Vegetable;Seafood,Minced Kai Lan W Silver Fish
430,1394,Main,Baked Rice;Vegetarian,Mush Bk Rice
174,1200,Main,Spaghetti;Vegetarian,Mushroom Cream Spag
511,788,Side,Dimsum;Pork,Pan Fried Dumpling
224,1030,Side,Vegetable;Vegetarian,Paoched Lettuce
26,1430,Drink,Drink;Cold,Peach Ice-blended
54,594,Side,Bread;Sweet,Peanut Butter Milk Thick Toast
2331,1394,Main,Noodle;Pork,Pork Chop Bee Hoon
1124,1515,Main,Bakedrice;Pork,Pork Chop Bk Rice
457,1394,Main,Rice;Pork,Pork Chop Frag Rice
210,1394,Main,Noodle;Pork,Pork Chop Noodle
950,1030,Main,Porridge;Pork,Pork N Century Egg Congee
1005,1394,Main,Noodle;Pork,Pork Ribs BH
220,1030,Main,Porridge;Pork,Pork n Century Egg Congee
321,836,Side,Fingerfood;Chicken,Prawn Paste Chicken
265,1067,Main,Rice;Chicken,Pumpkin Chix Chop Rice
73,594,Drink,Drink;Cold,RAINBOW SPRITE
428,594,Side,Dimsum;Pork,Radish Cake
131,909,Dessert,Dessert;Cold,Red Bean Snow
1060,1757,Main,Spaghetti;Seafood,SCALLOP CREAM SAUCE SPAGHETTI
768,1394,Main,Rice;Pork,SH Pork Chop Rice
548,1515,Main,Noodle;Duck,SMOKED DUCK DRY CURRY RAMEN
20,594,Drink,Drink;Cold,SOUR PLUM COKE
119,667,Dessert,Dessert;Cold,SOY MILK WITH GLUTINOUS BALL
1636,1273,Main,Noodle;Pork;Seafood,SPECIAL STIR FRIED BEE HOON
536,594,Side,Dimsum;Pork,SPRING ROLL
1024,1273,Main,Friedrice;Seafood,Sambal Seafood Fried Rice
