40,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
17,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
11,1515,Main,BakedRice;Seafood,BAKED RICE EBI
119,545,Side,Dimsum;Pork,BBQ Pork Bun
8,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
8,1273,Main,Western;Chicken,BP Chicken Chop
12,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
21,1273,Main,Western;Chicken,BP Chix Chop & Fries
31,1273,Main,Spaghetti;Chicken,BP Chix Spag
17,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
193,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
18,473,Dessert,Dessert;Cold,Beancurd w Mango
36,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
24,352,Side,Bread,Bo Lo Bun
19,594,Side,Soup;Beef,Borsch Soup
41,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
27,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
19,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
8,836,Drink,Drink;Cold,COKE FLOAT
74,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
19,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
68,1030,Main,Porridge;Pork,Cent Egg Pork Por
94,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
42,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
61,594,Side,Dimsum;Chicken,Chicken Feet
40,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
16,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
15,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
23,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
32,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
8,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
7,909,Main,Soup;Chicken,Chicken Macaroni Soup
31,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
13,715,Side,Fingerfood;Chicken,Chicken with Seaweed
58,206,Drink,Drink;Hot,Chinese Tea
30,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
149,594,Side,Dimsum;Chicken,Chix Feet
15,594,Side,Fingerfood;Chicken,Chix Wing BP
20,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
77,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
36,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
13,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
34,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
10,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
36,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
11,352,Drink,Drink;Cold,Coke
14,121,Drink,Drink;Cold,Coke Float (Promo)
46,73,Drink,Drink;Cold,Cold / Iced Water
25,594,Side,Bread;Sweet,Condensed & Peanut TT
94,473,Side,Dimsum;Chicken,Custard Bun
152,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
38,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
27,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
17,473,Side,Bread;Savoury,Egg & Ham Sandwich
17,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
10,594,Side,Fingerfood;Vegetarian,F.Fries Curry Mayo
16,788,Side,Bread;Savoury,F.Toast Chicken Floss
40,2364,Side,Bread;Sweet,F.Toast Ice Cream
11,1273,Main,Noodle;Pork,Fermented Pork Dry Noodle
38,1394,Main,Western;Fish,Fish & Chips
22,1394,Main,Bakedrice;Fish,Fish Bk Rice
65,1273,Main,Noodle;Fish,Fish Egg Sauteed HF
7,1273,Main,Spaghetti;Fish,Fish Fillet Spag
65,1394,Main,Noodlesoup;Fish,Fish Papaya Soup Beehoon
30,1273,Main,Rice;Fish,Fish Slice Muifan
73,1030,Main,Porridge;Fish,Fish Slice Por
46,594,Side,Bread;Sweet,French Toast
25,594,Drink,Drink;Cold,Fresh  Lime Juice
48,352,Drink,Drink;Hot,Fresh Soy Milk
16,1394,Main,Noodle;Pork,Fried Spare Ribs Bee Hoon
104,121,Side,Fingerfood;Seafood,Fried Wanton 3pcs
78,958,Dessert,Dessert;Cold,Fruit Jelly Pudding
32,594,Side,Fingerfood;Chicken,HAM BO LO BUN
43,715,Side,Fingerfood;Chicken,HONEY CHICKEN WING (5pcs)
17,944,Main,Noodlesoup;Pork,Ham & Egg Soup Ndl
33,836,Side,Bread;Pork,Ham Egg Toast N French Fries
211,594,Side,Dimsum;Seafood,Har Gao
17,352,Dessert,Dessert;Cold,Home-Made Cold Beancurd
34,1914,Dessert,Dessert;Cold,Homemade Cold Beancurd
130,424,Drink,Drink;Hot,Hot Coffee-Tea
13,473,Drink,Drink;Hot,Hot Honey Green Tea
44,473,Drink,Drink;Hot,Hot Honey with Lemon
7,836,Drink,Drink;Cold,ICED MILO FLOAT
20,545,Drink,Drink;Cold,Ice Milo Dinosaur
64,473,Drink,Drink;Cold,Iced Coffee-Tea
10,836,Drink,Drink;Cold,Iced Coffee-Tea Float
12,594,Drink,Drink;Cold,Iced Honey Green Tea
86,594,Drink,Drink;Cold,Iced Lemon Tea
88,667,Drink,Drink;Cold,Iced Lychee Tea
133,473,Drink,Drink;Cold,Iced Milk Tea
2,836,Drink,Drink;Cold,Iced Milk Tea Float
15,667,Drink,Drink;Cold,Iced Peach Tea
26,473,Drink,Drink;Cold,Iced Soy Milk
24,667,Drink,Drink;Cold,Iced Yuzu Tea
22,352,Side,Bread;Sweet,Kaya Butter Bread
96,424,Side,Bread;Savoury,Kaya Butter Bread + Kopi
116,206,Drink,Drink;Hot,Kopi
37,473,Side,Bread;Savoury,L.Meat'N'Egg S'wich
5,473,Drink,Drink;Hot,LEMON COKE
6,242,Side,Addons;Pork,LUNCHEON MEAT (2pcs)
10,594,Drink,Drink;Cold,Lime Juice
20,594,Side,Fingerfood;Pork,Luncheon Meat Fries
10,1273,Main,Spaghetti;Pork,Luncheon Mushrm Cream Spag
30,473,Side,Bread;Savoury,Luncheon N Egg Sandwich
22,1067,Main,Noodlesoup;Pork,LuncheonMeatSoup Ndl
10,715,Drink,Drink;Cold,Lychee Ice-blended
133,836,Dessert,Dessert;Cold,Mango Pomelo
28,909,Dessert,Dessert;Cold,Mango SnowIce
109,424,Drink,Drink;Hot,Milk Tea
13,229,Drink,Drink;Hot,Milo
69,1151,Side,Vegetable;Seafood,Minced Kai Lan W Silver Fish
16,1394,Main,Baked Rice;Vegetarian,Mush Bk Rice
10,1200,Main,Spaghetti;Vegetarian,Mushroom Cream Spag
140,788,Side,Dimsum;Pork,Pan Fried Dumpling
20,1030,Side,Vegetable;Vegetarian,Paoched Lettuce
7,1430,Drink,Drink;Cold,Peach Ice-blended
15,594,Side,Bread;Sweet,Peanut Butter Milk Thick Toast
233,1394,Main,Noodle;Pork,Pork Chop Bee Hoon
82,1515,Main,Bakedrice;Pork,Pork Chop Bk Rice
11,1394,Main,Rice;Pork,Pork Chop Frag Rice
9,1394,Main,Noodle;Pork,Pork Chop Noodle
21,1030,Main,Porridge;Pork,Pork N Century Egg Congee
63,1394,Main,Noodle;Pork,Pork Ribs BH
10,1030,Main,Porridge;Pork,Pork n Century Egg Congee
33,836,Side,Fingerfood;Chicken,Prawn Paste Chicken
12,1067,Main,Rice;Chicken,Pumpkin Chix Chop Rice
16,594,Drink,Drink;Cold,RAINBOW SPRITE
166,594,Side,Dimsum;Pork,Radish Cake
22,909,Dessert,Dessert;Cold,Red Bean Snow
35,1757,Main,Spaghetti;Seafood,SCALLOP CREAM SAUCE SPAGHETTI
29,1394,Main,Rice;Pork,SH Pork Chop Rice
16,1515,Main,Noodle;Duck,SMOKED DUCK DRY CURRY RAMEN
5,594,Drink,Drink;Cold,SOUR PLUM COKE
15,667,Dessert,Dessert;Cold,SOY MILK WITH GLUTINOUS BALL
117,1273,Main,Noodle;Pork;Seafood,SPECIAL STIR FRIED BEE HOON
96,594,Side,Dimsum;Pork,SPRING ROLL
42,1273,Main,Friedrice;Seafood,Sambal Seafood Fried Rice
43,1151,Main,Porridge;Seafood,Sampan Congee
15,1321,Main,Noodle;Seafood,Seafood Ee Noodle
18,1273,Main,Noodle;Seafood,Seafood Egg Hor Fun
18,1273,Main,Rice;Seafood,Seafood Muifan
71,1273,Main,Noodle;Seafood,Seafood Sauteed HF
6,1030,Main,Soup;Seafood;Pork,Seafood and Slice Pork Macaroni Soup
61,667,Dessert,Dessert;Cold,Sesame Cream Glutinous Ball
293,545,Side,Dimsum;Seafood;Pork,Siew Mai
174,1394,Main,Noodle;Pork,Signature Fried Noodles
280,1394,Main,Friedrice;Pork;Seafood;Chicken,Signature Fried Rice
95,1200,Main,Porridge;Seafood,Sliced Empress Congee
25,1273,Main,Noodle;Fish,Sliced Fish Egg Hor Fun
13,352,Side,Bread,Soft Boiled Eggs
31,836,Side,Soup,Soup Of The Day
13,1030,Main,Porridge;Pork,Spicy Pork Por
38,242,Side,Fingerfood;Vegetarian,Spicy Sour Fries
3,352,Drink,Drink;Cold,Sprite
13,944,Main,Noodlesoup;Pork,Spy P.Dices Soup Ndl
58,594,Side,Dimsum;Pork,Steam Pork Spare Ribs
57,206,Drink,Drink;Hot,Teh
21,1030,Main,Noodle;Vegetarian,VEGETARIAN HOR FUN
15,1151,Main,Noodle;Vegetarian,VEGETARIAN RAMEN
20,182,Side,Addons;Vegetarian,WHITE RICE
38,715,Side,Soup;Pork;Seafood,Wanton Soup
42,1079,Main,Noodle;Pork;Seafood,Wanton Soup Noodle
111,73,Drink,Drink;Hot,Warm Water
13,788,Dessert,Dessert;Cold,Watermelon 'N' Jelly
5,715,Drink,Drink;Cold,Watermelon Ice
3,715,Drink,Drink;Cold,Watermelon Ice-Blended
56,1394,Main,Rice;Chicken,Yao Ma Tei Chix Rice
52,388,Drink,Drink;Hot,Yuzu Tea
