uscore,price,item_type,item_cat,item_desc
358,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
196,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
127,1515,Main,BakedRice;Seafood,BAKED RICE EBI
3363,545,Side,Dimsum;Pork,BBQ Pork Bun
98,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
98,1273,Main,Western;Chicken,BP Chicken Chop
157,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
215,1273,Main,Western;Chicken,BP Chix Chop & Fries
294,1273,Main,Spaghetti;Chicken,BP Chix Spag
196,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
5507,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
141,473,Dessert,Dessert;Cold,Beancurd w Mango
1051,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
694,352,Side,Bread,Bo Lo Bun
546,594,Side,Soup;Beef,Borsch Soup
421,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
274,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
186,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
16,836,Drink,Drink;Cold,COKE FLOAT
803,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
215,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
734,1030,Main,Porridge;Pork,Cent Egg Pork Por
1018,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
431,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
1765,594,Side,Dimsum;Chicken,Chicken Feet
401,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
186,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
157,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
235,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
946,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
252,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
78,909,Main,Soup;Chicken,Chicken Macaroni Soup
313,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
336,715,Side,Fingerfood;Chicken,Chicken with Seaweed
121,206,Drink,Drink;Hot,Chinese Tea
313,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
4203,594,Side,Dimsum;Chicken,Chix Feet
420,594,Side,Fingerfood;Chicken,Chix Wing BP
631,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
2186,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
1051,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
378,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
274,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
117,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
301,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
23,352,Drink,Drink;Cold,Coke
26,121,Drink,Drink;Cold,Coke Float (Promo)
93,73,Drink,Drink;Cold,Cold / Iced Water
546,594,Side,Bread;Sweet,Condensed & Peanut TT
2774,473,Side,Dimsum;Chicken,Custard Bun
4224,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
1093,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
274,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
420,473,Side,Bread;Savoury,Egg & Ham Sandwich
176,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
294,594,Side,Fingerfood;Vegetarian,F.Fries Curry Mayo
546,788,Side,Bread;Savoury,F.Toast Chicken Floss
1219,2364,Side,Bread;Sweet,F.Toast Ice Cream
98,1273,Main,Noodle;Pork,Fermented Pork Dry Noodle
411,1394,Main,Western;Fish,Fish & Chips
255,1394,Main,Bakedrice;Fish,Fish Bk Rice
656,1273,Main,Noodle;Fish,Fish Egg Sauteed HF
49,1273,Main,Spaghetti;Fish,Fish Fillet Spag
724,1394,Main,Noodlesoup;Fish,Fish Papaya Soup Beehoon
323,1273,Main,Rice;Fish,Fish Slice Muifan
754,1030,Main,Porridge;Fish,Fish Slice Por
1303,594,Side,Bread;Sweet,French Toast
52,594,Drink,Drink;Cold,Fresh  Lime Juice
95,352,Drink,Drink;Hot,Fresh Soy Milk
166,1394,Main,Noodle;Pork,Fried Spare Ribs Bee Hoon
3005,121,Side,Fingerfood;Seafood,Fried Wanton 3pcs
717,958,Dessert,Dessert;Cold,Fruit Jelly Pudding
988,594,Side,Fingerfood;Chicken,HAM BO LO BUN
1219,715,Side,Fingerfood;Chicken,HONEY CHICKEN WING (5pcs)
196,944,Main,Noodlesoup;Pork,Ham & Egg Soup Ndl
967,836,Side,Bread;Pork,Ham Egg Toast N French Fries
6053,594,Side,Dimsum;Seafood,Har Gao
147,352,Dessert,Dessert;Cold,Home-Made Cold Beancurd
294,1914,Dessert,Dessert;Cold,Homemade Cold Beancurd
262,424,Drink,Drink;Hot,Hot Coffee-Tea
26,473,Drink,Drink;Hot,Hot Honey Green Tea
87,473,Drink,Drink;Hot,Hot Honey with Lemon
16,836,Drink,Drink;Cold,ICED MILO FLOAT
41,545,Drink,Drink;Cold,Ice Milo Dinosaur
133,473,Drink,Drink;Cold,Iced Coffee-Tea
