uscore,price,item_type,item_cat,item_desc
408,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
1299,545,Side,Dimsum;Pork,BBQ Pork Bun
325,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
325,1273,Main,Western;Chicken,BP Chix Chop & Fries
216,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
216,352,Side,Bread,Bo Lo Bun
325,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
976,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
325,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
649,594,Side,Dimsum;Chicken,Chicken Feet
325,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
325,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
433,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
216,715,Side,Fingerfood;Chicken,Chicken with Seaweed
56,206,Drink,Drink;Hot,Chinese Tea
433,594,Side,Dimsum;Chicken,Chix Feet
649,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
216,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
408,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
84,73,Drink,Drink;Cold,Cold / Iced Water
649,473,Side,Dimsum;Chicken,Custard Bun
216,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
325,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
216,473,Side,Bread;Savoury,Egg & Ham Sandwich
976,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
433,594,Side,Fingerfood;Vegetarian,F.Fries Curry Mayo
216,788,Side,Bread;Savoury,F.Toast Chicken Floss
433,2364,Side,Bread;Sweet,F.Toast Ice Cream
1952,1394,Main,Western;Fish,Fish & Chips
325,1394,Main,Bakedrice;Fish,Fish Bk Rice
325,1273,Main,Spaghetti;Fish,Fish Fillet Spag
325,1394,Main,Noodlesoup;Fish,Fish Papaya Soup Beehoon
325,1273,Main,Rice;Fish,Fish Slice Muifan
325,1030,Main,Porridge;Fish,Fish Slice Por
216,594,Side,Bread;Sweet,French Toast
196,352,Drink,Drink;Hot,Fresh Soy Milk
325,1394,Main,Noodle;Pork,Fried Spare Ribs Bee Hoon
433,594,Side,Fingerfood;Chicken,HAM BO LO BUN
216,715,Side,Fingerfood;Chicken,HONEY CHICKEN WING (5pcs)
216,836,Side,Bread;Pork,Ham Egg Toast N French Fries
1299,594,Side,Dimsum;Seafood,Har Gao
204,352,Dessert,Dessert;Cold,Home-Made Cold Beancurd
204,1914,Dessert,Dessert;Cold,Homemade Cold Beancurd
140,424,Drink,Drink;Hot,Hot Coffee-Tea
28,473,Drink,Drink;Hot,Hot Honey Green Tea
168,473,Drink,Drink;Hot,Hot Honey with Lemon
