68,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
23,545,Side,Dimsum;Pork,BBQ Pork Bun
85,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
28,1273,Main,Western;Chicken,BP Chix Chop & Fries
56,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
45,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
45,352,Side,Bread,Bo Lo Bun
23,594,Side,Soup;Beef,Borsch Soup
28,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
28,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
28,1030,Main,Porridge;Pork,Cent Egg Pork Por
56,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
56,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
28,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
56,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
45,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
45,715,Side,Fingerfood;Chicken,Chicken with Seaweed
45,206,Drink,Drink;Hot,Chinese Tea
56,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
68,594,Side,Fingerfood;Chicken,Chix Wing BP
23,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
45,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
45,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
56,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
68,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
34,73,Drink,Drink;Cold,Cold / Iced Water
90,473,Side,Dimsum;Chicken,Custard Bun
23,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
56,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
23,473,Side,Bread;Savoury,Egg & Ham Sandwich
28,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
45,594,Side,Fingerfood;Vegetarian,F.Fries Curry Mayo
90,2364,Side,Bread;Sweet,F.Toast Ice Cream
28,1273,Main,Noodle;Pork,Fermented Pork Dry Noodle
85,1394,Main,Western;Fish,Fish & Chips
28,1273,Main,Noodle;Fish,Fish Egg Sauteed HF
85,1394,Main,Noodlesoup;Fish,Fish Papaya Soup Beehoon
28,1273,Main,Rice;Fish,Fish Slice Muifan
