uscore,price,item_type,item_cat,item_desc
637,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
203,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
1493,545,Side,Dimsum;Pork,BBQ Pork Bun
203,1273,Main,Western;Chicken,BP Chicken Chop
203,1273,Main,Western;Chicken,BP Chix Chop & Fries
406,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
1120,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
127,473,Dessert,Dessert;Cold,Beancurd w Mango
187,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
560,352,Side,Bread,Bo Lo Bun
187,594,Side,Soup;Beef,Borsch Soup
406,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
203,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
203,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
811,1030,Main,Porridge;Pork,Cent Egg Pork Por
203,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
203,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
373,594,Side,Dimsum;Chicken,Chicken Feet
560,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
187,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
203,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
17,206,Drink,Drink;Hot,Chinese Tea
406,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
187,594,Side,Dimsum;Chicken,Chix Feet
187,594,Side,Fingerfood;Chicken,Chix Wing BP
3172,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
560,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
187,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
406,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
765,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
104,352,Drink,Drink;Cold,Coke
52,73,Drink,Drink;Cold,Cold / Iced Water
187,473,Side,Dimsum;Chicken,Custard Bun
560,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
560,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
811,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
373,473,Side,Bread;Savoury,Egg & Ham Sandwich
373,594,Side,Fingerfood;Vegetarian,F.Fries Curry Mayo
187,788,Side,Bread;Savoury,F.Toast Chicken Floss
746,2364,Side,Bread;Sweet,F.Toast Ice Cream
406,1273,Main,Noodle;Pork,Fermented Pork Dry Noodle
608,1394,Main,Western;Fish,Fish & Chips
1217,1394,Main,Noodlesoup;Fish,Fish Papaya Soup Beehoon
933,594,Side,Bread;Sweet,French Toast
52,352,Drink,Drink;Hot,Fresh Soy Milk
203,1394,Main,Noodle;Pork,Fried Spare Ribs Bee Hoon
255,958,Dessert,Dessert;Cold,Fruit Jelly Pudding
560,594,Side,Fingerfood;Chicken,HAM BO LO BUN
373,715,Side,Fingerfood;Chicken,HONEY CHICKEN WING (5pcs)
406,944,Main,Noodlesoup;Pork,Ham & Egg Soup Ndl
560,836,Side,Bread;Pork,Ham Egg Toast N French Fries
2799,594,Side,Dimsum;Seafood,Har Gao
510,352,Dessert,Dessert;Cold,Home-Made Cold Beancurd
255,1914,Dessert,Dessert;Cold,Homemade Cold Beancurd
52,424,Drink,Drink;Hot,Hot Coffee-Tea
17,473,Drink,Drink;Hot,Hot Honey Green Tea
225,473,Drink,Drink;Hot,Hot Honey with Lemon
17,836,Drink,Drink;Cold,ICED MILO FLOAT
52,545,Drink,Drink;Cold,Ice Milo Dinosaur
242,473,Drink,Drink;Cold,Iced Coffee-Tea
17,836,Drink,Drink;Cold,Iced Coffee-Tea Float
17,594,Drink,Drink;Cold,Iced Honey Green Tea
121,594,Drink,Drink;Cold,Iced Lemon Tea
225,667,Drink,Drink;Cold,Iced Lychee Tea
485,473,Drink,Drink;Cold,Iced Milk Tea
52,473,Drink,Drink;Cold,Iced Soy Milk
87,667,Drink,Drink;Cold,Iced Yuzu Tea
373,352,Side,Bread;Sweet,Kaya Butter Bread
933,424,Side,Bread;Savoury,Kaya Butter Bread + Kopi
260,206,Drink,Drink;Hot,Kopi
560,473,Side,Bread;Savoury,L.Meat'N'Egg S'wich
35,473,Drink,Drink;Hot,LEMON COKE
87,594,Drink,Drink;Cold,Lime Juice
373,594,Side,Fingerfood;Pork,Luncheon Meat Fries
203,1273,Main,Spaghetti;Pork,Luncheon Mushrm Cream Spag
2053,473,Side,Bread;Savoury,Luncheon N Egg Sandwich
1217,1067,Main,Noodlesoup;Pork,LuncheonMeatSoup Ndl
52,715,Drink,Drink;Cold,Lychee Ice-blended
2421,836,Dessert,Dessert;Cold,Mango Pomelo
382,909,Dessert,Dessert;Cold,Mango SnowIce
104,424,Drink,Drink;Hot,Milk Tea
87,229,Drink,Drink;Hot,Milo
560,1151,Side,Vegetable;Seafood,Minced Kai Lan W Silver Fish
933,788,Side,Dimsum;Pork,Pan Fried Dumpling
560,1030,Side,Vegetable;Vegetarian,Paoched Lettuce
17,1430,Drink,Drink;Cold,Peach Ice-blended
746,594,Side,Bread;Sweet,Peanut Butter Milk Thick Toast
203,1394,Main,Noodle;Pork,Pork Chop Bee Hoon
1014,1515,Main,Bakedrice;Pork,Pork Chop Bk Rice
1014,1030,Main,Porridge;Pork,Pork N Century Egg Congee
373,836,Side,Fingerfood;Chicken,Prawn Paste Chicken
17,594,Drink,Drink;Cold,RAINBOW SPRITE
933,594,Side,Dimsum;Pork,Radish Cake
510,909,Dessert,Dessert;Cold,Red Bean Snow
203,1757,Main,Spaghetti;Seafood,SCALLOP CREAM SAUCE SPAGHETTI
203,1394,Main,Rice;Pork,SH Pork Chop Rice
608,1515,Main,Noodle;Duck,SMOKED DUCK DRY CURRY RAMEN
17,594,Drink,Drink;Cold,SOUR PLUM COKE
127,667,Dessert,Dessert;Cold,SOY MILK WITH GLUTINOUS BALL
1014,1273,Main,Noodle;Pork;Seafood,SPECIAL STIR FRIED BEE HOON
2426,594,Side,Dimsum;Pork,SPRING ROLL
811,1273,Main,Friedrice;Seafood,Sambal Seafood Fried Rice
406,1321,Main,Noodle;Seafood,Seafood Ee Noodle
203,1273,Main,Noodle;Seafood,Seafood Egg Hor Fun
406,1273,Main,Noodle;Seafood,Seafood Sauteed HF
203,1030,Main,Soup;Seafood;Pork,Seafood and Slice Pork Macaroni Soup
892,667,Dessert,Dessert;Cold,Sesame Cream Glutinous Ball
2986,545,Side,Dimsum;Seafood;Pork,Siew Mai
1622,1394,Main,Noodle;Pork,Signature Fried Noodles
1217,1394,Main,Friedrice;Pork;Seafood;Chicken,Signature Fried Rice
608,1200,Main,Porridge;Seafood,Sliced Empress Congee
187,352,Side,Bread,Soft Boiled Eggs
560,836,Side,Soup,Soup Of The Day
811,1030,Main,Porridge;Pork,Spicy Pork Por
373,242,Side,Fingerfood;Vegetarian,Spicy Sour Fries
608,944,Main,Noodlesoup;Pork,Spy P.Dices Soup Ndl
373,594,Side,Dimsum;Pork,Steam Pork Spare Ribs
208,206,Drink,Drink;Hot,Teh
560,715,Side,Soup;Pork;Seafood,Wanton Soup
203,1079,Main,Noodle;Pork;Seafood,Wanton Soup Noodle
121,73,Drink,Drink;Hot,Warm Water
510,788,Dessert,Dessert;Cold,Watermelon 'N' Jelly
17,715,Drink,Drink;Cold,Watermelon Ice
35,715,Drink,Drink;Cold,Watermelon Ice-Blended
203,1394,Main,Rice;Chicken,Yao Ma Tei Chix Rice
121,388,Drink,Drink;Hot,Yuzu Tea
