31,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
74,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
85,1515,Main,BakedRice;Seafood,BAKED RICE EBI
34,545,Side,Dimsum;Pork,BBQ Pork Bun
46,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
27,1273,Main,Western;Chicken,BP Chicken Chop
39,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
43,1273,Main,Western;Chicken,BP Chix Chop & Fries
89,1273,Main,Spaghetti;Chicken,BP Chix Spag
31,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
80,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
6,473,Dessert,Dessert;Cold,Beancurd w Mango
34,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
15,352,Side,Bread,Bo Lo Bun
19,594,Side,Soup;Beef,Borsch Soup
66,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
12,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
54,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
5,836,Drink,Drink;Cold,COKE FLOAT
62,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
50,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
89,1030,Main,Porridge;Pork,Cent Egg Pork Por
263,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
81,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
65,594,Side,Dimsum;Chicken,Chicken Feet
97,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
19,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
74,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
15,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
40,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
19,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
39,909,Main,Soup;Chicken,Chicken Macaroni Soup
35,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
56,715,Side,Fingerfood;Chicken,Chicken with Seaweed
29,206,Drink,Drink;Hot,Chinese Tea
101,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
68,594,Side,Dimsum;Chicken,Chix Feet
28,594,Side,Fingerfood;Chicken,Chix Wing BP
9,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
93,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
59,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
34,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
62,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
27,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
19,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
25,352,Drink,Drink;Cold,Coke
6,121,Drink,Drink;Cold,Coke Float (Promo)
68,73,Drink,Drink;Cold,Cold / Iced Water
9,594,Side,Bread;Sweet,Condensed & Peanut TT
93,473,Side,Dimsum;Chicken,Custard Bun
28,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
40,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
70,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
6,473,Side,Bread;Savoury,Egg & Ham Sandwich
35,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
28,594,Side,Fingerfood;Vegetarian,F.Fries Curry Mayo
9,788,Side,Bread;Savoury,F.Toast Chicken Floss
37,2364,Side,Bread;Sweet,F.Toast Ice Cream
12,1273,Main,Noodle;Pork,Fermented Pork Dry Noodle
101,1394,Main,Western;Fish,Fish & Chips
101,1394,Main,Bakedrice;Fish,Fish Bk Rice
19,1273,Main,Noodle;Fish,Fish Egg Sauteed HF
