51,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
30,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
37,1515,Main,BakedRice;Seafood,BAKED RICE EBI
87,545,Side,Dimsum;Pork,BBQ Pork Bun
41,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
34,1273,Main,Western;Chicken,BP Chicken Chop
7,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
30,1273,Main,Western;Chicken,BP Chix Chop & Fries
67,1273,Main,Spaghetti;Chicken,BP Chix Spag
22,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
105,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
69,473,Dessert,Dessert;Cold,Beancurd w Mango
36,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
48,352,Side,Bread,Bo Lo Bun
33,594,Side,Soup;Beef,Borsch Soup
52,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
15,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
19,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
7,836,Drink,Drink;Cold,COKE FLOAT
7,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
64,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
45,1030,Main,Porridge;Pork,Cent Egg Pork Por
131,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
52,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
105,594,Side,Dimsum;Chicken,Chicken Feet
41,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
4,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
79,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
26,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
81,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
15,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
7,909,Main,Soup;Chicken,Chicken Macaroni Soup
34,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
39,715,Side,Fingerfood;Chicken,Chicken with Seaweed
22,206,Drink,Drink;Hot,Chinese Tea
71,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
102,594,Side,Dimsum;Chicken,Chix Feet
18,594,Side,Fingerfood;Chicken,Chix Wing BP
27,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
96,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
39,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
33,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
15,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
15,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
27,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
31,352,Drink,Drink;Cold,Coke
24,121,Drink,Drink;Cold,Coke Float (Promo)
111,73,Drink,Drink;Cold,Cold / Iced Water
15,594,Side,Bread;Sweet,Condensed & Peanut TT
114,473,Side,Dimsum;Chicken,Custard Bun
132,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
48,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
34,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
27,473,Side,Bread;Savoury,Egg & Ham Sandwich
22,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
69,594,Side,Fingerfood;Vegetarian,F.Fries Curry Mayo
18,788,Side,Bread;Savoury,F.Toast Chicken Floss
66,2364,Side,Bread;Sweet,F.Toast Ice Cream
7,1273,Main,Noodle;Pork,Fermented Pork Dry Noodle
52,1394,Main,Western;Fish,Fish & Chips
34,1394,Main,Bakedrice;Fish,Fish Bk Rice
4,1273,Main,Noodle;Fish,Fish Egg Sauteed HF
7,1273,Main,Spaghetti;Fish,Fish Fillet Spag
41,1394,Main,Noodlesoup;Fish,Fish Papaya Soup Beehoon
22,1273,Main,Rice;Fish,Fish Slice Muifan
56,1030,Main,Porridge;Fish,Fish Slice Por
99,594,Side,Bread;Sweet,French Toast
12,594,Drink,Drink;Cold,Fresh  Lime Juice
31,352,Drink,Drink;Hot,Fresh Soy Milk
11,1394,Main,Noodle;Pork,Fried Spare Ribs Bee Hoon
12,121,Side,Fingerfood;Seafood,Fried Wanton 3pcs
84,958,Dessert,Dessert;Cold,Fruit Jelly Pudding
21,594,Side,Fingerfood;Chicken,HAM BO LO BUN
66,715,Side,Fingerfood;Chicken,HONEY CHICKEN WING (5pcs)
67,944,Main,Noodlesoup;Pork,Ham & Egg Soup Ndl
36,836,Side,Bread;Pork,Ham Egg Toast N French Fries
242,594,Side,Dimsum;Seafood,Har Gao
12,352,Dessert,Dessert;Cold,Home-Made Cold Beancurd
48,1914,Dessert,Dessert;Cold,Homemade Cold Beancurd
36,424,Drink,Drink;Hot,Hot Coffee-Tea
16,473,Drink,Drink;Hot,Hot Honey Green Tea
28,473,Drink,Drink;Hot,Hot Honey with Lemon
13,836,Drink,Drink;Cold,ICED MILO FLOAT
45,545,Drink,Drink;Cold,Ice Milo Dinosaur
42,473,Drink,Drink;Cold,Iced Coffee-Tea
3,836,Drink,Drink;Cold,Iced Coffee-Tea Float
10,594,Drink,Drink;Cold,Iced Honey Green Tea
123,594,Drink,Drink;Cold,Iced Lemon Tea
102,667,Drink,Drink;Cold,Iced Lychee Tea
319,473,Drink,Drink;Cold,Iced Milk Tea
36,836,Drink,Drink;Cold,Iced Milk Tea Float
15,667,Drink,Drink;Cold,Iced Peach Tea
31,473,Drink,Drink;Cold,Iced Soy Milk
10,667,Drink,Drink;Cold,Iced Yuzu Tea
