uscore,price,item_type,item_cat,item_desc
447,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
304,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
347,1515,Main,BakedRice;Seafood,BAKED RICE EBI
2426,545,Side,Dimsum;Pork,BBQ Pork Bun
390,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
390,1273,Main,Western;Chicken,BP Chicken Chop
43,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
347,1273,Main,Western;Chicken,BP Chix Chop & Fries
564,1273,Main,Spaghetti;Chicken,BP Chix Spag
260,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
2773,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
559,473,Dessert,Dessert;Cold,Beancurd w Mango
866,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
1213,352,Side,Bread,Bo Lo Bun
866,594,Side,Soup;Beef,Borsch Soup
521,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
174,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
174,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
15,836,Drink,Drink;Cold,COKE FLOAT
174,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
738,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
477,1030,Main,Porridge;Pork,Cent Egg Pork Por
1215,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
564,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
2946,594,Side,Dimsum;Chicken,Chicken Feet
434,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
43,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
868,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
260,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
2166,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
433,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
43,909,Main,Soup;Chicken,Chicken Macaroni Soup
347,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
1213,715,Side,Fingerfood;Chicken,Chicken with Seaweed
42,206,Drink,Drink;Hot,Chinese Tea
781,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
2859,594,Side,Dimsum;Chicken,Chix Feet
433,594,Side,Fingerfood;Chicken,Chix Wing BP
780,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
2426,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
1040,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
780,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
130,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
174,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
252,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
76,352,Drink,Drink;Cold,Coke
53,121,Drink,Drink;Cold,Coke Float (Promo)
259,73,Drink,Drink;Cold,Cold / Iced Water
173,594,Side,Bread;Sweet,Condensed & Peanut TT
3119,473,Side,Dimsum;Chicken,Custard Bun
3639,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
1040,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
347,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
693,473,Side,Bread;Savoury,Egg & Ham Sandwich
260,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
1820,594,Side,Fingerfood;Vegetarian,F.Fries Curry Mayo
433,788,Side,Bread;Savoury,F.Toast Chicken Floss
1560,2364,Side,Bread;Sweet,F.Toast Ice Cream
87,1273,Main,Noodle;Pork,Fermented Pork Dry Noodle
521,1394,Main,Western;Fish,Fish & Chips
217,1394,Main,Bakedrice;Fish,Fish Bk Rice
87,1273,Main,Spaghetti;Fish,Fish Fillet Spag
477,1394,Main,Noodlesoup;Fish,Fish Papaya Soup Beehoon
217,1273,Main,Rice;Fish,Fish Slice Muifan
607,1030,Main,Porridge;Fish,Fish Slice Por
2686,594,Side,Bread;Sweet,French Toast
19,594,Drink,Drink;Cold,Fresh  Lime Juice
72,352,Drink,Drink;Hot,Fresh Soy Milk
43,1394,Main,Noodle;Pork,Fried Spare Ribs Bee Hoon
347,121,Side,Fingerfood;Seafood,Fried Wanton 3pcs
671,958,Dessert,Dessert;Cold,Fruit Jelly Pudding
347,594,Side,Fingerfood;Chicken,HAM BO LO BUN
1646,715,Side,Fingerfood;Chicken,HONEY CHICKEN WING (5pcs)
781,944,Main,Noodlesoup;Pork,Ham & Egg Soup Ndl
953,836,Side,Bread;Pork,Ham Egg Toast N French Fries
6238,594,Side,Dimsum;Seafood,Har Gao
84,352,Dessert,Dessert;Cold,Home-Made Cold Beancurd
391,1914,Dessert,Dessert;Cold,Homemade Cold Beancurd
92,424,Drink,Drink;Hot,Hot Coffee-Tea
42,473,Drink,Drink;Hot,Hot Honey Green Tea
65,473,Drink,Drink;Hot,Hot Honey with Lemon
