uscore,price,item_type,item_cat,item_desc
178,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
850,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
789,1515,Main,BakedRice;Seafood,BAKED RICE EBI
1415,545,Side,Dimsum;Pork,BBQ Pork Bun
425,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
364,1273,Main,Western;Chicken,BP Chicken Chop
364,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
303,1273,Main,Western;Chicken,BP Chix Chop & Fries
668,1273,Main,Spaghetti;Chicken,BP Chix Spag
61,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
1792,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
133,473,Dessert,Dessert;Cold,Beancurd w Mango
755,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
660,352,Side,Bread,Bo Lo Bun
94,594,Side,Soup;Beef,Borsch Soup
910,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
182,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
364,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
44,836,Drink,Drink;Cold,COKE FLOAT
303,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
546,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
607,1030,Main,Porridge;Pork,Cent Egg Pork Por
2974,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
910,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
1321,594,Side,Dimsum;Chicken,Chicken Feet
364,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
364,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
607,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
303,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
755,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
377,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
303,909,Main,Soup;Chicken,Chicken Macaroni Soup
486,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
849,715,Side,Fingerfood;Chicken,Chicken with Seaweed
65,206,Drink,Drink;Hot,Chinese Tea
1396,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
2264,594,Side,Dimsum;Chicken,Chix Feet
472,594,Side,Fingerfood;Chicken,Chix Wing BP
377,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
1415,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
377,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
189,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
546,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
364,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
178,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
44,352,Drink,Drink;Cold,Coke
49,121,Drink,Drink;Cold,Coke Float (Promo)
104,73,Drink,Drink;Cold,Cold / Iced Water
283,594,Side,Bread;Sweet,Condensed & Peanut TT
2075,473,Side,Dimsum;Chicken,Custard Bun
1509,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
566,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
243,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
94,473,Side,Bread;Savoury,Egg & Ham Sandwich
607,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
566,594,Side,Fingerfood;Vegetarian,F.Fries Curry Mayo
283,788,Side,Bread;Savoury,F.Toast Chicken Floss
1321,2364,Side,Bread;Sweet,F.Toast Ice Cream
61,1273,Main,Noodle;Pork,Fermented Pork Dry Noodle
1335,1394,Main,Western;Fish,Fish & Chips
728,1394,Main,Bakedrice;Fish,Fish Bk Rice
364,1273,Main,Noodle;Fish,Fish Egg Sauteed HF
182,1273,Main,Spaghetti;Fish,Fish Fillet Spag
668,1394,Main,Noodlesoup;Fish,Fish Papaya Soup Beehoon
668,1273,Main,Rice;Fish,Fish Slice Muifan
910,1030,Main,Porridge;Fish,Fish Slice Por
283,594,Side,Bread;Sweet,French Toast
54,594,Drink,Drink;Cold,Fresh  Lime Juice
65,352,Drink,Drink;Hot,Fresh Soy Milk
303,1394,Main,Noodle;Pork,Fried Spare Ribs Bee Hoon
377,121,Side,Fingerfood;Seafood,Fried Wanton 3pcs
799,958,Dessert,Dessert;Cold,Fruit Jelly Pudding
189,594,Side,Fingerfood;Chicken,HAM BO LO BUN
1038,715,Side,Fingerfood;Chicken,HONEY CHICKEN WING (5pcs)
971,944,Main,Noodlesoup;Pork,Ham & Egg Soup Ndl
472,836,Side,Bread;Pork,Ham Egg Toast N French Fries
4339,594,Side,Dimsum;Seafood,Har Gao
489,1914,Dessert,Dessert;Cold,Homemade Cold Beancurd
185,424,Drink,Drink;Hot,Hot Coffee-Tea
27,473,Drink,Drink;Hot,Hot Honey Green Tea
65,473,Drink,Drink;Hot,Hot Honey with Lemon
44,836,Drink,Drink;Cold,ICED MILO FLOAT
185,545,Drink,Drink;Cold,Ice Milo Dinosaur
174,473,Drink,Drink;Cold,Iced Coffee-Tea
33,836,Drink,Drink;Cold,Iced Coffee-Tea Float
71,594,Drink,Drink;Cold,Iced Honey Green Tea
234,594,Drink,Drink;Cold,Iced Lemon Tea
207,667,Drink,Drink;Cold,Iced Lychee Tea
441,473,Drink,Drink;Cold,Iced Milk Tea
27,836,Drink,Drink;Cold,Iced Milk Tea Float
49,667,Drink,Drink;Cold,Iced Peach Tea
131,473,Drink,Drink;Cold,Iced Soy Milk
33,667,Drink,Drink;Cold,Iced Yuzu Tea
472,424,Side,Bread;Savoury,Kaya Butter Bread + Kopi
120,206,Drink,Drink;Hot,Kopi
