uscore,price,item_type,item_cat,item_desc
297,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
497,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
870,1515,Main,BakedRice;Seafood,BAKED RICE EBI
272,545,Side,Dimsum;Pork,BBQ Pork Bun
808,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
248,1273,Main,Western;Chicken,BP Chicken Chop
373,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
683,1273,Main,Western;Chicken,BP Chix Chop & Fries
745,1273,Main,Spaghetti;Chicken,BP Chix Spag
497,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
761,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
42,473,Dessert,Dessert;Cold,Beancurd w Mango
544,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
109,352,Side,Bread,Bo Lo Bun
434,594,Side,Soup;Beef,Borsch Soup
1740,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
248,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
373,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
28,836,Drink,Drink;Cold,COKE FLOAT
808,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
435,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
1490,1030,Main,Porridge;Pork,Cent Egg Pork Por
3230,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
1429,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
598,594,Side,Dimsum;Chicken,Chicken Feet
808,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
497,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
683,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
311,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
380,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
163,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
496,909,Main,Soup;Chicken,Chicken Macaroni Soup
1242,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
217,715,Side,Fingerfood;Chicken,Chicken with Seaweed
102,206,Drink,Drink;Hot,Chinese Tea
2174,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
1250,594,Side,Dimsum;Chicken,Chix Feet
272,594,Side,Fingerfood;Chicken,Chix Wing BP
109,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
489,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
272,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
109,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
497,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
124,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
170,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
40,352,Drink,Drink;Cold,Coke
6,121,Drink,Drink;Cold,Coke Float (Promo)
113,73,Drink,Drink;Cold,Cold / Iced Water
326,594,Side,Bread;Sweet,Condensed & Peanut TT
707,473,Side,Dimsum;Chicken,Custard Bun
326,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
326,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
