uscore,price,item_type,item_cat,item_desc
378,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
930,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
783,1515,Main,BakedRice;Seafood,BAKED RICE EBI
3636,545,Side,Dimsum;Pork,BBQ Pork Bun
489,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
245,1273,Main,Western;Chicken,BP Chicken Chop
196,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
245,1273,Main,Western;Chicken,BP Chix Chop & Fries
636,1273,Main,Spaghetti;Chicken,BP Chix Spag
49,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
3762,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
346,473,Dessert,Dessert;Cold,Beancurd w Mango
376,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
2132,352,Side,Bread,Bo Lo Bun
752,594,Side,Soup;Beef,Borsch Soup
734,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
196,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
392,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
30,836,Drink,Drink;Cold,COKE FLOAT
294,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
392,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
489,1030,Main,Porridge;Pork,Cent Egg Pork Por
2056,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
538,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
1881,594,Side,Dimsum;Chicken,Chicken Feet
783,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
49,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
783,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
98,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
2508,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
502,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
49,909,Main,Soup;Chicken,Chicken Macaroni Soup
196,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
1630,715,Side,Fingerfood;Chicken,Chicken with Seaweed
43,206,Drink,Drink;Hot,Chinese Tea
1028,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
6269,594,Side,Dimsum;Chicken,Chix Feet
1128,594,Side,Fingerfood;Chicken,Chix Wing BP
125,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
3260,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
1505,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
502,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
343,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
245,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
189,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
43,352,Drink,Drink;Cold,Coke
81,121,Drink,Drink;Cold,Coke Float (Promo)
145,73,Drink,Drink;Cold,Cold / Iced Water
502,594,Side,Bread;Sweet,Condensed & Peanut TT
3260,473,Side,Dimsum;Chicken,Custard Bun
6645,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
1254,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
245,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
502,473,Side,Bread;Savoury,Egg & Ham Sandwich
294,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
2257,594,Side,Fingerfood;Vegetarian,F.Fries Curry Mayo
627,788,Side,Bread;Savoury,F.Toast Chicken Floss
2633,2364,Side,Bread;Sweet,F.Toast Ice Cream
587,1394,Main,Western;Fish,Fish & Chips
