uscore,price,item_type,item_cat,item_desc
1066,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
2132,1273,Main,Western;Chicken,BP Chicken Chop
2132,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
1066,1273,Main,Western;Chicken,BP Chix Chop & Fries
1066,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
547,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
273,352,Side,Bread,Bo Lo Bun
820,594,Side,Soup;Beef,Borsch Soup
2132,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
1066,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
1066,1030,Main,Porridge;Pork,Cent Egg Pork Por
2132,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
1066,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
820,594,Side,Dimsum;Chicken,Chicken Feet
273,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
547,715,Side,Fingerfood;Chicken,Chicken with Seaweed
1066,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
547,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
273,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
601,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
107,73,Drink,Drink;Cold,Cold / Iced Water
820,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
1066,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
273,594,Side,Fingerfood;Vegetarian,F.Fries Curry Mayo
273,788,Side,Bread;Savoury,F.Toast Chicken Floss
273,2364,Side,Bread;Sweet,F.Toast Ice Cream
1066,1394,Main,Western;Fish,Fish & Chips
1066,1394,Main,Noodle;Pork,Fried Spare Ribs Bee Hoon
273,594,Side,Fingerfood;Chicken,HAM BO LO BUN
273,715,Side,Fingerfood;Chicken,HONEY CHICKEN WING (5pcs)
820,594,Side,Dimsum;Seafood,Har Gao
107,473,Drink,Drink;Hot,Hot Honey Green Tea
214,473,Drink,Drink;Hot,Hot Honey with Lemon
107,545,Drink,Drink;Cold,Ice Milo Dinosaur
214,473,Drink,Drink;Cold,Iced Coffee-Tea
427,594,Drink,Drink;Cold,Iced Lemon Tea
427,667,Drink,Drink;Cold,Iced Lychee Tea
214,473,Drink,Drink;Cold,Iced Milk Tea
107,836,Drink,Drink;Cold,Iced Milk Tea Float
107,667,Drink,Drink;Cold,Iced Peach Tea
273,473,Side,Bread;Savoury,L.Meat'N'Egg S'wich
214,594,Drink,Drink;Cold,Lime Juice
273,473,Side,Bread;Savoury,Luncheon N Egg Sandwich
601,909,Dessert,Dessert;Cold,Mango SnowIce
214,424,Drink,Drink;Hot,Milk Tea
107,229,Drink,Drink;Hot,Milo
273,788,Side,Dimsum;Pork,Pan Fried Dumpling
273,1030,Side,Vegetable;Vegetarian,Paoched Lettuce
273,594,Side,Bread;Sweet,Peanut Butter Milk Thick Toast
1066,1515,Main,Bakedrice;Pork,Pork Chop Bk Rice
547,836,Side,Fingerfood;Chicken,Prawn Paste Chicken
107,594,Drink,Drink;Cold,RAINBOW SPRITE
2132,1757,Main,Spaghetti;Seafood,SCALLOP CREAM SAUCE SPAGHETTI
1066,1394,Main,Rice;Pork,SH Pork Chop Rice
601,667,Dessert,Dessert;Cold,SOY MILK WITH GLUTINOUS BALL
1066,1273,Main,Friedrice;Seafood,Sambal Seafood Fried Rice
601,667,Dessert,Dessert;Cold,Sesame Cream Glutinous Ball
1094,545,Side,Dimsum;Seafood;Pork,Siew Mai
1066,1394,Main,Noodle;Pork,Signature Fried Noodles
2132,1394,Main,Friedrice;Pork;Seafood;Chicken,Signature Fried Rice
273,352,Side,Bread,Soft Boiled Eggs
547,242,Side,Fingerfood;Vegetarian,Spicy Sour Fries
547,594,Side,Dimsum;Pork,Steam Pork Spare Ribs
273,715,Side,Soup;Pork;Seafood,Wanton Soup
1066,1079,Main,Noodle;Pork;Seafood,Wanton Soup Noodle
107,715,Drink,Drink;Cold,Watermelon Ice
107,715,Drink,Drink;Cold,Watermelon Ice-Blended
1066,1394,Main,Rice;Chicken,Yao Ma Tei Chix Rice
