uscore,price,item_type,item_cat,item_desc
348,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
328,545,Side,Dimsum;Pork,BBQ Pork Bun
633,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
1265,1273,Main,Western;Chicken,BP Chix Chop & Fries
633,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
164,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
1393,473,Dessert,Dessert;Cold,Beancurd w Mango
328,594,Side,Soup;Beef,Borsch Soup
61,836,Drink,Drink;Cold,COKE FLOAT
633,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
1266,1030,Main,Porridge;Pork,Cent Egg Pork Por
633,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
328,594,Side,Dimsum;Chicken,Chicken Feet
633,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
328,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
328,715,Side,Fingerfood;Chicken,Chicken with Seaweed
820,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
164,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
633,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
696,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
243,73,Drink,Drink;Cold,Cold / Iced Water
492,473,Side,Dimsum;Chicken,Custard Bun
164,788,Side,Bread;Savoury,F.Toast Chicken Floss
328,2364,Side,Bread;Sweet,F.Toast Ice Cream
633,1273,Main,Noodle;Pork,Fermented Pork Dry Noodle
633,1273,Main,Spaghetti;Fish,Fish Fillet Spag
61,594,Drink,Drink;Cold,Fresh  Lime Juice
242,352,Drink,Drink;Hot,Fresh Soy Milk
164,121,Side,Fingerfood;Seafood,Fried Wanton 3pcs
492,715,Side,Fingerfood;Chicken,HONEY CHICKEN WING (5pcs)
2530,944,Main,Noodlesoup;Pork,Ham & Egg Soup Ndl
820,594,Side,Dimsum;Seafood,Har Gao
348,352,Dessert,Dessert;Cold,Home-Made Cold Beancurd
122,424,Drink,Drink;Hot,Hot Coffee-Tea
122,473,Drink,Drink;Hot,Hot Honey with Lemon
121,836,Drink,Drink;Cold,ICED MILO FLOAT
121,545,Drink,Drink;Cold,Ice Milo Dinosaur
303,473,Drink,Drink;Cold,Iced Coffee-Tea
61,836,Drink,Drink;Cold,Iced Coffee-Tea Float
61,594,Drink,Drink;Cold,Iced Honey Green Tea
61,594,Drink,Drink;Cold,Iced Lemon Tea
303,667,Drink,Drink;Cold,Iced Lychee Tea
485,473,Drink,Drink;Cold,Iced Milk Tea
182,836,Drink,Drink;Cold,Iced Milk Tea Float
61,667,Drink,Drink;Cold,Iced Peach Tea
182,473,Drink,Drink;Cold,Iced Soy Milk
328,424,Side,Bread;Savoury,Kaya Butter Bread + Kopi
486,206,Drink,Drink;Hot,Kopi
328,242,Side,Addons;Pork,LUNCHEON MEAT (2pcs)
164,594,Side,Fingerfood;Pork,Luncheon Meat Fries
656,473,Side,Bread;Savoury,Luncheon N Egg Sandwich
303,715,Drink,Drink;Cold,Lychee Ice-blended
2089,836,Dessert,Dessert;Cold,Mango Pomelo
348,909,Dessert,Dessert;Cold,Mango SnowIce
364,424,Drink,Drink;Hot,Milk Tea
122,229,Drink,Drink;Hot,Milo
164,1151,Side,Vegetable;Seafood,Minced Kai Lan W Silver Fish
492,788,Side,Dimsum;Pork,Pan Fried Dumpling
492,594,Side,Bread;Sweet,Peanut Butter Milk Thick Toast
633,1394,Main,Noodle;Pork,Pork Chop Bee Hoon
1265,1394,Main,Noodle;Pork,Pork Chop Noodle
164,836,Side,Fingerfood;Chicken,Prawn Paste Chicken
121,594,Drink,Drink;Cold,RAINBOW SPRITE
656,594,Side,Dimsum;Pork,Radish Cake
348,909,Dessert,Dessert;Cold,Red Bean Snow
633,1515,Main,Noodle;Duck,SMOKED DUCK DRY CURRY RAMEN
348,667,Dessert,Dessert;Cold,SOY MILK WITH GLUTINOUS BALL
164,594,Side,Dimsum;Pork,SPRING ROLL
633,1273,Main,Friedrice;Seafood,Sambal Seafood Fried Rice
633,1273,Main,Noodle;Seafood,Seafood Egg Hor Fun
633,1273,Main,Noodle;Seafood,Seafood Sauteed HF
696,667,Dessert,Dessert;Cold,Sesame Cream Glutinous Ball
492,545,Side,Dimsum;Seafood;Pork,Siew Mai
3163,1394,Main,Noodle;Pork,Signature Fried Noodles
1265,1394,Main,Friedrice;Pork;Seafood;Chicken,Signature Fried Rice
1266,1200,Main,Porridge;Seafood,Sliced Empress Congee
633,1273,Main,Noodle;Fish,Sliced Fish Egg Hor Fun
164,242,Side,Fingerfood;Vegetarian,Spicy Sour Fries
61,352,Drink,Drink;Cold,Sprite
2530,944,Main,Noodlesoup;Pork,Spy P.Dices Soup Ndl
328,594,Side,Dimsum;Pork,Steam Pork Spare Ribs
122,206,Drink,Drink;Hot,Teh
633,1151,Main,Noodle;Vegetarian,VEGETARIAN RAMEN
242,73,Drink,Drink;Hot,Warm Water
348,788,Dessert,Dessert;Cold,Watermelon 'N' Jelly
61,715,Drink,Drink;Cold,Watermelon Ice
61,715,Drink,Drink;Cold,Watermelon Ice-Blended
633,1394,Main,Rice;Chicken,Yao Ma Tei Chix Rice
242,388,Drink,Drink;Hot,Yuzu Tea
